gene,published_support_count,published_support_rank
IFNAR2,18,1
IFNAR1,13,2
MAVS,11,3
CGAS,10,4
IFNB1,10,5
STING1,10,6
IFITM2,9,7
IFITM3,9,8
OAS1,9,9
STAT1,9,10
STAT2,8,11
APOBEC3G,7,12
IFIH1,7,13
IFITM1,7,14
OAS3,7,15
TBK1,7,16
BST2,6,17
IKBKE,6,18
ISG15,6,19
RSAD2,6,20
SAMHD1,6,21
ZBP1,6,22
APOBEC3F,5,23
APOBEC3H,5,24
EIF2AK2,5,25
IFI27,5,26
IFIT1,5,27
IFIT2,5,28
IFNA2,5,29
IRF1,5,30
MX1,5,31
NLRC5,5,32
OAS2,5,33
OASL,5,34
RIGI,5,35
TRIM21,5,36
TRIM5,5,37
C9JQL5,4,38
HERC5,4,39
IFIT3,4,40
ISG20,4,41
MX2,4,42
PLSCR1,4,43
PML,4,44
TLR8,4,45
TRAF3,4,46
TRIM25,4,47
TRIM26,4,48
TRIM56,4,49
TRIM6,4,50
USP18,4,51
ADAR,3,52
AIM2,3,53
APOBEC3A,3,54
APOBEC3B,3,55
CASP1,3,56
CXCL10,3,57
DDX60,3,58
DHX58,3,59
GBP2,3,60
GBP5,3,61
IFI16,3,62
IFI44L,3,63
IFNE,3,64
IL23A,3,65
IRF2,3,66
IRF7,3,67
IRGM,3,68
JAK1,3,69
MYD88,3,70
NLRP1,3,71
PDE12,3,72
PNPT1,3,73
PSMA3,3,74
PSME1,3,75
PSME2,3,76
RNASEL,3,77
RTP4,3,78
SERINC3,3,79
SERINC5,3,80
SHFL,3,81
TLR7,3,82
TRIM11,3,83
TRIM14,3,84
TRIM31,3,85
ZDHHC1,3,86
ZDHHC11,3,87
ACOD1,2,88
APOBEC3D,2,89
AZI2,2,90
B2M,2,91
BATF2,2,92
C1S,2,93
CARD8,2,94
CASP8,2,95
CD74,2,96
CDC37,2,97
CMPK2,2,98
CMTR1,2,99
CNOT7,2,100
CXCL11,2,101
DDX56,2,102
DHX15,2,103
ELMOD2,2,104
EPSTI1,2,105
F2RL1,2,106
FADD,2,107
GBP4,2,108
HELZ2,2,109
HERC6,2,110
IFI30,2,111
IFI35,2,112
IFI44,2,113
IFIT5,2,114
IFNA10,2,115
IFNA14,2,116
IFNA16,2,117
IFNA17,2,118
IFNA21,2,119
IFNA4,2,120
IFNA5,2,121
IFNA6,2,122
IFNA7,2,123
IFNA8,2,124
IFNK,2,125
IFNL1,2,126
IFNL2,2,127
IFNL3,2,128
IFNL4,2,129
IFNLR1,2,130
IFNW1,2,131
IL12B,2,132
IL12RB1,2,133
IL15,2,134
IL23R,2,135
IL4R,2,136
IL6,2,137
IL7,2,138
IRF9,2,139
LAMP3,2,140
LAP3,2,141
LGALS3BP,2,142
LILRB1,2,143
LY6E,2,144
MARCHF2,2,145
MICA,2,146
MICB,2,147
MID2,2,148
MORC3,2,149
MOV10,2,150
MUL1,2,151
NLRP6,2,152
NMI,2,153
OGFR,2,154
PARP12,2,155
PARP14,2,156
PARP9,2,157
PBLD,2,158
PQBP1,2,159
PRF1,2,160
PSMA2,2,161
PSMB2,2,162
PSMB8,2,163
PSMB9,2,164
PTPN1,2,165
PTPN2,2,166
PTPN6,2,167
PYCARD,2,168
PYHIN1,2,169
RELA,2,170
RIPK2,2,171
RNF135,2,172
RNF185,2,173
RNF31,2,174
SAMD9L,2,175
SIN3A,2,176
SLC25A28,2,177
SLFN11,2,178
SMIM30,2,179
SP110,2,180
TANK,2,181
TAP1,2,182
TBKBP1,2,183
TDRD7,2,184
TLR3,2,185
TNFAIP3,2,186
TRAF3IP3,2,187
TRAFD1,2,188
TRIM13,2,189
TRIM15,2,190
TRIM27,2,191
TRIM28,2,192
TRIM32,2,193
TRIM35,2,194
TRIM41,2,195
TRIM65,2,196
TRIM8,2,197
TXNIP,2,198
TYK2,2,199
UBE2K,2,200
UBE2L6,2,201
USP27X,2,202
USP29,2,203
WARS1,2,204
XAF1,2,205
ZNFX1,2,206
ABCC9,1,207
ADRM1,1,208
AGBL4,1,209
AGBL5,1,210
AICDA,1,211
AKAP1,1,212
APOBEC3C,1,213
APOL6,1,214
ARID5B,1,215
ARL4A,1,216
ATAD3A,1,217
ATG12,1,218
ATG5,1,219
ATG7,1,220
AUTS2,1,221
AXL,1,222
AZU1,1,223
BANK1,1,224
