opaque_subject_id,opaque_arm_id,aliquot_id,library_id
SUBJECT_05_01,ARM_A,ALIQUOT_C05_001,LIB_C05_001
SUBJECT_05_01,ARM_B,ALIQUOT_C05_002,LIB_C05_002
SUBJECT_05_02,ARM_A,ALIQUOT_C05_003,LIB_C05_003
SUBJECT_05_02,ARM_B,ALIQUOT_C05_004,LIB_C05_004
SUBJECT_05_03,ARM_A,ALIQUOT_C05_005,LIB_C05_005
SUBJECT_05_03,ARM_B,ALIQUOT_C05_006,LIB_C05_006
SUBJECT_05_04,ARM_A,ALIQUOT_C05_007,LIB_C05_007
SUBJECT_05_04,ARM_B,ALIQUOT_C05_008,LIB_C05_008
SUBJECT_05_05,ARM_A,ALIQUOT_C05_009,LIB_C05_009
SUBJECT_05_05,ARM_B,ALIQUOT_C05_010,LIB_C05_010
SUBJECT_05_06,ARM_A,ALIQUOT_C05_011,LIB_C05_011
SUBJECT_05_06,ARM_B,ALIQUOT_C05_012,LIB_C05_012
SUBJECT_05_07,ARM_A,ALIQUOT_C05_013,LIB_C05_013
SUBJECT_05_07,ARM_B,ALIQUOT_C05_014,LIB_C05_014
SUBJECT_05_08,ARM_A,ALIQUOT_C05_015,LIB_C05_015
SUBJECT_05_08,ARM_B,ALIQUOT_C05_016,LIB_C05_016
SUBJECT_05_09,ARM_A,ALIQUOT_C05_017,LIB_C05_017
SUBJECT_05_09,ARM_B,ALIQUOT_C05_018,LIB_C05_018
SUBJECT_05_10,ARM_A,ALIQUOT_C05_019,LIB_C05_019
SUBJECT_05_10,ARM_B,ALIQUOT_C05_020,LIB_C05_020
SUBJECT_05_11,ARM_A,ALIQUOT_C05_021,LIB_C05_021
SUBJECT_05_11,ARM_B,ALIQUOT_C05_022,LIB_C05_022
SUBJECT_05_12,ARM_A,ALIQUOT_C05_023,LIB_C05_023
SUBJECT_05_12,ARM_B,ALIQUOT_C05_024,LIB_C05_024
