gene,kang_log2fc,parse_log2fc,kang_pvalue,parse_pvalue
IL1RN,5.5018158164777,3.09262394625257,1.857141241029608e-200,1.8339006012792944e-10
ISG20,4.183380328572321,1.8118642545933292,6.766800667339762e-179,4.890462871389013e-13
NT5C3A,4.107195321740321,1.3868638205818946,6.240491681333207e-177,3.728667913429476e-11
NMI,2.315288107278893,1.2005995962767462,8.408670147648995e-171,8.409597724296318e-09
DRAP1,1.5107135373777476,0.654400566663048,3.2402825442919755e-165,0.001228384677333732
DYNLT1,2.2033506885425336,1.2466187498406225,4.885115140944878e-159,1.9051662894203844e-08
IFI16,2.475507342884515,0.7797965733815011,5.485595346218239e-148,1.8979430582316353e-06
CXCL10,7.079007182638558,2.1120368910695806,1.5769194776607073e-131,6.1221656083032295e-06
IRF7,3.1948462857101996,1.5629126460003524,3.2595499988843546e-131,3.673888559385565e-08
PARP14,2.4052792592113383,1.3400196917874891,1.863765106425677e-125,1.0031084533297305e-08
TMSB10,1.5609808943380543,-0.005652580843853342,4.103011082307737e-124,0.9618693076870718
RBCK1,2.2978487550499094,0.8467678688477677,2.0374825626688326e-122,1.0160921215680836e-07
PLSCR1,2.804598373171853,1.5193450086819935,6.275572067654086e-113,9.268195691545956e-09
MT2A,4.096987513723473,1.3747124352318494,1.233858573238246e-106,0.0004701938366926967
OASL,3.747762718718516,2.08167140712354,1.3478235488570762e-105,9.413079747938081e-12
TNFSF10,5.3823331578663165,2.357325354903849,5.668599038998606e-105,2.1140452765256973e-09
SPATS2L,3.384656212173808,1.9578011993279898,1.0036383448898389e-104,7.163284823971753e-10
SAMD9,3.3483499728747157,1.7442128611289334,2.3231180578744384e-103,7.060526608963178e-11
SMCHD1,1.7994182774945722,1.1231189969274429,3.868760499212143e-100,2.0308335548574108e-11
SP110,2.6071074154461193,0.9132434085544449,1.8519677409110807e-99,9.270613172802864e-07
CXCL11,8.841971325666094,3.9904482728987465,1.5967678810453914e-97,3.426283174321932e-14
PSMA4,1.5000035268078125,0.6216768792850191,9.664861409128924e-97,2.7842070665517146e-07
MYL12A,1.377277864459295,0.7359041715369432,1.4237211758738726e-92,8.81703163521207e-09
XRN1,2.2696690061831313,1.414825503173696,2.8823967463773473e-92,6.745149666006824e-12
GCH1,2.72174620135816,1.3027439442443212,5.266943750328292e-92,3.032553985593245e-08
TAP1,1.7410405003691576,1.1195673005017601,5.744831299733565e-92,2.1614634764683915e-11
HERC5,4.87790485927375,1.9013084272100316,1.5114561451636907e-91,1.896646165910314e-06
ISG15,6.508088212711684,2.5541124638352155,1.7032908741115338e-91,9.98795482847698e-08
CCL8,9.878505067988057,1.1874605649364764,1.89990232672044e-91,0.028302872612951564
EPSTI1,3.3517289114707807,1.5138432269102342,2.84379992293751e-90,2.3711557093319418e-08
CD164,1.3628223740475054,0.6511939428525797,4.6394044615348476e-89,3.783323281654341e-07
SAMD9L,3.663490802799342,1.614592433945513,4.5853804960633155e-88,4.95738706924719e-08
IFI35,3.4359605329859937,1.3672982497886683,2.987834258583792e-87,8.942548748375494e-07
IFIT3,6.5728747218281445,2.3167482150886363,1.3805927677617813e-86,3.0990522837462965e-07
IFIT2,6.698910674057541,2.963909908173793,3.914772198628359e-86,4.094152310075067e-10
PHF11,2.117240104198448,1.0367020415920518,7.820169496175676e-85,4.763359937775355e-10
IDO1,4.080743030624514,2.173777604966357,4.0836363230805397e-81,3.802289975927075e-17
CD38,5.0190231149009685,2.4070058807955244,6.816728649100341e-81,1.5429899627277125e-13
GAPDH,-0.9630619828575755,-0.5138558450530043,8.059440314406657e-81,4.109467604729849e-09
SP100,1.5782866773023116,0.949428149582961,8.144392251053311e-81,4.73024324117551e-09
PPM1K,3.0974078070150255,1.342379506221758,3.0225547806193824e-80,2.5281657551919095e-12
CFLAR,1.7189470509686733,0.48124504914019894,4.042004662295879e-80,3.2283268629122984e-20
APOBEC3A,5.3380402206833555,1.9940328064653934,5.55310527459117e-80,1.0161306411040764e-05
BST2,2.2483023875769583,1.1263162467664387,3.868834242911897e-79,2.837925246596836e-06
SAT1,1.5140539282957255,1.2897949433650375,2.0231709760523354e-78,7.245438285040085e-13
TRIM22,3.484442941548399,1.1243119265657455,5.856926571988509e-77,4.838118672429537e-07
PID1,-3.3056705718671067,-4.956765858484804,6.0660885672385616e-77,1.0762102635404439e-73
OAS1,4.05032274969867,1.950282698861509,1.6483650713254774e-76,1.3541472389493088e-09
IL4I1,2.3713989855971573,0.8690268942846754,2.626940021772111e-75,2.8258725610413307e-05
PARP9,3.1105144699337095,1.2101141237811779,2.7056179280739176e-75,5.235199613982984e-07
BLVRA,1.9755774708159308,0.7496920206723862,8.323680654322879e-75,9.93475005750352e-07
ACTB,-1.0134355605101155,-0.5534752321537248,2.7071200251978055e-74,1.7033613662117884e-13
RABGAP1L,3.52599374898657,0.1887969111868032,1.7282555327486078e-73,0.00017664275116239454
RNF213,1.9940247379959812,0.817844620198502,1.7593611723391268e-73,1.760243071384946e-05
IFITM2,2.8466631132533555,1.3212260283271806,2.219806764069572e-73,5.99634626739907e-08
IER3,-2.63584761923918,-1.1144820487818707,6.402418814750054e-72,2.2921915504506676e-15
SNX10,1.7912990409214617,0.09948648800272646,2.886239834983135e-71,0.3562724945862251
NAPA,1.7108127680040972,0.7883082297031406,8.45165697394402e-69,1.470259375988398e-08
PSMB9,1.7668761589114959,0.41598210504883976,3.2865485645019907e-68,0.00010148254411106618
MS4A6A,2.247751464666617,-0.8763763462965307,6.163136104709622e-68,2.088225334870326e-08
TMEM50A,0.9321129210455515,0.33273097503457433,7.4143378022808735e-68,2.038973943209352e-09
IFIT1,7.644899970588148,2.4542639812685336,6.713265777027273e-67,3.0623780738217174e-07
RSAD2,7.115754758160676,2.6756533844020405,1.7786552401333011e-66,1.6298619691940522e-09
DDX60L,2.2644623611429964,1.6075236967073163,2.1503937690100668e-66,2.9475740396534267e-08
HSPA1A,2.594179521467621,-0.36589133915441474,3.3600190804443e-66,0.02464471870591017
EEF1A1,-0.6947129157771117,-0.2799768661363436,4.778114961626195e-66,0.009341287423983092
HLA-E,0.95261759889466,0.25084627949464605,7.717070427364983e-66,0.0011209835094564487
EIF2AK2,3.66345651302977,1.2739622393103547,8.906890076895783e-66,2.5799539408551772e-06
CHST12,2.106945723330898,1.279488313454469,4.5944935065349425e-65,1.0325696041980037e-12
GLIPR1,-1.6491112159732007,-1.0208116929080773,2.8591620342726797e-64,7.818167664232073e-20
SSB,2.0495041486588574,0.20255943834238715,9.886389813160493e-64,0.17749682687222268
HSH2D,3.2633791812928794,1.234824051365123,1.4478533583027435e-63,3.2654694229361645e-08
UBE2L6,2.5422849318101237,1.1245699440135892,2.054542002112806e-63,2.6808551030294227e-07
MX1,5.327942095117014,1.90697229006216,4.2506081144959683e-63,1.5239969997380445e-06
GBP4,2.978839439050204,1.4857023391232658,4.3883221555015096e-63,5.733449452808054e-12
GBP1,2.747112613661733,1.419111599947366,4.89791260623629e-62,9.071764277642493e-08
SLAMF7,2.437952810224812,0.7423843437741724,1.3630587457842211e-61,1.0943841080891426e-07
LY6E,4.552847645028968,1.4393652811952509,2.636595679933979e-61,1.634986939054572e-06
INSIG1,-2.2647326311930667,0.3652757895038555,4.242121502795644e-61,0.0044088639467207225
CTSC,2.477613033493834,0.1350520565785299,4.3900422609326365e-61,0.33799403443457565
APOL3,1.9684864102056503,0.68514778440252,4.935293162647928e-61,6.690063000963439e-07
IFIH1,3.759466880352012,1.8010374988709759,2.757753535021173e-60,7.969215077671554e-11
ATG3,1.0018127677692403,0.2863482559416095,3.0405275727598113e-60,0.0010334115613464961
SH3BGRL3,-0.733975918340059,-0.8091923943556291,5.592042422404336e-60,1.1996690692271273e-24
ANKRD22,3.5777448617008907,1.364497650609746,4.493835103588246e-58,1.5975679911906626e-07
TNFSF13B,3.699738119286489,1.209063609081986,6.24929237486541e-57,1.0682680651097722e-11
DCK,1.388532305153728,0.8153145437565008,6.738396414723639e-57,3.3662368650036224e-24
TXN,1.261361477681706,1.556696610806635,3.244907468354165e-56,8.197740007474623e-34
SOCS1,2.4005260861947675,1.618891189211188,1.4879570712828775e-55,1.5140903741179206e-14
TRADD,1.32375381077727,0.7884593985310226,2.360148851064791e-55,3.654433736949327e-18
TPI1,-0.8769094668338935,-0.5454630130254754,6.3852093485122214e-55,2.7667636264001277e-21
OAS2,4.270806102709061,1.3371671049571863,6.53032979370994e-55,7.344565030709931e-07
VCAN,-4.88206520273719,-2.8779616081280044,7.251714657040495e-55,1.6631308328140446e-23
TMEM140,2.539605552489297,1.191545483846267,8.003674555879819e-55,2.3032912120741784e-10
IRF2,2.084991061824591,0.6205156517582926,2.5335399515871108e-54,1.3279022871598682e-12
STOM,2.8817614337607718,0.6801647513776807,6.089745165761153e-54,9.62643894309916e-07
NAGK,1.7280708708840913,-0.06351998577635856,1.982899568138796e-53,0.6118548333285655
DTX3L,2.754757465163212,1.216404805224347,3.3017898815102683e-53,8.575504903389895e-09
EIF3L,-1.2924027340040187,-0.6891744835429425,4.906251062987548e-53,1.564389928542525e-12
ADAR,1.7271761020673695,0.560287233560598,6.662174855729728e-53,6.453503005902458e-05
