gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_native,padj
MALAT1,2813477.3634633585,0.16455969672122295,0.030157850935936405,5.456612179388815,4.8530472010989045e-08,1.3480686669719177e-07,1.3480686669719177e-07
FTH1,23497.168409433056,-0.5589819548666585,0.09881287023777517,-5.656975184726142,1.5406402829649656e-08,4.654502365453068e-08,4.654502365453068e-08
FTL,60227.127043445886,-0.8690576016324684,0.13101120635567168,-6.633460036030311,3.2790778695324676e-11,1.4350450194890448e-10,1.4350450194890448e-10
B2M,200674.69588508512,0.4486481559042143,0.08983850111984633,4.993940797228004,5.915953947287557e-07,1.4119221831235218e-06,1.411922183123522e-06
TMSB4X,60792.470454757706,-0.032893718212488536,0.05901670136865744,-0.5573628727063643,0.5772795267783216,0.6180722984778605,0.6180722984778604
ISG15,19955.30573810317,2.5541124638352155,0.47947059216500043,5.326942894041492,9.98795482847698e-08,2.61807466015124e-07,2.61807466015124e-07
HLA-B,116098.27984259697,0.46856138701062966,0.08623239565873876,5.433704855712724,5.519584923384986e-08,1.5122150475027357e-07,1.5122150475027357e-07
CXCL10,51365.530395188944,2.1120368910695806,0.4670451436508461,4.522125794007824,6.1221656083032295e-06,1.2943267670831351e-05,1.2943267670831353e-05
TIMP1,3201.9741053782195,-0.3199175351940993,0.19929327026968893,-1.6052601011623644,0.10843657582687669,0.13362375373890284,0.13362375373890284
RPS2,5989.4833998440345,-0.3559696690025709,0.06497606597005577,-5.47847370702036,4.290103210076071e-08,1.20339500983901e-07,1.2033950098390102e-07
RPL10,2209.3963659984415,-0.8526381015946184,0.10560933166776823,-8.073511006365377,6.830501656138287e-16,5.399606052283231e-15,5.399606052283231e-15
ACTB,57400.095572622995,-0.5534752321537248,0.07509607746717985,-7.370228257203139,1.7033613662117884e-13,1.0108969532414174e-12,1.0108969532414174e-12
RPL13,6209.466603706875,-0.703741339644528,0.06643197289273675,-10.593413216566846,3.1971702829885524e-26,7.18465232132259e-25,7.184652321322589e-25
RPS18,2380.582283964705,-0.4942322899849311,0.0947566259455072,-5.215807180272069,1.8301848387037967e-07,4.6569588771088977e-07,4.6569588771088977e-07
CCL2,6749.692816914522,-0.692426500889051,0.40297433316879566,-1.7182893397803858,0.0857438528233747,0.10738115569614864,0.10738115569614864
RPS6,25917.573240083308,-0.6871084888857926,0.06284759979645788,-10.932931267241782,8.021462345298289e-28,2.2918463843709397e-26,2.2918463843709394e-26
RPL13A,11165.52183550993,-0.42651631771520937,0.06986811895075985,-6.104591394764762,1.0306400276755838e-09,3.7073382290488626e-09,3.707338229048863e-09
RPLP1,16636.00932108548,-0.18221062119508835,0.048968639240578704,-3.7209655816634655,0.00019846248866106273,0.0003445529317032339,0.0003445529317032339
RPS19,12130.303129323367,-0.3267539373871258,0.056541838046862664,-5.778976217863799,7.515654813257838e-09,2.370869026264302e-08,2.370869026264302e-08
RPS4X,9373.403177033977,-0.5770820016516649,0.08135026620162417,-7.093793648091878,1.3048465140172833e-12,7.03421301357026e-12,7.034213013570261e-12
RPL3,8248.115017160433,-0.9381266021185277,0.10372042964380065,-9.044762014005013,1.4999153549688648e-19,1.6758830781775025e-18,1.6758830781775025e-18
RPL21,4839.551546218507,-0.2723099876284018,0.05973520540020694,-4.558618084662323,5.1491310299017845e-06,1.099067455688748e-05,1.099067455688748e-05
HLA-DRA,28470.5644487886,-0.9518595093424279,0.08894132130707386,-10.702106685104113,9.949016392482246e-27,2.368813426781487e-25,2.368813426781487e-25
RPS14,10029.100633849912,-0.3539725787027874,0.043525210596881185,-8.132587386680019,4.2022305747842184e-16,3.3888956248259827e-15,3.3888956248259823e-15
HLA-A,47359.558339992676,0.44980980290010264,0.07643681956663613,5.884726829953556,3.987119728354431e-09,1.3202383206471626e-08,1.3202383206471624e-08
RPL32,12341.734319684592,-0.33069528060968206,0.04692237157698508,-7.047710281802647,1.8188583965474082e-12,9.497955073354613e-12,9.497955073354613e-12
RPS3,14149.111210368,-0.33350006300581747,0.05725204340544458,-5.825120697335706,5.707133840233507e-09,1.838046325357007e-08,1.838046325357007e-08
CD74,67395.28995654917,-0.26679529106566013,0.0605119406756734,-4.408969338722851,1.038637271375172e-05,2.1131989244662706e-05,2.1131989244662702e-05
CCL8,6925.805032770109,1.1874605649364764,0.5414622413652863,2.193062552140881,0.028302872612951564,0.03790582377611766,0.03790582377611766
RPL11,16869.953508286333,-0.360300683581166,0.04890998443968164,-7.366608018972236,1.750241353005754e-13,1.032590768734958e-12,1.032590768734958e-12
SAT1,50462.7367879993,1.2897949433650375,0.17976933243028545,7.174721772220075,7.245438285040085e-13,4.036455869103112e-12,4.036455869103111e-12
HLA-C,34919.61526371247,0.25441696990270457,0.08409303663500096,3.0254225567686523,0.0024828597937933505,0.0037762126141343733,0.0037762126141343733
SOD2,24550.313581014943,0.05657558351345595,0.06109622240452974,0.9260078821053488,0.3544418840402649,0.3975792305555411,0.39757923055554106
RPS27A,12455.688218174168,-0.4196770423165131,0.06521905758390371,-6.4348835733574115,1.2356800977735193e-10,5.02308982834764e-10,5.02308982834764e-10
EIF1,11395.747977235113,0.16260355240655022,0.047931299967364796,3.3924294253914007,0.0006927577554083823,0.0011366000909079283,0.0011366000909079283
RPL15,8264.68673041956,-0.48964700694740054,0.04694686544141185,-10.429812562426857,1.812454703974359e-25,3.6988871509680796e-24,3.6988871509680796e-24
RPL7,7884.936333061193,-0.6773848621064942,0.07850027550164333,-8.629076239258724,6.1849456771530154e-18,5.700410762353009e-17,5.70041076235301e-17
ISG20,25459.160594888875,1.8118642545933292,0.25066227022609583,7.228308643973578,4.890462871389013e-13,2.7786720860164846e-12,2.778672086016485e-12
RPS3A,2687.6761489018522,-0.385110278865505,0.08878726557145399,-4.337449479797043,1.4414565251389845e-05,2.8800330172607085e-05,2.8800330172607085e-05
RNF213,253380.47390185366,0.817844620198502,0.19049253452796228,4.293315862614296,1.760243071384946e-05,3.4787412477963356e-05,3.4787412477963356e-05
RPL18A,543.2314194218832,-0.8644594623087251,0.12539184811488296,-6.894064289703382,5.422050060587687e-12,2.677555585475401e-11,2.6775555854754012e-11
RPL34,17934.170397073518,-0.4236227153275813,0.04147609055555439,-10.213660681451344,1.722412751286847e-24,3.1316595477942676e-23,3.1316595477942676e-23
RPL19,15341.210157138281,-0.5184914106888154,0.042487146146995544,-12.203488765636482,2.9778610671291444e-34,1.8611631669557152e-32,1.8611631669557152e-32
TMSB10,34882.21543805115,-0.005652580843853342,0.11823518666655451,-0.04780794113172659,0.9618693076870718,0.9681623630468765,0.9681623630468765
C15orf48,2494.006274546511,0.2208294462071685,0.11370891968754349,1.942059134973558,0.052129941857496614,0.06765728988643298,0.06765728988643298
S100A11,6095.395672795888,0.2500544742219958,0.08873300760732664,2.8180547573521997,0.004831556929858239,0.0071000101834801455,0.0071000101834801455
MBNL1,229935.06880698283,-0.03444051346400656,0.037227774993495014,-0.9251295160676274,0.35489854139579446,0.3978683199504422,0.3978683199504422
SRGN,22207.801428832176,0.02245295348174773,0.12223310768315827,0.18368962310889017,0.8542569499499751,0.8725811541879214,0.8725811541879215
RPL8,5475.761974630367,-0.5307529267236345,0.04600249502542857,-11.537481313356,8.538896282575897e-31,3.795065014478176e-29,3.795065014478177e-29
PFN1,10964.084836805652,-0.13223431632355714,0.0640287406061791,-2.0652337539619805,0.03890088821765152,0.051151726781921786,0.051151726781921786
PTMA,43633.46848896624,-0.06766724513575532,0.05336285036565174,-1.2680590461732708,0.20477686520438876,0.24133985292208454,0.2413398529220846
