sample_id,Intercept,condition[T.treated]
Parse10M__Donor1__IFN-beta,1.0,1
Parse10M__Donor1__PBS,1.0,0
Parse10M__Donor2__IFN-beta,1.0,1
Parse10M__Donor2__PBS,1.0,0
Parse10M__Donor3__IFN-beta,1.0,1
Parse10M__Donor3__PBS,1.0,0
Parse10M__Donor4__IFN-beta,1.0,1
Parse10M__Donor4__PBS,1.0,0
Parse10M__Donor5__IFN-beta,1.0,1
Parse10M__Donor5__PBS,1.0,0
Parse10M__Donor6__IFN-beta,1.0,1
Parse10M__Donor6__PBS,1.0,0
Parse10M__Donor7__IFN-beta,1.0,1
Parse10M__Donor7__PBS,1.0,0
Parse10M__Donor8__IFN-beta,1.0,1
Parse10M__Donor8__PBS,1.0,0
Parse10M__Donor9__IFN-beta,1.0,1
Parse10M__Donor9__PBS,1.0,0
Parse10M__Donor10__IFN-beta,1.0,1
Parse10M__Donor10__PBS,1.0,0
Parse10M__Donor11__IFN-beta,1.0,1
Parse10M__Donor11__PBS,1.0,0
Parse10M__Donor12__IFN-beta,1.0,1
Parse10M__Donor12__PBS,1.0,0
