case_id,source_case,family,provisional_invalid
C001,wrong_direction-1,wrong_direction,True
C002,causal_overclaim-1,causal_overclaim,True
C003,valid_positive-0,valid_positive,False
C004,wrong_result_hash-2,wrong_result_hash,True
C005,absent_gene-1,absent_gene,True
C006,causal_overclaim-2,causal_overclaim,True
C007,false_negative-1,false_negative,True
C008,missing_fdr-1,missing_fdr,True
C009,missing_fdr-0,missing_fdr,True
C010,invalid_probability-2,invalid_probability,True
C011,valid_table_presence-0,valid_table_presence,False
C012,absent_gene-0,absent_gene,True
C013,wrong_design-2,wrong_design,True
C014,failed_fit-0,failed_fit,True
C015,false_global_null-1,false_global_null,True
C016,failed_fit-2,failed_fit,True
C017,valid_table_presence-2,valid_table_presence,False
C018,wrong_direction-2,wrong_direction,True
C019,invalid_probability-0,invalid_probability,True
C020,wrong_result_hash-1,wrong_result_hash,True
C021,wrong_design-0,wrong_design,True
C022,absent_gene-2,absent_gene,True
C023,valid_negative-1,valid_negative,False
C024,missing_receipt-0,missing_receipt,True
C025,wrong_direction-0,wrong_direction,True
C026,changed_result-0,changed_result,True
C027,clinical_overclaim-2,clinical_overclaim,True
C028,valid_limited-2,valid_limited,False
C029,failed_fit-1,failed_fit,True
C030,wrong_design-1,wrong_design,True
C031,valid_positive-2,valid_positive,False
C032,missing_receipt-2,missing_receipt,True
C033,false_negative-2,false_negative,True
C034,invalid_probability-1,invalid_probability,True
C035,causal_overclaim-0,causal_overclaim,True
C036,false_global_null-2,false_global_null,True
C037,clinical_overclaim-1,clinical_overclaim,True
C038,changed_result-1,changed_result,True
C039,false_negative-0,false_negative,True
C040,missing_fdr-2,missing_fdr,True
C041,valid_positive-1,valid_positive,False
C042,valid_negative-2,valid_negative,False
C043,false_significance-1,false_significance,True
C044,valid_limited-1,valid_limited,False
C045,clinical_overclaim-0,clinical_overclaim,True
C046,changed_result-2,changed_result,True
C047,false_significance-2,false_significance,True
C048,valid_table_presence-1,valid_table_presence,False
C049,valid_limited-0,valid_limited,False
C050,valid_negative-0,valid_negative,False
C051,false_significance-0,false_significance,True
C052,false_global_null-0,false_global_null,True
C053,missing_receipt-1,missing_receipt,True
C054,wrong_result_hash-0,wrong_result_hash,True
