case_id,reviewer_id,independent_of_project,rating,issue_type,evidence_location,rationale,review_minutes,status
C001,,,,,,,,PENDING
C002,,,,,,,,PENDING
C003,,,,,,,,PENDING
C004,,,,,,,,PENDING
C005,,,,,,,,PENDING
C006,,,,,,,,PENDING
C007,,,,,,,,PENDING
C008,,,,,,,,PENDING
C009,,,,,,,,PENDING
C010,,,,,,,,PENDING
C011,,,,,,,,PENDING
C012,,,,,,,,PENDING
C013,,,,,,,,PENDING
C014,,,,,,,,PENDING
C015,,,,,,,,PENDING
C016,,,,,,,,PENDING
C017,,,,,,,,PENDING
C018,,,,,,,,PENDING
C019,,,,,,,,PENDING
C020,,,,,,,,PENDING
C021,,,,,,,,PENDING
C022,,,,,,,,PENDING
C023,,,,,,,,PENDING
C024,,,,,,,,PENDING
C025,,,,,,,,PENDING
C026,,,,,,,,PENDING
C027,,,,,,,,PENDING
C028,,,,,,,,PENDING
C029,,,,,,,,PENDING
C030,,,,,,,,PENDING
C031,,,,,,,,PENDING
C032,,,,,,,,PENDING
C033,,,,,,,,PENDING
C034,,,,,,,,PENDING
C035,,,,,,,,PENDING
C036,,,,,,,,PENDING
C037,,,,,,,,PENDING
C038,,,,,,,,PENDING
C039,,,,,,,,PENDING
C040,,,,,,,,PENDING
C041,,,,,,,,PENDING
C042,,,,,,,,PENDING
C043,,,,,,,,PENDING
C044,,,,,,,,PENDING
C045,,,,,,,,PENDING
C046,,,,,,,,PENDING
C047,,,,,,,,PENDING
C048,,,,,,,,PENDING
C049,,,,,,,,PENDING
C050,,,,,,,,PENDING
C051,,,,,,,,PENDING
C052,,,,,,,,PENDING
C053,,,,,,,,PENDING
C054,,,,,,,,PENDING
