case_id,family,paraphrase,invalid,arm,status,accepted,issue_identified,abstained,seconds
valid_positive-0,valid_positive,0,False,accept_all,ACCEPT,True,False,False,1.3100041542202234e-05
valid_positive-0,valid_positive,0,False,reject_all,REJECT,False,True,False,2.900022082030773e-06
valid_positive-0,valid_positive,0,False,deterministic_checklist,ACCEPT,True,False,False,0.0020232999813742936
valid_positive-0,valid_positive,0,False,bionexus_full,NEEDS_REVISION,False,True,False,0.011252500000409782
valid_positive-0,valid_positive,0,False,without_claim_text,NEEDS_REVISION,False,True,False,0.007391299994196743
valid_positive-0,valid_positive,0,False,without_execution_metadata,NEEDS_REVISION,False,True,False,0.006990100024268031
valid_positive-1,valid_positive,1,False,accept_all,ACCEPT,True,False,False,7.199996616691351e-06
valid_positive-1,valid_positive,1,False,reject_all,REJECT,False,True,False,5.00003807246685e-07
valid_positive-1,valid_positive,1,False,deterministic_checklist,ACCEPT,True,False,False,0.0008206999627873302
valid_positive-1,valid_positive,1,False,bionexus_full,NEEDS_REVISION,False,True,False,0.008261999988462776
valid_positive-1,valid_positive,1,False,without_claim_text,NEEDS_REVISION,False,True,False,0.006405899999663234
valid_positive-1,valid_positive,1,False,without_execution_metadata,NEEDS_REVISION,False,True,False,0.006599599961191416
valid_positive-2,valid_positive,2,False,accept_all,ACCEPT,True,False,False,7.90000194683671e-06
valid_positive-2,valid_positive,2,False,reject_all,REJECT,False,True,False,6.00004568696022e-07
valid_positive-2,valid_positive,2,False,deterministic_checklist,ACCEPT,True,False,False,0.0008896999643184245
valid_positive-2,valid_positive,2,False,bionexus_full,NEEDS_REVISION,False,True,False,0.00774129998171702
valid_positive-2,valid_positive,2,False,without_claim_text,NEEDS_REVISION,False,True,False,0.00612350000301376
valid_positive-2,valid_positive,2,False,without_execution_metadata,NEEDS_REVISION,False,True,False,0.008154999988619238
valid_negative-0,valid_negative,0,False,accept_all,ACCEPT,True,False,False,6.89999433234334e-06
valid_negative-0,valid_negative,0,False,reject_all,REJECT,False,True,False,6.00004568696022e-07
valid_negative-0,valid_negative,0,False,deterministic_checklist,ACCEPT,True,False,False,0.0010437999735586345
valid_negative-0,valid_negative,0,False,bionexus_full,NEEDS_REVISION,False,True,False,0.007896499999333173
valid_negative-0,valid_negative,0,False,without_claim_text,NEEDS_REVISION,False,True,False,0.006322200002614409
valid_negative-0,valid_negative,0,False,without_execution_metadata,NEEDS_REVISION,False,True,False,0.00916379998670891
valid_negative-1,valid_negative,1,False,accept_all,ACCEPT,True,False,False,1.0500021744519472e-05
valid_negative-1,valid_negative,1,False,reject_all,REJECT,False,True,False,7.00005330145359e-07
