gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_native,padj
MALAT1,73086.44629229375,0.0493808737141585,0.05060216682719455,0.9758648060031353,0.3291314646526875,0.42386537624299747,0.4238653762429974
FTH1,116413.86610458922,-0.8861456321957804,0.13637527554703974,-6.497846685487527,8.147777321533261e-11,4.96815690337394e-10,4.96815690337394e-10
FTL,58623.01510573471,-0.365818024150327,0.1682554656575507,-2.174182114801989,0.029691461012955167,0.05618062632536455,0.05618062632536455
B2M,50817.22659973717,0.5472254640360439,0.055446307994383846,9.8694662247209,5.646427290125131e-23,6.762188371407343e-22,6.762188371407343e-22
TMSB4X,36766.301840486165,-0.14750644183572217,0.05944477945416214,-2.4814027941589787,0.01308663986854594,0.027406575640933906,0.02740657564093391
ISG15,21233.255983576677,6.209752639150077,0.3555152825706637,17.46690773529771,2.5599883129778685e-68,1.31281451947583e-66,1.3128145194758298e-66
HLA-B,10627.991638830734,0.5896397885324962,0.19713132227830804,2.991101473463708,0.0027797310652901736,0.006666021739304973,0.0066660217393049725
CXCL10,11880.60814929837,6.80913958758095,0.3458920001339908,19.685738857629673,2.8573967524228957e-86,2.5976334112935413e-84,2.597633411293542e-84
TIMP1,11454.027309442885,-0.9338238396060312,0.2566509657719709,-3.6384972750724596,0.00027423352919211746,0.000786896783908515,0.000786896783908515
RPS2,9451.458231965626,-0.26113827560325387,0.11394215518564468,-2.2918495369671055,0.021914327041261353,0.042717986435207314,0.042717986435207314
RPL10,9294.341839435028,-0.4326213644784131,0.11824840184266285,-3.6585810694849292,0.00025361551787260163,0.0007372544124203535,0.0007372544124203535
ACTB,8207.35973885309,-1.028230255031786,0.15138108856723528,-6.792329641460476,1.103370735780607e-11,7.235217939544964e-11,7.235217939544964e-11
RPL13,9094.150050580605,-0.14128239759155667,0.15528764289120459,-0.9098109480001568,0.3629222198630748,0.4602486043312596,0.4602486043312596
RPS18,8560.181501228817,0.05030411735049553,0.17022370437270284,0.2955176985242622,0.7675984342707333,0.8196238857292141,0.8196238857292142
CCL2,8568.794289332942,1.7806801897134164,0.4478347417815686,3.976199306533353,7.002544356819421e-05,0.0002226564183408401,0.00022265641834084014
RPS6,7639.028777350342,-0.330078069275519,0.18006806199322037,-1.8330739256134525,0.0667915781173754,0.11291898244695757,0.11291898244695758
RPL13A,7377.4390877019305,-0.2172458893274315,0.14350313957936162,-1.5138755149484928,0.13005741527502238,0.20055114151892423,0.20055114151892425
RPLP1,7301.34641218895,0.036420941730681874,0.08561995365187436,0.4253791339197316,0.6705603145502621,0.7394384089675025,0.7394384089675023
RPS19,7298.8297683136525,0.014560689972243888,0.10522676126903717,0.13837440016818564,0.8899445280739418,0.9207910274950251,0.9207910274950252
RPS4X,7208.1573156496015,-0.28673950008326793,0.13778854293910672,-2.0810111927084356,0.03743288158381358,0.0686841863923185,0.0686841863923185
RPL3,7113.524059042816,-0.3842516697445837,0.16855060522511917,-2.279740670354582,0.022623073650839955,0.04392829835114555,0.04392829835114555
RPL21,6822.136520561724,-0.1754843859824558,0.155596592945989,-1.1278163786232152,0.2593974748190421,0.3526818148457404,0.35268181484574046
HLA-DRA,6360.41028798086,-0.34028920286758835,0.15216078316205722,-2.2363791497127545,0.02532694574360212,0.048705664891542544,0.04870566489154254
RPS14,6442.631997732758,0.007515526966722065,0.14669850187972477,0.051231109182586596,0.9591413628423419,0.9695666950224375,0.9695666950224375
HLA-A,5470.988533069931,0.4828008431176953,0.10784316355375095,4.476879453532154,7.574198757958512e-06,2.7897601318447557e-05,2.7897601318447557e-05
RPL32,6003.941419819034,0.03546491061357802,0.1411667729417838,0.251227040715902,0.8016385793562936,0.8487438637970287,0.8487438637970287
RPS3,5950.01842724175,-0.2963587612712139,0.1460309300011484,-2.0294245970280635,0.04241506190259112,0.07628608255861712,0.07628608255861712
CD74,4948.301312284546,0.13400425099474175,0.10366235897810108,1.2926992238624482,0.19611510632141094,0.2793662483210982,0.2793662483210982
CCL8,5948.022792860118,9.434546191133668,0.45601830635137375,20.688963709856225,4.354716921254317e-95,6.221024173220453e-93,6.221024173220453e-93
RPL11,5490.298963580446,-0.12172432161934833,0.1188194127763701,-1.0244480996421481,0.3056236729787334,0.400817931775388,0.40081793177538805
SAT1,4950.465851266713,1.532435059367295,0.14916647406176814,10.273320925536733,9.294881213473991e-25,1.1916514376248707e-23,1.1916514376248707e-23
HLA-C,5152.475017539559,0.6924200791359592,0.16456989187021082,4.2074529627937105,2.5826513808081673e-05,8.681181111960226e-05,8.681181111960226e-05
SOD2,5237.949529439988,0.654086890523349,0.23888926991265036,2.7380337792589646,0.006180772708056469,0.013873788345805766,0.013873788345805766
RPS27A,5293.355517996677,-0.1179488289902628,0.14648968078074823,-0.8051681754075043,0.420722638553239,0.5152415988647169,0.5152415988647169
EIF1,5220.892492569794,0.041043692958172534,0.07210217646694314,0.5692434676641132,0.5691909257112799,0.6501324108638262,0.6501324108638263
RPL15,5219.258129278558,-0.4697632488525857,0.11341084096279522,-4.142137073180623,3.4408458591208864e-05,0.00011355926927791704,0.00011355926927791704
RPL7,5201.527611432104,-0.5392530430370541,0.16821584345908033,-3.2057208878082353,0.0013472459924799287,0.003467814652457989,0.003467814652457989
ISG20,5016.336841005251,4.160470597421938,0.14049417746323378,29.61311758639037,1.0129079822753692e-192,1.0129079822753692e-189,1.0129079822753692e-189
RPS3A,5084.0177476997815,-0.3770215820124027,0.1577613639484511,-2.3898220234429224,0.01685653915782779,0.03433103698131933,0.03433103698131933
RNF213,286.7675413124573,1.9647003076754703,0.12226105468204586,16.069715027282424,4.159943228594241e-58,1.5697898975827326e-56,1.5697898975827323e-56
RPL18A,5090.741118780137,-0.11356921698182897,0.1287622287817022,-0.8820072319062541,0.3777728964533803,0.47446396043895755,0.47446396043895755
RPL34,4739.412535183913,-0.0434957721483949,0.14997610913599616,-0.2900180061942637,0.7718024623748757,0.8232559598665341,0.8232559598665341
RPL19,4738.627396943728,-0.15830623462474772,0.10554984645638721,-1.499824395198521,0.13365989635226838,0.20468590559306032,0.20468590559306032
TMSB10,4337.555293413852,1.5529971473633617,0.08540874891661841,18.183115512902532,7.022822300387055e-74,4.2562559396285184e-72,4.256255939628518e-72
C15orf48,4942.215372651759,0.206778573265623,0.20146015352279492,1.0263993630989976,0.30470337812726,0.3998731996420735,0.3998731996420735
S100A11,4451.927123450665,0.08453450335171231,0.18292432327246147,0.4621282825564983,0.6439893293042809,0.713957127831797,0.713957127831797
MBNL1,52.270741490569975,0.15472853149459367,0.12891786007865966,1.2002102067175608,0.2300577123132912,0.3199690018265524,0.31996900182655247
SRGN,4039.2393475127237,-0.21768935464781355,0.15507324900997532,-1.4037840571316742,0.16038316284455312,0.23760468569563423,0.23760468569563423
RPL8,4271.007481128745,-0.3964616770753406,0.088091508512147,-4.500566328940459,6.7772651894939084e-06,2.5194294384735718e-05,2.519429438473572e-05
PFN1,4129.583488178358,-0.9638108756958411,0.13915030003486914,-6.926401707034216,4.316795695217642e-12,2.956709380286056e-11,2.956709380286056e-11
PTMA,3469.1394853751017,-0.06623665748360291,0.11200075825770535,-0.5913947236963997,0.5542559748432294,0.6374421792331563,0.6374421792331563
STAT1,290.1314166133162,2.38241762536443,0.15839857319571182,15.040650791852755,3.9762177202453434e-51,1.2234516062293365e-49,1.2234516062293365e-49
RPS12,3838.4287536251095,0.15698345737197433,0.13230319690804707,1.18654319049509,0.23540785553478194,0.3261779616896673,0.32617796168966723
TPT1,3341.012222821085,-0.04344782352816885,0.08721489419111138,-0.49816976711526983,0.6183643896549819,0.6924573232418609,0.692457323241861
PABPC1,3076.071242720125,-0.34376064079995616,0.12793414368874886,-2.6870124807048525,0.007209425888326681,0.015932432902379407,0.015932432902379407
RPS9,3979.73944951994,-0.18272813310856434,0.07454158532642086,-2.451358289582786,0.014231821311448534,0.02952660023122103,0.029526600231221025
OAZ1,3901.52256500555,-0.5855451149229154,0.10485038758669228,-5.584577495612743,2.3426903849408346e-08,1.1597477153172449e-07,1.1597477153172448e-07
MYL6,3848.7036389192226,-0.41292729358912356,0.12175721471825345,-3.391398978242386,0.0006953679277440835,0.0018768365121297802,0.00187683651212978
APOBEC3A,3770.4034518972144,5.049944047177523,0.4007590708709854,12.600947587292987,2.0862292912869255e-36,3.6282248544120444e-35,3.6282248544120444e-35
PTPRC,661.5458464972285,0.03734052294099687,0.08195394827656932,0.45562811464536296,0.6486574224393132,0.7187339860823416,0.7187339860823415
IFIT3,2633.6748778120577,6.28554616772755,0.34045098044140754,18.462411709251366,4.1441729959321343e-76,2.6736599973755705e-74,2.6736599973755705e-74
LYZ,2604.601780312045,-0.19262262477271339,0.4746332316503722,-0.4058346780796092,0.6848640766681302,0.7497143696421787,0.7497143696421786
RPS13,3679.056174432457,-0.10120278305093722,0.13835410723359406,-0.731476535641032,0.46448813163778846,0.5529620614735576,0.5529620614735576
RPL12,3629.4733445788697,-0.0911059564569989,0.07848202028254936,-1.1608513151037791,0.24570237043463017,0.33796749715905117,0.3379674971590511
RPLP2,3513.0622356374483,0.15558827695061025,0.11809638940358375,1.317468533427397,0.18768162185612325,0.27043461362553783,0.27043461362553783
TYROBP,3516.1289165975645,0.23723714575213925,0.18328127296363678,1.2943883568465142,0.1955313103208447,0.27893196907395823,0.27893196907395823
RPL26,3416.5970694958633,-0.2292265409079586,0.1099426859933882,-2.08496398679712,0.03707256964839552,0.06808552736160793,0.06808552736160793
RPS27,3229.841490390334,-0.05581727244926013,0.1351943700028336,-0.4128668408905654,0.6797041765467222,0.7456984931944292,0.7456984931944293
ARHGAP15,56.40946297660773,0.5443525682194125,0.245902091134143,2.213696376914748,0.026849672345072698,0.05130107025033893,0.05130107025033892
ANXA1,3420.146561777411,0.5506690638409983,0.12120921489098824,4.5431287079637706,5.542538665334214e-06,2.0758571780277954e-05,2.0758571780277954e-05
RSAD2,1950.2851001263746,6.541373871418953,0.45764057089657395,14.293693101998366,2.395608434325078e-46,5.772550444156815e-45,5.772550444156814e-45
SH3BGRL3,3368.075919333599,-0.7399134714195076,0.10889658727033925,-6.794643339764622,1.085808118341406e-11,7.143474462772408e-11,7.143474462772408e-11
VIM,3019.711932331679,-0.6511165771707457,0.1802833945573625,-3.6116281189922548,0.0003042806950250649,0.0008668965670229769,0.0008668965670229769
HLA-E,2262.3553383598255,0.9525098856696411,0.06960860773666004,13.683794528302176,1.2689412452157393e-42,2.643627594199457e-41,2.643627594199457e-41
SMCHD1,256.8820305408241,1.7881286214374599,0.12222806256650227,14.629444203654694,1.8227000543260463e-48,4.7965790903317e-47,4.7965790903317e-47
MAML2,16.756964239835277,0.744231192023526,0.21679092898039953,3.4329443373104107,0.000597064660956276,0.001629098665637861,0.001629098665637861
HBB,3421.3398803307728,-0.04121402844514875,0.6790362278666321,-0.06069488895258693,0.9516022022033326,0.9647800349592329,0.9647800349592328
TNFSF10,2380.252632580138,5.144130531489527,0.3148886685144107,16.336346924640473,5.441712023607314e-60,2.134004715140123e-58,2.1340047151401228e-58
RPS15,3242.813390806078,-0.01989050790392397,0.11107297939348869,-0.1790760274239118,0.8578780050701589,0.8967309551131276,0.8967309551131276
FCER1G,3255.464753562263,-0.07723395448954358,0.21377913369431298,-0.3612792004292708,0.717890740843214,0.7775910475595502,0.7775910475595502
GAPDH,3203.529124385299,-0.963444704771609,0.15935525527568925,-6.045892261945309,1.4858536706891295e-09,8.186521601593e-09,8.186521601593e-09
MX1,1475.5045896304543,5.018970041683978,0.33947337774333924,14.784576260582648,1.8421297640365095e-49,5.1170271223236375e-48,5.1170271223236375e-48
RPL23A,3249.1791214586046,-0.02739244696503227,0.10079042470616867,-0.2717762827658347,0.7857940426516753,0.8355066907513826,0.8355066907513826
HLA-DRB1,2991.102770457004,-0.07747259062275223,0.189226685917796,-0.4094168338201935,0.6822337879880973,0.7472440175116072,0.7472440175116072
EPSTI1,638.431655410056,3.271818926897034,0.22308564942444278,14.666200785833924,1.0612299488798373e-48,2.829946530346233e-47,2.829946530346233e-47
