sample_id,donor,cytokine,n_cells,condition
Parse10M__Donor1__IFN-beta,Donor1,IFN-beta,20471,treated
Parse10M__Donor1__PBS,Donor1,PBS,90452,control
Parse10M__Donor2__IFN-beta,Donor2,IFN-beta,7361,treated
Parse10M__Donor2__PBS,Donor2,PBS,70520,control
Parse10M__Donor3__IFN-beta,Donor3,IFN-beta,3849,treated
Parse10M__Donor3__PBS,Donor3,PBS,48567,control
Parse10M__Donor4__IFN-beta,Donor4,IFN-beta,3349,treated
Parse10M__Donor4__PBS,Donor4,PBS,44518,control
Parse10M__Donor5__IFN-beta,Donor5,IFN-beta,11555,treated
Parse10M__Donor5__PBS,Donor5,PBS,55293,control
Parse10M__Donor6__IFN-beta,Donor6,IFN-beta,12411,treated
Parse10M__Donor6__PBS,Donor6,PBS,59158,control
Parse10M__Donor7__IFN-beta,Donor7,IFN-beta,5246,treated
Parse10M__Donor7__PBS,Donor7,PBS,37816,control
Parse10M__Donor8__IFN-beta,Donor8,IFN-beta,6565,treated
Parse10M__Donor8__PBS,Donor8,PBS,43064,control
Parse10M__Donor9__IFN-beta,Donor9,IFN-beta,4950,treated
Parse10M__Donor9__PBS,Donor9,PBS,29329,control
Parse10M__Donor10__IFN-beta,Donor10,IFN-beta,5025,treated
Parse10M__Donor10__PBS,Donor10,PBS,35850,control
Parse10M__Donor11__IFN-beta,Donor11,IFN-beta,7030,treated
Parse10M__Donor11__PBS,Donor11,PBS,43955,control
Parse10M__Donor12__IFN-beta,Donor12,IFN-beta,7518,treated
Parse10M__Donor12__PBS,Donor12,PBS,71179,control
