gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_native,padj
MALAT1,2813477.3634633585,0.15955934626571633,0.06325103142221788,2.5226362745077497,0.011647880920514147,0.02696268731600497,0.02696268731600497
FTH1,23497.168409433056,-0.6643820297508217,0.28369906544379186,-2.341854840838216,0.01918817620746436,0.041309313686683224,0.041309313686683224
FTL,60227.127043445886,-0.9566330824826264,0.27755656601692746,-3.4466238583751743,0.0005676382982138181,0.0022097652004551185,0.0022097652004551185
B2M,200674.69588508512,0.44263991690816107,0.12874115945106032,3.4382160203895493,0.0005855603649133112,0.002265223848794241,0.0022652238487942404
TMSB4X,60792.470454757706,-0.036109387972454804,0.11814442803753795,-0.3056376722309899,0.7598805338649623,0.8192782036279916,0.8192782036279918
ISG15,19955.30573810317,1.5747814794495407,0.4791080603535031,3.2869024960415203,0.0010129590028684422,0.00356675705235367,0.0035667570523536694
HLA-B,116098.27984259697,0.4559494139217743,0.12540021426178177,3.6359540261226972,0.0002769537264073427,0.0011924698557270385,0.0011924698557270387
CXCL10,51365.530395188944,0.8966152996616333,0.5239619818100381,1.7112220557763682,0.08704012862114174,0.1449554479057296,0.1449554479057296
TIMP1,3201.9741053782195,-0.29161922998270123,0.34972360677785674,-0.8338562920287413,0.40436196964729854,0.49584545634248745,0.49584545634248745
RPS2,5989.4833998440345,-0.41349574296155717,0.21581505256864306,-1.9159726721565862,0.05536857423085454,0.10030538809937417,0.10030538809937417
RPL10,2209.3963659984415,-0.8941242129665123,0.14868621638831525,-6.013497650860786,1.8156256307892863e-09,4.596520584276674e-08,4.5965205842766744e-08
ACTB,57400.095572622995,-0.5520635348028907,0.16858051660104195,-3.2747766226709882,0.0010574555281134238,0.003690944251704795,0.003690944251704795
RPL13,6209.466603706875,-0.7652913489908749,0.259933159118505,-2.944185157392613,0.0032380621548913553,0.009147068234156371,0.009147068234156371
RPS18,2380.582283964705,-0.5805188934931851,0.23109542472319822,-2.5120310979264073,0.012003851017871634,0.027595059811199158,0.027595059811199158
CCL2,6749.692816914522,-1.1163210000694075,0.4058270313672145,-2.7507310104715508,0.0059462448468235425,0.015227259530918162,0.015227259530918164
RPS6,25917.573240083308,-0.750159166290875,0.2462001159042044,-3.046948875453654,0.0023117702520349492,0.006952692487323155,0.006952692487323155
RPL13A,11165.52183550993,-0.4903527104354336,0.21412985543627708,-2.289978244445963,0.022022577834939255,0.04636332175776685,0.046363321757766855
RPLP1,16636.00932108548,-0.22775946338797626,0.21509291187564936,-1.0588887444122275,0.2896504508945833,0.3811190143349781,0.381119014334978
RPS19,12130.303129323367,-0.37942985195266704,0.1988160620457584,-1.908446672006508,0.056333509473425414,0.10160018270985108,0.10160018270985108
RPS4X,9373.403177033977,-0.6534569145628772,0.26035150679129465,-2.509902564484512,0.012076447824260728,0.0277300753714368,0.0277300753714368
RPL3,8248.115017160433,-1.0342042561711897,0.23129518214102668,-4.471360996791574,7.772337140286062e-06,5.888134197186411e-05,5.888134197186411e-05
RPL21,4839.551546218507,-0.3347112268136872,0.2534314791787429,-1.320716857662415,0.18659579101477497,0.2669467682614806,0.2669467682614806
HLA-DRA,28470.5644487886,-0.9940862876723923,0.22538406483372184,-4.41063252810612,1.0306910129743601e-05,7.578610389517353e-05,7.578610389517353e-05
RPS14,10029.100633849912,-0.38887875056749316,0.23850053469434693,-1.6305152148437114,0.10299265221240081,0.16596303203205884,0.16596303203205884
HLA-A,47359.558339992676,0.43822443896256635,0.12266098419288023,3.5726473405225034,0.000353390530071758,0.0014724605419656584,0.0014724605419656584
RPL32,12341.734319684592,-0.3819276562971763,0.27231255945120864,-1.402534121330558,0.16075580867988548,0.23851010189893987,0.2385101018989399
RPS3,14149.111210368,-0.38947295451892183,0.2256546212100584,-1.7259693261782019,0.08435293124346638,0.1412946922001112,0.14129469220011118
CD74,67395.28995654917,-0.2894065906416547,0.20490250967953808,-1.4124111563800692,0.1578289334169578,0.2353899081535538,0.23538990815355376
CCL8,6925.805032770109,0.014865240047484164,0.5456845100850475,0.027241455039959526,0.9782671516228527,0.9807189489953411,0.9807189489953411
RPL11,16869.953508286333,-0.4092570083643614,0.2335346232271304,-1.7524468222698075,0.07969700626844327,0.13485111043729825,0.13485111043729828
SAT1,50462.7367879993,1.018979532785708,0.3355616459391588,3.0366388564277718,0.0023923189268975206,0.007088352375992653,0.007088352375992653
HLA-C,34919.61526371247,0.23925026881255979,0.19888948658505332,1.2029306974466272,0.22900314000718236,0.31630267956793146,0.31630267956793146
SOD2,24550.313581014943,0.03345759573916879,0.30539680475087944,0.10955450488901176,0.9127626932291046,0.9323418725527115,0.9323418725527116
RPS27A,12455.688218174168,-0.48599362846373,0.25108244104741595,-1.9355938489221232,0.05291746432946193,0.09647668975289321,0.09647668975289321
EIF1,11395.747977235113,0.159598036888271,0.09294839784962104,1.7170606549505112,0.08596809008703786,0.1437220148779777,0.14372201487797773
RPL15,8264.68673041956,-0.5277323386698697,0.20316899616807246,-2.5975042876783268,0.009390394787412912,0.02243821932476204,0.022438219324762036
RPL7,7884.936333061193,-0.766038245800435,0.26613356490891055,-2.878397717561957,0.003997008717802398,0.010876214198101763,0.010876214198101763
ISG20,25459.160594888875,1.4766860120526364,0.2813256740631077,5.249026833297064,1.5290480449114682e-07,2.2321869268780557e-06,2.232186926878056e-06
RPS3A,2687.6761489018522,-0.44690191405992036,0.18679532633379586,-2.392468392176603,0.01673546950639763,0.03690290960616898,0.03690290960616898
RNF213,253380.47390185366,0.6090232105111633,0.23364939159247136,2.6065687839385205,0.009145445331189658,0.02195785193562943,0.02195785193562943
RPL18A,543.2314194218832,-0.9048527461687198,0.19107253830444662,-4.735650419459897,2.1835368416368524e-06,1.994097572271098e-05,1.994097572271098e-05
RPL34,17934.170397073518,-0.46630863322898924,0.272505212000309,-1.711191612835869,0.08704574646739062,0.1449554479057296,0.1449554479057296
RPL19,15341.210157138281,-0.5568514792806862,0.23876335901049536,-2.3322317192572606,0.01968850436405313,0.04220472532487274,0.04220472532487273
TMSB10,34882.21543805115,-0.06097387347732086,0.192053715240808,-0.3174834363441932,0.750876805777218,0.8128950591802222,0.8128950591802222
C15orf48,2494.006274546511,0.1353367268971936,0.3568748561810138,0.37922740858086174,0.7045189998931063,0.7810631927861489,0.7810631927861489
S100A11,6095.395672795888,0.19669857447287073,0.19674374548243986,0.9997704068840492,0.3174216302431391,0.4079969540400245,0.4079969540400245
MBNL1,229935.06880698283,-0.038244263093315765,0.06791474794145855,-0.5631216231013877,0.573352068308232,0.6578910709216662,0.6578910709216661
SRGN,22207.801428832176,-0.04379671209704368,0.21008460857641087,-0.20847177903141903,0.8348606156241983,0.8758194021549742,0.8758194021549742
RPL8,5475.761974630367,-0.5618872405329615,0.2150757464696511,-2.6125086150160044,0.00898804270042219,0.02160587187601488,0.021605871876014884
PFN1,10964.084836805652,-0.15244092680250748,0.13115236696591942,-1.1623192957098516,0.2451057915576349,0.33507285243695817,0.33507285243695817
PTMA,43633.46848896624,-0.06137282838702254,0.11188807398292497,-0.5485198395352532,0.5833350104304932,0.6681958882365329,0.6681958882365329
STAT1,207207.3454491968,0.6762420072494186,0.2222607909913511,3.0425609673805822,0.0023457429393693835,0.007012684422628949,0.007012684422628949
RPS12,18605.740862043767,-0.2153114715128476,0.25731239726058497,-0.8367706873244734,0.4027214770188441,0.4941367816182136,0.4941367816182136
TPT1,42263.1349152127,-0.5871598808562042,0.2244649302766944,-2.6158201200179527,0.008901343757516621,0.021449021102449693,0.02144902110244969
PABPC1,53626.16848284107,-0.9988193630112024,0.20919096175507454,-4.774677426937032,1.7999553119644695e-06,1.7307262615042975e-05,1.7307262615042975e-05
RPS9,5538.551851954754,-0.26260286272366445,0.09845068142125256,-2.6673544452174442,0.007645099673457336,0.018876789317178604,0.018876789317178604
OAZ1,5606.500669404792,-0.2640114494757196,0.13031227863745237,-2.0259905838208665,0.042765749582865394,0.081751364867343,0.08175136486734301
MYL6,7838.782485844825,-0.32080839983147935,0.12415319902335117,-2.5839720792948766,0.009766970073420441,0.023227039413603903,0.023227039413603906
APOBEC3A,18032.658756459965,0.9112383722084954,0.5094289574890458,1.7887447480409269,0.07365593279920847,0.1264479533033622,0.12644795330336217
PTPRC,170898.58348964696,-0.07658409655633462,0.06198207756233813,-1.2355845361800044,0.21661303567730583,0.30180127102320686,0.3018012710232068
IFIT3,72795.32752275694,1.4828756034518158,0.43873716275881647,3.3798723457282907,0.0007251950360979249,0.002716086277520318,0.002716086277520318
LYZ,70071.67002081136,-2.1320164758351265,0.3175209048681069,-6.714570420869556,1.886210689264214e-11,7.544842757056855e-10,7.544842757056855e-10
RPS13,8923.532890957727,-0.5704989155655303,0.26922173049205556,-2.1190671143924065,0.03408479543957503,0.06704717271282236,0.06704717271282237
RPL12,11320.297550744077,-0.07542723946085472,0.23811562353070473,-0.3167672844916388,0.7514201899716152,0.8128950591802222,0.8128950591802222
RPLP2,17246.68776937867,-0.2751219140856249,0.25939487709644865,-1.0606297131432114,0.2888582137035226,0.3803268119862049,0.3803268119862049
TYROBP,14127.173048388615,-0.13176604744781006,0.2929020080951161,-0.449863926521872,0.6528085598950621,0.7339050701462194,0.7339050701462193
RPL26,10608.068236962841,-0.25221497383342295,0.23421677576045485,-1.0768441885280489,0.2815498803271069,0.3731608751850324,0.3731608751850323
RPS27,17514.937525568934,-0.4121508203135427,0.26090129823644626,-1.579719315693186,0.11417116013109978,0.1815121782688391,0.1815121782688391
ARHGAP15,181315.96915900634,-0.01885431556050794,0.1315683252309295,-0.14330436696989743,0.8860498070879321,0.9170610951439099,0.9170610951439099
ANXA1,7965.989169908746,0.5990681887088131,0.12043079111822753,4.9743772597217655,6.545772246342253e-07,7.65587397233012e-06,7.65587397233012e-06
RSAD2,85682.62493204407,1.731098803652687,0.46049455485611196,3.7592166626022174,0.00017044618589992784,0.0007967125479507583,0.0007967125479507583
SH3BGRL3,6035.086142569103,-0.849932287814328,0.1784963579227266,-4.761622577096361,1.9204259463321955e-06,1.8203089538693796e-05,1.8203089538693796e-05
VIM,23961.12081954272,-0.0355556332331803,0.16809849265702972,-0.21151666901454155,0.8324841264512169,0.8747609751281038,0.8747609751281037
