partition,method,donors_A,donors_B,n_genes,discoveries,pvalue_nonfinite
0,cell_welch,101|1015|1016|1039,107|1244|1256|1488,1000,231,0
0,donor_mean_welch,101|1015|1016|1039,107|1244|1256|1488,1000,0,0
0,exact_donor_randomization,101|1015|1016|1039,107|1244|1256|1488,1000,0,0
1,cell_welch,101|1015|1016|107,1039|1244|1256|1488,1000,203,0
1,donor_mean_welch,101|1015|1016|107,1039|1244|1256|1488,1000,0,0
1,exact_donor_randomization,101|1015|1016|107,1039|1244|1256|1488,1000,0,0
2,cell_welch,101|1015|1016|1244,1039|107|1256|1488,1000,288,0
2,donor_mean_welch,101|1015|1016|1244,1039|107|1256|1488,1000,0,0
2,exact_donor_randomization,101|1015|1016|1244,1039|107|1256|1488,1000,0,0
3,cell_welch,101|1015|1016|1256,1039|107|1244|1488,1000,217,0
3,donor_mean_welch,101|1015|1016|1256,1039|107|1244|1488,1000,0,0
3,exact_donor_randomization,101|1015|1016|1256,1039|107|1244|1488,1000,0,0
4,cell_welch,101|1015|1016|1488,1039|107|1244|1256,1000,242,0
4,donor_mean_welch,101|1015|1016|1488,1039|107|1244|1256,1000,0,0
4,exact_donor_randomization,101|1015|1016|1488,1039|107|1244|1256,1000,0,0
5,cell_welch,101|1015|1039|107,1016|1244|1256|1488,1000,219,0
5,donor_mean_welch,101|1015|1039|107,1016|1244|1256|1488,1000,0,0
5,exact_donor_randomization,101|1015|1039|107,1016|1244|1256|1488,1000,0,0
6,cell_welch,101|1015|1039|1244,1016|107|1256|1488,1000,133,0
6,donor_mean_welch,101|1015|1039|1244,1016|107|1256|1488,1000,0,0
6,exact_donor_randomization,101|1015|1039|1244,1016|107|1256|1488,1000,0,0
7,cell_welch,101|1015|1039|1256,1016|107|1244|1488,1000,210,0
7,donor_mean_welch,101|1015|1039|1256,1016|107|1244|1488,1000,0,0
7,exact_donor_randomization,101|1015|1039|1256,1016|107|1244|1488,1000,0,0
8,cell_welch,101|1015|1039|1488,1016|107|1244|1256,1000,173,0
8,donor_mean_welch,101|1015|1039|1488,1016|107|1244|1256,1000,0,0
8,exact_donor_randomization,101|1015|1039|1488,1016|107|1244|1256,1000,0,0
9,cell_welch,101|1015|107|1244,1016|1039|1256|1488,1000,175,0
9,donor_mean_welch,101|1015|107|1244,1016|1039|1256|1488,1000,0,0
9,exact_donor_randomization,101|1015|107|1244,1016|1039|1256|1488,1000,0,0
10,cell_welch,101|1015|107|1256,1016|1039|1244|1488,1000,239,0
10,donor_mean_welch,101|1015|107|1256,1016|1039|1244|1488,1000,0,0
10,exact_donor_randomization,101|1015|107|1256,1016|1039|1244|1488,1000,0,0
11,cell_welch,101|1015|107|1488,1016|1039|1244|1256,1000,189,0
11,donor_mean_welch,101|1015|107|1488,1016|1039|1244|1256,1000,0,0
11,exact_donor_randomization,101|1015|107|1488,1016|1039|1244|1256,1000,0,0
12,cell_welch,101|1015|1244|1256,1016|1039|107|1488,1000,130,0
12,donor_mean_welch,101|1015|1244|1256,1016|1039|107|1488,1000,0,0
12,exact_donor_randomization,101|1015|1244|1256,1016|1039|107|1488,1000,0,0
13,cell_welch,101|1015|1244|1488,1016|1039|107|1256,1000,125,0
13,donor_mean_welch,101|1015|1244|1488,1016|1039|107|1256,1000,0,0
13,exact_donor_randomization,101|1015|1244|1488,1016|1039|107|1256,1000,0,0
14,cell_welch,101|1015|1256|1488,1016|1039|107|1244,1000,259,0
14,donor_mean_welch,101|1015|1256|1488,1016|1039|107|1244,1000,0,0
14,exact_donor_randomization,101|1015|1256|1488,1016|1039|107|1244,1000,0,0
15,cell_welch,101|1016|1039|107,1015|1244|1256|1488,1000,247,0
15,donor_mean_welch,101|1016|1039|107,1015|1244|1256|1488,1000,0,0
15,exact_donor_randomization,101|1016|1039|107,1015|1244|1256|1488,1000,0,0
16,cell_welch,101|1016|1039|1244,1015|107|1256|1488,1000,343,0
16,donor_mean_welch,101|1016|1039|1244,1015|107|1256|1488,1000,0,0
16,exact_donor_randomization,101|1016|1039|1244,1015|107|1256|1488,1000,0,0
17,cell_welch,101|1016|1039|1256,1015|107|1244|1488,1000,147,0
17,donor_mean_welch,101|1016|1039|1256,1015|107|1244|1488,1000,0,0
17,exact_donor_randomization,101|1016|1039|1256,1015|107|1244|1488,1000,0,0
18,cell_welch,101|1016|1039|1488,1015|107|1244|1256,1000,186,0
18,donor_mean_welch,101|1016|1039|1488,1015|107|1244|1256,1000,0,0
18,exact_donor_randomization,101|1016|1039|1488,1015|107|1244|1256,1000,0,0
19,cell_welch,101|1016|107|1244,1015|1039|1256|1488,1000,348,0
19,donor_mean_welch,101|1016|107|1244,1015|1039|1256|1488,1000,0,0
19,exact_donor_randomization,101|1016|107|1244,1015|1039|1256|1488,1000,0,0
20,cell_welch,101|1016|107|1256,1015|1039|1244|1488,1000,153,0
20,donor_mean_welch,101|1016|107|1256,1015|1039|1244|1488,1000,0,0
20,exact_donor_randomization,101|1016|107|1256,1015|1039|1244|1488,1000,0,0
21,cell_welch,101|1016|107|1488,1015|1039|1244|1256,1000,156,0
21,donor_mean_welch,101|1016|107|1488,1015|1039|1244|1256,1000,0,0
21,exact_donor_randomization,101|1016|107|1488,1015|1039|1244|1256,1000,0,0
22,cell_welch,101|1016|1244|1256,1015|1039|107|1488,1000,262,0
22,donor_mean_welch,101|1016|1244|1256,1015|1039|107|1488,1000,0,0
22,exact_donor_randomization,101|1016|1244|1256,1015|1039|107|1488,1000,0,0
23,cell_welch,101|1016|1244|1488,1015|1039|107|1256,1000,275,0
23,donor_mean_welch,101|1016|1244|1488,1015|1039|107|1256,1000,0,0
23,exact_donor_randomization,101|1016|1244|1488,1015|1039|107|1256,1000,0,0
24,cell_welch,101|1016|1256|1488,1015|1039|107|1244,1000,145,0
