seed,grid_id,donors_per_group,cells_per_donor,donor_sd,nonnull_fraction,method,discoveries,true_positive,false_positive,fdp,sensitivity,any_false_positive,pvalue_nonfinite,two_methods_seconds
260908,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.004247899982146919
260908,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.004247899982146919
260909,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014255999703891575
260909,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014255999703891575
260910,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0013926999527029693
260910,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0013926999527029693
260911,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0016336999833583832
260911,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0016336999833583832
260912,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0015075000119395554
260912,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0015075000119395554
260913,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0024251999566331506
260913,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0024251999566331506
260914,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.002320599975064397
260914,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.002320599975064397
260915,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0018177999882027507
260915,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0018177999882027507
260916,0,4,20,0.0,0.0,cell_welch,1,0,1,1.0,,1,0,0.0014008000143803656
260916,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014008000143803656
260917,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.002355300006456673
260917,0,4,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.002355300006456673
260918,0,4,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014400000218302011
