grid_id,donors_per_group,cells_per_donor,donor_sd,nonnull_fraction,method,n_datasets,fdp,fdp_lo,fdp_hi,any_false_positive,any_false_positive_lo,any_false_positive_hi,sensitivity,sensitivity_lo,sensitivity_hi
0,4,20,0.0,0.0,cell_welch,50,0.1,0.02,0.18,0.1,0.02,0.18,,,
0,4,20,0.0,0.0,donor_mean_welch,50,0.0,0.0,0.0,0.0,0.0,0.0,,,
1,4,20,0.0,0.2,cell_welch,50,0.0362140530421869,0.028853504158757984,0.04394999833310951,0.82,0.7,0.92,0.9890000000000001,0.9840000000000001,0.9934999999999999
1,4,20,0.0,0.2,donor_mean_welch,50,0.027054106157199463,0.01933407334958425,0.035341781460286784,0.58,0.44,0.7,0.7759999999999999,0.7509999999999999,0.8
2,4,20,0.8,0.0,cell_welch,50,1.0,1.0,1.0,1.0,1.0,1.0,,,
2,4,20,0.8,0.0,donor_mean_welch,50,0.04,0.0,0.1,0.04,0.0,0.1,,,
3,4,20,0.8,0.2,cell_welch,50,0.735927307659974,0.7307559345155641,0.7411606297595714,1.0,1.0,1.0,0.7444999999999999,0.7290000000000001,0.759
3,4,20,0.8,0.2,donor_mean_welch,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0005,0.005
4,4,100,0.0,0.0,cell_welch,50,0.08,0.02,0.16,0.08,0.02,0.16,,,
4,4,100,0.0,0.0,donor_mean_welch,50,0.06,0.0,0.14,0.06,0.0,0.14,,,
5,4,100,0.0,0.2,cell_welch,50,0.040150682246911505,0.03126609748731133,0.0491192483453205,0.8,0.7,0.9,1.0,1.0,1.0
5,4,100,0.0,0.2,donor_mean_welch,50,0.023277094746181528,0.017057415169440125,0.030487575700281315,0.64,0.5,0.76,0.9995,0.9984999999999999,1.0
6,4,100,0.8,0.0,cell_welch,50,1.0,1.0,1.0,1.0,1.0,1.0,,,
6,4,100,0.8,0.0,donor_mean_welch,50,0.02,0.0,0.06,0.02,0.0,0.06,,,
7,4,100,0.8,0.2,cell_welch,50,0.7811539025070096,0.7779606662546098,0.7843003720774157,1.0,1.0,1.0,0.8855,0.871,0.9
7,4,100,0.8,0.2,donor_mean_welch,50,0.02,0.0,0.06,0.02,0.0,0.06,0.001,0.0,0.0025
8,8,20,0.0,0.0,cell_welch,50,0.04,0.0,0.1,0.04,0.0,0.1,,,
8,8,20,0.0,0.0,donor_mean_welch,50,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,8,20,0.0,0.2,cell_welch,50,0.0404740520768043,0.03325137237091909,0.04833648269492555,0.86,0.76,0.94,0.9995,0.9984999999999999,1.0
9,8,20,0.0,0.2,donor_mean_welch,50,0.03307860224479623,0.025634647258583727,0.04052236202066037,0.72,0.6,0.84,0.9995,0.9984999999999999,1.0
10,8,20,0.8,0.0,cell_welch,50,1.0,1.0,1.0,1.0,1.0,1.0,,,
10,8,20,0.8,0.0,donor_mean_welch,50,0.02,0.0,0.06,0.02,0.0,0.06,,,
11,8,20,0.8,0.2,cell_welch,50,0.7075838557705215,0.701744077012886,0.7136698604567568,1.0,1.0,1.0,0.858,0.8424874999999998,0.873
11,8,20,0.8,0.2,donor_mean_welch,50,0.026666666666666665,0.0,0.07999999999999999,0.04,0.0,0.1,0.0055000000000000005,0.0025,0.009000000000000001
12,8,100,0.0,0.0,cell_welch,50,0.04,0.0,0.1,0.04,0.0,0.1,,,
12,8,100,0.0,0.0,donor_mean_welch,50,0.02,0.0,0.06,0.02,0.0,0.06,,,
13,8,100,0.0,0.2,cell_welch,50,0.034226539053659175,0.02649418584188862,0.04306188927324926,0.76,0.64,0.88,1.0,1.0,1.0
13,8,100,0.0,0.2,donor_mean_welch,50,0.030745259409838074,0.021965270902889585,0.04057867631832465,0.64,0.5,0.76,1.0,1.0,1.0
14,8,100,0.8,0.0,cell_welch,50,1.0,1.0,1.0,1.0,1.0,1.0,,,
14,8,100,0.8,0.0,donor_mean_welch,50,0.04,0.0,0.1,0.04,0.0,0.1,,,
15,8,100,0.8,0.2,cell_welch,50,0.7646817998055461,0.7617435616231575,0.7676872422016031,1.0,1.0,1.0,0.9514999999999999,0.9415000000000002,0.9605
15,8,100,0.8,0.2,donor_mean_welch,50,0.006666666666666666,0.0,0.02,0.02,0.0,0.06,0.012500000000000002,0.008,0.0175
