grid_id,method,n,false_positive_datasets,any_false_positive,wilson_lo,wilson_hi
0,cell_welch,50,5,0.1,0.04347576493189041,0.21360231437479654
0,donor_mean_welch,50,0,0.0,6.938893903907228e-18,0.07134759913335872
1,cell_welch,50,41,0.82,0.6920394632569922,0.9022980732976582
1,donor_mean_welch,50,29,0.58,0.4423344176857823,0.7062499664528802
2,cell_welch,50,50,1.0,0.9286524008666414,1.0
2,donor_mean_welch,50,2,0.04,0.011038884327619805,0.1346009068750702
3,cell_welch,50,50,1.0,0.9286524008666414,1.0
3,donor_mean_welch,50,0,0.0,6.938893903907228e-18,0.07134759913335872
4,cell_welch,50,4,0.08,0.03154951408859298,0.18838246918342838
4,donor_mean_welch,50,3,0.06,0.02061497034897397,0.16217091688838173
5,cell_welch,50,40,0.8,0.6696289406777459,0.887562499842239
5,donor_mean_welch,50,32,0.64,0.501410168761127,0.7586125034815325
6,cell_welch,50,50,1.0,0.9286524008666414,1.0
6,donor_mean_welch,50,1,0.02,0.003539259271646236,0.10495443589637815
7,cell_welch,50,50,1.0,0.9286524008666414,1.0
7,donor_mean_welch,50,1,0.02,0.003539259271646236,0.10495443589637815
8,cell_welch,50,2,0.04,0.011038884327619805,0.1346009068750702
8,donor_mean_welch,50,0,0.0,6.938893903907228e-18,0.07134759913335872
9,cell_welch,50,43,0.86,0.7381380628941446,0.9304916657298371
9,donor_mean_welch,50,36,0.72,0.5833487630404344,0.8252582933408878
10,cell_welch,50,50,1.0,0.9286524008666414,1.0
10,donor_mean_welch,50,1,0.02,0.003539259271646236,0.10495443589637815
11,cell_welch,50,50,1.0,0.9286524008666414,1.0
11,donor_mean_welch,50,2,0.04,0.011038884327619805,0.1346009068750702
12,cell_welch,50,2,0.04,0.011038884327619805,0.1346009068750702
12,donor_mean_welch,50,1,0.02,0.003539259271646236,0.10495443589637815
13,cell_welch,50,38,0.76,0.6258731624205708,0.8570260860300828
13,donor_mean_welch,50,32,0.64,0.501410168761127,0.7586125034815325
14,cell_welch,50,50,1.0,0.9286524008666414,1.0
14,donor_mean_welch,50,2,0.04,0.011038884327619805,0.1346009068750702
15,cell_welch,50,50,1.0,0.9286524008666414,1.0
15,donor_mean_welch,50,1,0.02,0.003539259271646236,0.10495443589637815
