section_id,producer_label,spot_count,mapping_status,candidate_role,source_file,frozen_primary_role
1142243F,Artefact,119,UNASSIGNED,EXCLUDE,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1142243F_metadata.csv,PENDING_NOT_APPROVED
1142243F,Invasive cancer + stroma + lymphocytes,3627,COMPOSITE_PRODUCER_CLASS_REQUIRES_REVIEW,PENDING,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1142243F_metadata.csv,PENDING_NOT_APPROVED
1142243F,Lymphocytes,15,UNASSIGNED,EXCLUDE,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1142243F_metadata.csv,PENDING_NOT_APPROVED
1142243F,Necrosis,568,UNASSIGNED,EXCLUDE,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1142243F_metadata.csv,PENDING_NOT_APPROVED
1142243F,Stroma,445,EXACT_PRODUCER_CLASS,STROMA,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1142243F_metadata.csv,PENDING_NOT_APPROVED
1142243F,TLS,10,UNASSIGNED,EXCLUDE,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1142243F_metadata.csv,PENDING_NOT_APPROVED
1160920F,,1,UNASSIGNED,EXCLUDE,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1160920F_metadata.csv,PENDING_NOT_APPROVED
1160920F,Adipose tissue,83,UNASSIGNED,EXCLUDE,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1160920F_metadata.csv,PENDING_NOT_APPROVED
1160920F,Artefact,48,UNASSIGNED,EXCLUDE,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1160920F_metadata.csv,PENDING_NOT_APPROVED
1160920F,Cancer trapped in lymphocyte aggregation,9,COMPOSITE_PRODUCER_CLASS_REQUIRES_REVIEW,PENDING,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1160920F_metadata.csv,PENDING_NOT_APPROVED
