section_id,program_symbol,ensembl_ids,status
1142243F,ADAR,ENSG00000160710,UNAMBIGUOUS
1142243F,APOL6,ENSG00000221963,UNAMBIGUOUS
1142243F,ARID5B,ENSG00000150347,UNAMBIGUOUS
1142243F,ARL4A,ENSG00000122644,UNAMBIGUOUS
1142243F,AUTS2,ENSG00000158321,UNAMBIGUOUS
1142243F,B2M,ENSG00000166710,UNAMBIGUOUS
1142243F,BANK1,ENSG00000153064,UNAMBIGUOUS
1142243F,BATF2,ENSG00000168062,UNAMBIGUOUS
1142243F,BPGM,ENSG00000172331,UNAMBIGUOUS
1142243F,BST2,ENSG00000130303,UNAMBIGUOUS
1142243F,BTG1,ENSG00000133639,UNAMBIGUOUS
1142243F,C1R,ENSG00000159403,UNAMBIGUOUS
1142243F,C1S,ENSG00000182326,UNAMBIGUOUS
1142243F,CASP1,ENSG00000137752,UNAMBIGUOUS
1142243F,CASP3,ENSG00000164305,UNAMBIGUOUS
1142243F,CASP4,ENSG00000196954,UNAMBIGUOUS
1142243F,CASP7,ENSG00000165806,UNAMBIGUOUS
1142243F,CASP8,ENSG00000064012,UNAMBIGUOUS
1142243F,CCL2,ENSG00000108691,UNAMBIGUOUS
1142243F,CCL5,ENSG00000271503,UNAMBIGUOUS
1142243F,CCL7,ENSG00000108688,UNAMBIGUOUS
1142243F,CD274,ENSG00000120217,UNAMBIGUOUS
1142243F,CD38,ENSG00000004468,UNAMBIGUOUS
1142243F,CD40,ENSG00000101017,UNAMBIGUOUS
1142243F,CD69,ENSG00000110848,UNAMBIGUOUS
1142243F,CD74,ENSG00000019582,UNAMBIGUOUS
1142243F,CD86,ENSG00000114013,UNAMBIGUOUS
1142243F,CDKN1A,ENSG00000124762,UNAMBIGUOUS
1142243F,CFB,ENSG00000243649,UNAMBIGUOUS
1142243F,CFH,ENSG00000000971,UNAMBIGUOUS
1142243F,CIITA,ENSG00000179583,UNAMBIGUOUS
1142243F,CMKLR1,ENSG00000174600,UNAMBIGUOUS
1142243F,CMPK2,ENSG00000134326,UNAMBIGUOUS
1142243F,CMTR1,ENSG00000137200,UNAMBIGUOUS
1142243F,CSF2RB,ENSG00000100368,UNAMBIGUOUS
1142243F,CXCL10,ENSG00000169245,UNAMBIGUOUS
1142243F,CXCL11,ENSG00000169248,UNAMBIGUOUS
1142243F,CXCL9,ENSG00000138755,UNAMBIGUOUS
1142243F,DDX60,ENSG00000137628,UNAMBIGUOUS
1142243F,DHX58,ENSG00000108771,UNAMBIGUOUS
1142243F,EIF2AK2,ENSG00000055332,UNAMBIGUOUS
1142243F,EIF4E3,ENSG00000163412,UNAMBIGUOUS
1142243F,EPSTI1,ENSG00000133106,UNAMBIGUOUS
1142243F,FAS,ENSG00000026103,UNAMBIGUOUS
1142243F,FCGR1A,ENSG00000150337,UNAMBIGUOUS
1142243F,FGL2,ENSG00000127951,UNAMBIGUOUS
1142243F,FPR1,ENSG00000171051,UNAMBIGUOUS
1142243F,GBP4,ENSG00000162654,UNAMBIGUOUS
1142243F,GBP6,ENSG00000183347,UNAMBIGUOUS
1142243F,GCH1,ENSG00000131979,UNAMBIGUOUS
1142243F,GPR18,ENSG00000125245,UNAMBIGUOUS
1142243F,GZMA,ENSG00000145649,UNAMBIGUOUS
1142243F,HELZ2,ENSG00000130589,UNAMBIGUOUS
1142243F,HERC6,ENSG00000138642,UNAMBIGUOUS
1142243F,HIF1A,ENSG00000100644,UNAMBIGUOUS
1142243F,HLA-A,ENSG00000206503,UNAMBIGUOUS
1142243F,HLA-B,ENSG00000234745,UNAMBIGUOUS
1142243F,HLA-DMA,ENSG00000204257,UNAMBIGUOUS
1142243F,HLA-DQA1,ENSG00000196735,UNAMBIGUOUS
1142243F,HLA-DRB1,ENSG00000196126,UNAMBIGUOUS
1142243F,HLA-G,ENSG00000204632,UNAMBIGUOUS
1142243F,ICAM1,ENSG00000090339,UNAMBIGUOUS
1142243F,IDO1,ENSG00000131203,UNAMBIGUOUS
1142243F,IFI27,ENSG00000165949,UNAMBIGUOUS
