patient_id,sample_id,section_id,subtype,processing_lab,modality,source_field,source_file,source_sha256,verification_status,notes
1142243F,1142243F,1142243F,TNBC,independent_laboratory_name_unknown,Visium,metadata.patientid; sample/section artifact stem; PMC9044823 cohort description,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1142243F_metadata.csv,b9b02fde7b7747c16cabf3c744455e6b8be1c9d9733cd848c1829d78b6df22ad,PUBLISHER_PATIENT_ID_AND_SAMPLE_LINK_OBSERVED; SECTION_PROVENANCE_PARTIAL,Publisher patientid observed; specimen/capture hierarchy and independent-unit acceptance remain pending.  Exact scRNA sample-name match: False
1160920F,1160920F,1160920F,TNBC,independent_laboratory_name_unknown,Visium,metadata.patientid; sample/section artifact stem; PMC9044823 cohort description,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\1160920F_metadata.csv,47a36ffccead4e9e872b497d6da137ebf593e65d64733465eca0599d5cdeed7b,PUBLISHER_PATIENT_ID_AND_SAMPLE_LINK_OBSERVED; SECTION_PROVENANCE_PARTIAL,Publisher patientid observed; specimen/capture hierarchy and independent-unit acceptance remain pending.  Exact scRNA sample-name match: False
CID4290,CID4290,CID4290,ER,primary_study_processing_group,Visium,metadata.patientid; sample/section artifact stem; PMC9044823 cohort description,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\CID4290_metadata.csv,dee22664463eedad0884793d8db0c7e926d2d20a33354679d1ddaa32c78173ae,PUBLISHER_PATIENT_ID_AND_SAMPLE_LINK_OBSERVED; SECTION_PROVENANCE_PARTIAL,Publisher patientid observed; specimen/capture hierarchy and independent-unit acceptance remain pending. Visium CID4290 versus GEO/scRNA CID4290A: no automatic suffix stripping or identity merge. Exact scRNA sample-name match: False
CID4465,CID4465,CID4465,TNBC,primary_study_processing_group,Visium,metadata.patientid; sample/section artifact stem; PMC9044823 cohort description,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\CID4465_metadata.csv,5ab11f448ea24776dc77d1249ba2cca2a7df2c1f66d37169a1135968958014ff,PUBLISHER_PATIENT_ID_AND_SAMPLE_LINK_OBSERVED; SECTION_PROVENANCE_PARTIAL,Publisher patientid observed; specimen/capture hierarchy and independent-unit acceptance remain pending.  Exact scRNA sample-name match: True
CID44971,CID44971,CID44971,TNBC,primary_study_processing_group,Visium,metadata.patientid; sample/section artifact stem; PMC9044823 cohort description,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\CID44971_metadata.csv,e4f6d435845d1000428755425a997a87e3a419433c2a232b32500347a5c650af,PUBLISHER_PATIENT_ID_AND_SAMPLE_LINK_OBSERVED; SECTION_PROVENANCE_PARTIAL,Publisher patientid observed; specimen/capture hierarchy and independent-unit acceptance remain pending.  Exact scRNA sample-name match: True
CID4535,CID4535,CID4535,ER,primary_study_processing_group,Visium,metadata.patientid; sample/section artifact stem; PMC9044823 cohort description,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\zenodo4739739\metadata-extracted\metadata\CID4535_metadata.csv,7c002213c4261019ecae8b4c99065fc4085f5cc289dba1f54c8d2d5fcc46a246,PUBLISHER_PATIENT_ID_AND_SAMPLE_LINK_OBSERVED; SECTION_PROVENANCE_PARTIAL,Publisher patientid observed; specimen/capture hierarchy and independent-unit acceptance remain pending.  Exact scRNA sample-name match: True
UNKNOWN_NOT_A_DEDICATED_FIELD,CID3586,NOT_APPLICABLE_scRNA,HER2+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=6178; GEO=GSM5354513; GEO clinical category=['clinical_subtype: HER2+/ER+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID3838,NOT_APPLICABLE_scRNA,HER2+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=2353; GEO=GSM5354514; GEO clinical category=['clinical_subtype: HER2+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID3921,NOT_APPLICABLE_scRNA,HER2+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=3024; GEO=GSM5354515; GEO clinical category=['clinical_subtype: HER2+']; retain source-specific subtype vocabulary; no donor key invented
UNKNOWN_NOT_A_DEDICATED_FIELD,CID3941,NOT_APPLICABLE_scRNA,ER+,Garvan study source; capture-specific laboratory not independently verified,scRNA-seq,metadata.orig.ident; GEO.Sample_title; metadata.subtype,C:\Plugin\BioNexus\review\spatialwarrant-run-01\01_inputs\GSE176078\GSE176078_Wu_etal_2021_BRCA_scRNASeq-extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,2de14f17546839a859464aba6f29de5575b96cb79351c4604c9286f15969e268,SAMPLE_KEY_OBSERVED; PATIENT_KEY_PENDING,cells=631; GEO=GSM5354516; GEO clinical category=['clinical_subtype: ER+']; retain source-specific subtype vocabulary; no donor key invented
