section,transferred_label,tangram_dominant,spots
1142243F,B cells Memory,CAFs myCAF-like,1
1142243F,CAFs MSC iCAF-like,B cells Memory,8
1142243F,CAFs MSC iCAF-like,B cells Naive,9
1142243F,CAFs MSC iCAF-like,CAFs MSC iCAF-like,1
1142243F,CAFs MSC iCAF-like,CAFs myCAF-like,1
1142243F,CAFs MSC iCAF-like,Cancer Basal SC,1
1142243F,CAFs MSC iCAF-like,Cancer Cycling,1
1142243F,CAFs MSC iCAF-like,Cancer Her2 SC,1
1142243F,CAFs MSC iCAF-like,Cancer LumB SC,1
1142243F,CAFs MSC iCAF-like,Cycling PVL,5
1142243F,CAFs MSC iCAF-like,Cycling T-cells,20
1142243F,CAFs MSC iCAF-like,Cycling_Myeloid,5
1142243F,CAFs MSC iCAF-like,DCs,11
1142243F,CAFs MSC iCAF-like,Endothelial ACKR1,3
1142243F,CAFs MSC iCAF-like,Endothelial CXCL12,1
1142243F,CAFs MSC iCAF-like,Endothelial Lymphatic LYVE1,17
1142243F,CAFs MSC iCAF-like,Endothelial RGS5,4
1142243F,CAFs MSC iCAF-like,Luminal Progenitors,1
1142243F,CAFs MSC iCAF-like,Macrophage,2
1142243F,CAFs MSC iCAF-like,Mature Luminal,2
1142243F,CAFs MSC iCAF-like,Monocyte,10
1142243F,CAFs MSC iCAF-like,Myoepithelial,4
1142243F,CAFs MSC iCAF-like,NK cells,14
1142243F,CAFs MSC iCAF-like,NKT cells,4
1142243F,CAFs MSC iCAF-like,PVL Differentiated,2
1142243F,CAFs MSC iCAF-like,PVL Immature,4
1142243F,CAFs MSC iCAF-like,Plasmablasts,11
1142243F,CAFs MSC iCAF-like,T cells CD4+,4
1142243F,CAFs MSC iCAF-like,T cells CD8+,3
1142243F,CAFs myCAF-like,B cells Memory,73
1142243F,CAFs myCAF-like,B cells Naive,59
1142243F,CAFs myCAF-like,CAFs MSC iCAF-like,35
1142243F,CAFs myCAF-like,CAFs myCAF-like,16
1142243F,CAFs myCAF-like,Cancer Basal SC,15
1142243F,CAFs myCAF-like,Cancer Cycling,4
1142243F,CAFs myCAF-like,Cancer Her2 SC,23
1142243F,CAFs myCAF-like,Cancer LumA SC,4
1142243F,CAFs myCAF-like,Cancer LumB SC,12
1142243F,CAFs myCAF-like,Cycling PVL,58
1142243F,CAFs myCAF-like,Cycling T-cells,88
1142243F,CAFs myCAF-like,Cycling_Myeloid,112
1142243F,CAFs myCAF-like,DCs,89
1142243F,CAFs myCAF-like,Endothelial ACKR1,12
1142243F,CAFs myCAF-like,Endothelial CXCL12,54
1142243F,CAFs myCAF-like,Endothelial Lymphatic LYVE1,82
1142243F,CAFs myCAF-like,Endothelial RGS5,83
1142243F,CAFs myCAF-like,Luminal Progenitors,7
1142243F,CAFs myCAF-like,Macrophage,12
1142243F,CAFs myCAF-like,Mature Luminal,52
1142243F,CAFs myCAF-like,Monocyte,64
1142243F,CAFs myCAF-like,Myoepithelial,36
1142243F,CAFs myCAF-like,NK cells,104
1142243F,CAFs myCAF-like,NKT cells,54
1142243F,CAFs myCAF-like,PVL Differentiated,18
1142243F,CAFs myCAF-like,PVL Immature,68
1142243F,CAFs myCAF-like,Plasmablasts,36
1142243F,CAFs myCAF-like,T cells CD4+,11
1142243F,CAFs myCAF-like,T cells CD8+,23
1142243F,Cancer Basal SC,B cells Memory,90
1142243F,Cancer Basal SC,B cells Naive,91
1142243F,Cancer Basal SC,CAFs MSC iCAF-like,24
1142243F,Cancer Basal SC,CAFs myCAF-like,1
1142243F,Cancer Basal SC,Cancer Basal SC,69
1142243F,Cancer Basal SC,Cancer Cycling,34
1142243F,Cancer Basal SC,Cancer Her2 SC,112
1142243F,Cancer Basal SC,Cancer LumA SC,46
1142243F,Cancer Basal SC,Cancer LumB SC,23
1142243F,Cancer Basal SC,Cycling PVL,29
1142243F,Cancer Basal SC,Cycling T-cells,55
1142243F,Cancer Basal SC,Cycling_Myeloid,128
1142243F,Cancer Basal SC,DCs,88
1142243F,Cancer Basal SC,Endothelial ACKR1,19
1142243F,Cancer Basal SC,Endothelial CXCL12,71
1142243F,Cancer Basal SC,Endothelial Lymphatic LYVE1,90
1142243F,Cancer Basal SC,Endothelial RGS5,46
1142243F,Cancer Basal SC,Luminal Progenitors,55
1142243F,Cancer Basal SC,Macrophage,2
1142243F,Cancer Basal SC,Mature Luminal,167
1142243F,Cancer Basal SC,Monocyte,88
1142243F,Cancer Basal SC,Myoepithelial,92
1142243F,Cancer Basal SC,NK cells,88
1142243F,Cancer Basal SC,NKT cells,189
1142243F,Cancer Basal SC,PVL Differentiated,48
1142243F,Cancer Basal SC,PVL Immature,76
1142243F,Cancer Basal SC,Plasmablasts,13
1142243F,Cancer Basal SC,T cells CD4+,22
1142243F,Cancer Basal SC,T cells CD8+,27
1142243F,Cancer Cycling,B cells Memory,31
1142243F,Cancer Cycling,B cells Naive,53
1142243F,Cancer Cycling,CAFs MSC iCAF-like,12
1142243F,Cancer Cycling,CAFs myCAF-like,1
1142243F,Cancer Cycling,Cancer Basal SC,7
1142243F,Cancer Cycling,Cancer Cycling,26
1142243F,Cancer Cycling,Cancer Her2 SC,28
1142243F,Cancer Cycling,Cancer LumA SC,14
1142243F,Cancer Cycling,Cancer LumB SC,16
1142243F,Cancer Cycling,Cycling PVL,12
1142243F,Cancer Cycling,Cycling T-cells,49
1142243F,Cancer Cycling,Cycling_Myeloid,41
1142243F,Cancer Cycling,DCs,38
1142243F,Cancer Cycling,Endothelial ACKR1,11
1142243F,Cancer Cycling,Endothelial CXCL12,49
1142243F,Cancer Cycling,Endothelial Lymphatic LYVE1,34
1142243F,Cancer Cycling,Endothelial RGS5,14
1142243F,Cancer Cycling,Luminal Progenitors,20
1142243F,Cancer Cycling,Macrophage,2
1142243F,Cancer Cycling,Mature Luminal,43
1142243F,Cancer Cycling,Monocyte,31
1142243F,Cancer Cycling,Myoepithelial,17
1142243F,Cancer Cycling,NK cells,46
1142243F,Cancer Cycling,NKT cells,54
1142243F,Cancer Cycling,PVL Differentiated,19
1142243F,Cancer Cycling,PVL Immature,34
1142243F,Cancer Cycling,Plasmablasts,13
1142243F,Cancer Cycling,T cells CD4+,8
1142243F,Cancer Cycling,T cells CD8+,18
