section,numeric_leiden_0_5,transferred_label,spots
1142243F,0,B cells Memory,0
1142243F,0,CAFs MSC iCAF-like,11
1142243F,0,CAFs myCAF-like,162
1142243F,0,Cancer Basal SC,97
1142243F,0,Cancer Cycling,40
1142243F,0,Cancer Her2 SC,0
1142243F,0,Cycling_Myeloid,0
1142243F,0,Endothelial ACKR1,1
1142243F,0,Endothelial Lymphatic LYVE1,25
1142243F,0,Endothelial RGS5,8
1142243F,0,Luminal Progenitors,8
1142243F,0,Macrophage,6
1142243F,0,Myoepithelial,27
1142243F,0,PVL Differentiated,0
1142243F,0,PVL Immature,7
1142243F,0,Plasmablasts,1
1142243F,1,B cells Memory,0
1142243F,1,CAFs MSC iCAF-like,9
1142243F,1,CAFs myCAF-like,114
1142243F,1,Cancer Basal SC,162
1142243F,1,Cancer Cycling,87
1142243F,1,Cancer Her2 SC,0
1142243F,1,Cycling_Myeloid,0
1142243F,1,Endothelial ACKR1,0
1142243F,1,Endothelial Lymphatic LYVE1,6
1142243F,1,Endothelial RGS5,0
1142243F,1,Luminal Progenitors,13
1142243F,1,Macrophage,7
1142243F,1,Myoepithelial,22
1142243F,1,PVL Differentiated,0
1142243F,1,PVL Immature,0
1142243F,1,Plasmablasts,0
1142243F,10,B cells Memory,0
1142243F,10,CAFs MSC iCAF-like,1
1142243F,10,CAFs myCAF-like,22
1142243F,10,Cancer Basal SC,34
1142243F,10,Cancer Cycling,15
1142243F,10,Cancer Her2 SC,0
1142243F,10,Cycling_Myeloid,0
1142243F,10,Endothelial ACKR1,0
1142243F,10,Endothelial Lymphatic LYVE1,2
1142243F,10,Endothelial RGS5,0
1142243F,10,Luminal Progenitors,0
1142243F,10,Macrophage,0
1142243F,10,Myoepithelial,5
1142243F,10,PVL Differentiated,0
1142243F,10,PVL Immature,2
1142243F,10,Plasmablasts,0
1142243F,11,B cells Memory,0
1142243F,11,CAFs MSC iCAF-like,2
1142243F,11,CAFs myCAF-like,15
1142243F,11,Cancer Basal SC,42
1142243F,11,Cancer Cycling,15
1142243F,11,Cancer Her2 SC,0
1142243F,11,Cycling_Myeloid,0
1142243F,11,Endothelial ACKR1,0
1142243F,11,Endothelial Lymphatic LYVE1,3
1142243F,11,Endothelial RGS5,0
1142243F,11,Luminal Progenitors,5
1142243F,11,Macrophage,0
1142243F,11,Myoepithelial,4
1142243F,11,PVL Differentiated,0
1142243F,11,PVL Immature,0
1142243F,11,Plasmablasts,7
1142243F,12,B cells Memory,0
1142243F,12,CAFs MSC iCAF-like,2
1142243F,12,CAFs myCAF-like,30
1142243F,12,Cancer Basal SC,133
1142243F,12,Cancer Cycling,30
1142243F,12,Cancer Her2 SC,1
1142243F,12,Cycling_Myeloid,0
1142243F,12,Endothelial ACKR1,0
1142243F,12,Endothelial Lymphatic LYVE1,6
1142243F,12,Endothelial RGS5,0
1142243F,12,Luminal Progenitors,18
1142243F,12,Macrophage,1
1142243F,12,Myoepithelial,19
1142243F,12,PVL Differentiated,0
1142243F,12,PVL Immature,0
1142243F,12,Plasmablasts,2
1142243F,13,B cells Memory,0
1142243F,13,CAFs MSC iCAF-like,12
1142243F,13,CAFs myCAF-like,76
1142243F,13,Cancer Basal SC,143
1142243F,13,Cancer Cycling,39
1142243F,13,Cancer Her2 SC,0
1142243F,13,Cycling_Myeloid,0
1142243F,13,Endothelial ACKR1,2
1142243F,13,Endothelial Lymphatic LYVE1,5
1142243F,13,Endothelial RGS5,0
1142243F,13,Luminal Progenitors,23
1142243F,13,Macrophage,5
1142243F,13,Myoepithelial,26
1142243F,13,PVL Differentiated,0
1142243F,13,PVL Immature,1
1142243F,13,Plasmablasts,2
1142243F,14,B cells Memory,0
1142243F,14,CAFs MSC iCAF-like,3
1142243F,14,CAFs myCAF-like,20
1142243F,14,Cancer Basal SC,40
1142243F,14,Cancer Cycling,17
1142243F,14,Cancer Her2 SC,0
1142243F,14,Cycling_Myeloid,0
1142243F,14,Endothelial ACKR1,0
1142243F,14,Endothelial Lymphatic LYVE1,2
1142243F,14,Endothelial RGS5,0
1142243F,14,Luminal Progenitors,3
1142243F,14,Macrophage,2
1142243F,14,Myoepithelial,2
1142243F,14,PVL Differentiated,0
1142243F,14,PVL Immature,1
1142243F,14,Plasmablasts,0
1142243F,15,B cells Memory,0
1142243F,15,CAFs MSC iCAF-like,1
1142243F,15,CAFs myCAF-like,20
1142243F,15,Cancer Basal SC,41
1142243F,15,Cancer Cycling,20
1142243F,15,Cancer Her2 SC,0
1142243F,15,Cycling_Myeloid,0
1142243F,15,Endothelial ACKR1,0
1142243F,15,Endothelial Lymphatic LYVE1,2
1142243F,15,Endothelial RGS5,0
1142243F,15,Luminal Progenitors,7
1142243F,15,Macrophage,1
1142243F,15,Myoepithelial,4
1142243F,15,PVL Differentiated,0
1142243F,15,PVL Immature,0
1142243F,15,Plasmablasts,4
1142243F,16,B cells Memory,0
1142243F,16,CAFs MSC iCAF-like,0
1142243F,16,CAFs myCAF-like,3
1142243F,16,Cancer Basal SC,7
1142243F,16,Cancer Cycling,4
1142243F,16,Cancer Her2 SC,0
1142243F,16,Cycling_Myeloid,0
1142243F,16,Endothelial ACKR1,0
1142243F,16,Endothelial Lymphatic LYVE1,1
1142243F,16,Endothelial RGS5,0
1142243F,16,Luminal Progenitors,3
1142243F,16,Macrophage,0
1142243F,16,Myoepithelial,0
1142243F,16,PVL Differentiated,0
1142243F,16,PVL Immature,0
1142243F,16,Plasmablasts,0
1142243F,17,B cells Memory,0
1142243F,17,CAFs MSC iCAF-like,1
1142243F,17,CAFs myCAF-like,22
1142243F,17,Cancer Basal SC,13
1142243F,17,Cancer Cycling,9
1142243F,17,Cancer Her2 SC,0
1142243F,17,Cycling_Myeloid,0
1142243F,17,Endothelial ACKR1,0
1142243F,17,Endothelial Lymphatic LYVE1,1
1142243F,17,Endothelial RGS5,0
1142243F,17,Luminal Progenitors,0
1142243F,17,Macrophage,1
1142243F,17,Myoepithelial,2
1142243F,17,PVL Differentiated,0
1142243F,17,PVL Immature,0
1142243F,17,Plasmablasts,0
1142243F,18,B cells Memory,0
1142243F,18,CAFs MSC iCAF-like,0
1142243F,18,CAFs myCAF-like,2
1142243F,18,Cancer Basal SC,11
1142243F,18,Cancer Cycling,5
1142243F,18,Cancer Her2 SC,0
1142243F,18,Cycling_Myeloid,0
1142243F,18,Endothelial ACKR1,0
1142243F,18,Endothelial Lymphatic LYVE1,0
1142243F,18,Endothelial RGS5,0
1142243F,18,Luminal Progenitors,1
1142243F,18,Macrophage,0
1142243F,18,Myoepithelial,0
1142243F,18,PVL Differentiated,0
1142243F,18,PVL Immature,0
1142243F,18,Plasmablasts,0
1142243F,2,B cells Memory,0
1142243F,2,CAFs MSC iCAF-like,47
1142243F,2,CAFs myCAF-like,169
1142243F,2,Cancer Basal SC,96
1142243F,2,Cancer Cycling,33
1142243F,2,Cancer Her2 SC,0
1142243F,2,Cycling_Myeloid,3
1142243F,2,Endothelial ACKR1,0
1142243F,2,Endothelial Lymphatic LYVE1,11
1142243F,2,Endothelial RGS5,0
1142243F,2,Luminal Progenitors,1
1142243F,2,Macrophage,15
1142243F,2,Myoepithelial,19
1142243F,2,PVL Differentiated,0
1142243F,2,PVL Immature,2
1142243F,2,Plasmablasts,2
1142243F,3,B cells Memory,0
1142243F,3,CAFs MSC iCAF-like,3
1142243F,3,CAFs myCAF-like,29
1142243F,3,Cancer Basal SC,97
1142243F,3,Cancer Cycling,42
1142243F,3,Cancer Her2 SC,1
1142243F,3,Cycling_Myeloid,0
1142243F,3,Endothelial ACKR1,0
1142243F,3,Endothelial Lymphatic LYVE1,3
1142243F,3,Endothelial RGS5,0
1142243F,3,Luminal Progenitors,10
1142243F,3,Macrophage,0
1142243F,3,Myoepithelial,9
1142243F,3,PVL Differentiated,0
1142243F,3,PVL Immature,0
1142243F,3,Plasmablasts,0
1142243F,4,B cells Memory,0
1142243F,4,CAFs MSC iCAF-like,2
1142243F,4,CAFs myCAF-like,83
1142243F,4,Cancer Basal SC,76
1142243F,4,Cancer Cycling,14
1142243F,4,Cancer Her2 SC,0
1142243F,4,Cycling_Myeloid,0
1142243F,4,Endothelial ACKR1,0
1142243F,4,Endothelial Lymphatic LYVE1,2
1142243F,4,Endothelial RGS5,0
1142243F,4,Luminal Progenitors,5
1142243F,4,Macrophage,3
1142243F,4,Myoepithelial,20
1142243F,4,PVL Differentiated,0
1142243F,4,PVL Immature,0
1142243F,4,Plasmablasts,0
1142243F,5,B cells Memory,0
1142243F,5,CAFs MSC iCAF-like,5
1142243F,5,CAFs myCAF-like,43
1142243F,5,Cancer Basal SC,128
1142243F,5,Cancer Cycling,45
1142243F,5,Cancer Her2 SC,0
1142243F,5,Cycling_Myeloid,1
1142243F,5,Endothelial ACKR1,0
1142243F,5,Endothelial Lymphatic LYVE1,3
1142243F,5,Endothelial RGS5,0
1142243F,5,Luminal Progenitors,12
1142243F,5,Macrophage,2
1142243F,5,Myoepithelial,14
1142243F,5,PVL Differentiated,0
1142243F,5,PVL Immature,0
1142243F,5,Plasmablasts,14
1142243F,6,B cells Memory,0
1142243F,6,CAFs MSC iCAF-like,21
1142243F,6,CAFs myCAF-like,205
1142243F,6,Cancer Basal SC,216
1142243F,6,Cancer Cycling,91
