section,requested_training_genes,actual_training_genes,seed,mean_celltype_spearman_vs_primary,mean_absolute_difference_vs_primary,dominant_component_agreement_vs_primary,elapsed_seconds,status
1142243F,500,500,20260904,0.8923088865544976,0.011972538706146722,0.6642976588628763,22.15343390000635,COMPLETED
1142243F,500,500,20260905,0.7821355053084056,0.01323416245119823,0.6456939799331104,20.723780800006352,COMPLETED
1142243F,500,500,20260906,0.7817139320516856,0.013226730194954673,0.6448578595317725,20.512883000003058,COMPLETED
1142243F,1000,654,20260904,1.0,0.0,1.0,26.66383639999549,COMPLETED
1142243F,1000,654,20260905,0.8807068378532528,0.0033706907837264075,0.9331103678929766,26.861514000003808,COMPLETED
1142243F,1000,654,20260906,0.8803652718989178,0.003395451203311994,0.9316471571906354,26.303349800000433,COMPLETED
1142243F,2000,654,20260904,1.0,0.0,1.0,28.19727839999541,COMPLETED
1142243F,2000,654,20260905,0.8807068378532528,0.0033706907837264075,0.9331103678929766,27.58765269999276,COMPLETED
1142243F,2000,654,20260906,0.8803652718989178,0.003395451203311994,0.9316471571906354,27.60504619999847,COMPLETED
1160920F,500,500,20260904,0.9114271574465694,0.01132792570173443,0.6612870275791624,21.863799000013387,COMPLETED
1160920F,500,500,20260905,0.8090410125963551,0.012530053333801484,0.6475995914198162,20.47958520000975,COMPLETED
1160920F,500,500,20260906,0.8078016748299305,0.012541211635276554,0.6461695607763024,20.406190199995763,COMPLETED
1160920F,1000,654,20260904,0.9999999999999999,0.0,1.0,27.57794420000573,COMPLETED
1160920F,1000,654,20260905,0.8873100842893652,0.0032486043771955443,0.9413687436159346,27.110515100008342,COMPLETED
1160920F,1000,654,20260906,0.88682949562063,0.003214695087649514,0.9436159346271705,26.63196909999533,COMPLETED
1160920F,2000,654,20260904,0.9999999999999999,0.0,1.0,28.90256039999076,COMPLETED
1160920F,2000,654,20260905,0.8873100842893652,0.0032486043771955443,0.9413687436159346,29.859870600004797,COMPLETED
1160920F,2000,654,20260906,0.88682949562063,0.003214695087649514,0.9436159346271705,27.356878899998264,COMPLETED
CID4290,500,500,20260904,0.8984202696519058,0.011736089639132346,0.6516900247320693,7.3117266000044765,COMPLETED
CID4290,500,500,20260905,0.7552250079200192,0.014467229058916124,0.6286067600989282,8.198873899993487,COMPLETED
CID4290,500,500,20260906,0.7560809614198392,0.01441957072693967,0.6380873866446826,8.32381639999221,COMPLETED
CID4290,1000,655,20260904,1.0,0.0,1.0,10.765859499995713,COMPLETED
CID4290,1000,655,20260905,0.8422504432393594,0.006123686374361812,0.8985985160758451,10.593793300009565,COMPLETED
CID4290,1000,655,20260906,0.8424511307574923,0.006071983476630145,0.90560593569662,10.832573100007721,COMPLETED
CID4290,2000,655,20260904,1.0,0.0,1.0,9.560260600002948,COMPLETED
CID4290,2000,655,20260905,0.8422504432393594,0.006123686374361812,0.8985985160758451,10.252345700006117,COMPLETED
CID4290,2000,655,20260906,0.8424511307574923,0.006071983476630145,0.90560593569662,11.45301599999948,COMPLETED
CID4465,500,500,20260904,0.9056121434192607,0.010842118796915714,0.6771263418662262,4.71437529999821,COMPLETED
CID4465,500,500,20260905,0.7929438257033523,0.012314973596731277,0.662262592898431,5.6836149000009755,COMPLETED
CID4465,500,500,20260906,0.7954637312613889,0.012220651928192681,0.6721717588769612,4.380856000003405,COMPLETED
CID4465,1000,655,20260904,0.9999999999999999,0.0,1.0,6.070839499996509,COMPLETED
CID4465,1000,655,20260905,0.8753830202089915,0.003945923686486857,0.9331131296449215,6.798719700003858,COMPLETED
CID4465,1000,655,20260906,0.8782455447473771,0.0038209299379449013,0.9397192402972749,6.106206500000553,COMPLETED
CID4465,2000,655,20260904,0.9999999999999999,0.0,1.0,6.844945399992866,COMPLETED
CID4465,2000,655,20260905,0.8753830202089915,0.003945923686486857,0.9331131296449215,6.477491099998588,COMPLETED
CID4465,2000,655,20260906,0.8782455447473771,0.0038209299379449013,0.9397192402972749,5.9630671000049915,COMPLETED
CID44971,500,500,20260904,0.9142177914057166,0.010447115155715924,0.7560344827586207,5.355343899995205,COMPLETED
CID44971,500,500,20260905,0.7869700937833134,0.013113060645742278,0.7267241379310345,4.780027399989194,COMPLETED
CID44971,500,500,20260906,0.7878714674576867,0.012875440946167986,0.7353448275862069,5.25824239999929,COMPLETED
CID44971,1000,655,20260904,1.0,0.0,1.0,6.67224110000825,COMPLETED
CID44971,1000,655,20260905,0.8594470822019433,0.0053941743058659435,0.9146551724137931,6.230279099996551,COMPLETED
CID44971,1000,655,20260906,0.8599435141518146,0.005100139622129011,0.9198275862068965,5.577857299998868,COMPLETED
CID44971,2000,655,20260904,1.0,0.0,1.0,5.446156200006953,COMPLETED
CID44971,2000,655,20260905,0.8594470822019433,0.0053941743058659435,0.9146551724137931,5.058588400002918,COMPLETED
CID44971,2000,655,20260906,0.8599435141518146,0.005100139622129011,0.9198275862068965,5.245097999999416,COMPLETED
CID4535,500,500,20260904,0.9058285233848755,0.011302840578283607,0.648,4.64975750001031,COMPLETED
CID4535,500,500,20260905,0.7944868836859612,0.0130503869811993,0.616,4.614508500002557,COMPLETED
CID4535,500,500,20260906,0.7981928424421381,0.012913422486822918,0.6284444444444445,4.101200600009179,COMPLETED
