gene_symbol,label_frequency,best_rank,mean_difference
CST3,10,6,1.7633528
IGFBP7,9,1,2.8992333
IFITM3,9,5,1.8750873
TM4SF1,9,6,1.4092195
VIM,9,7,1.5635641
CD74,8,1,2.597512
KRT8,8,6,1.3793024
IGFBP4,8,8,1.576662
HLA-DRA,7,1,2.6685312
MGP,7,1,2.040459
KRT19,7,1,1.862991
SPARCL1,7,2,2.1970239
SRGN,7,2,1.5234393
SPARC,7,3,2.2523026
HLA-DPA1,7,3,2.1611447
KRT18,7,4,1.6430596
CAV1,7,4,1.6098117
HLA-DRB1,7,5,1.9345744
CD52,7,7,1.1773279
CD24,6,1,2.007836
IFI27,6,1,1.8637499
TYROBP,6,2,2.1901987
CALD1,6,3,2.2393253
KRT7,6,3,1.5309339
HLA-DPB1,6,4,2.1941998
TACSTD2,6,4,1.3995913
CD69,6,4,1.1996276
FCER1G,6,5,1.6992146
SPINT2,6,5,1.4387904
HLA-DQA1,6,6,1.6899742
LGALS1,6,7,1.7960668
HLA-DQB1,6,7,1.762659
HLA-DRB5,6,9,1.8081509
LAPTM5,6,11,1.4253769
PERP,6,11,1.3152949
HLA-DMA,6,15,1.1761603
S100A4,6,16,1.1987745
CYBA,6,20,1.0179807
ID3,6,22,1.4173862
PTRF,6,35,1.2024509
STMN1,5,1,1.6355174
TAGLN,5,2,2.6938412
AZGP1,5,2,2.0640101
MGST1,5,2,1.3825109
CLDN4,5,3,1.7173449
A2M,5,3,1.6690738
CXCR4,5,3,1.4859473
MYL9,5,4,2.3536804
BTG1,5,4,1.3262342
TUBB,5,5,1.3514401
ADIRF,5,6,1.5112966
CORO1A,5,6,1.0212423
GSN,5,8,1.5763477
RAC2,5,8,0.97740155
CRIP2,5,10,1.5425929
DSTN,5,11,1.2682154
TSC22D3,5,11,0.96820754
SAT1,5,12,1.4432194
RNASE1,5,15,1.6256431
TPM1,5,16,1.5320385
TMSB4X,5,20,0.9590746
CD9,5,21,1.1921911
HLA-B,5,21,0.88460046
TIMP3,5,22,1.3677506
CLU,5,22,1.2957404
COL1A1,4,1,2.4274497
LYZ,4,1,2.1898286
NKG7,4,1,2.153565
CCL5,4,1,2.0534973
ACTA2,4,2,2.8037903
COL1A2,4,2,2.5240386
RAMP2,4,2,2.1176872
CCL4,4,2,1.8804762
COL3A1,4,3,2.2357447
XBP1,4,3,2.005759
FABP4,4,3,1.8205062
HMGN2,4,3,1.5060021
GNG11,4,4,1.8669474
TIMP1,4,5,2.1114435
MT2A,4,5,1.7052345
GZMB,4,5,1.350118
ELF3,4,6,1.5388824
TPM2,4,7,2.121025
AIF1,4,7,1.8766997
CLDN5,4,8,1.4980445
CD7,4,8,1.1689199
IL32,4,9,1.1388489
DUSP2,4,9,1.1232228
H2AFZ,4,10,1.3265893
GPX1,4,11,1.9054282
SERPINF1,4,11,1.4616314
COL6A2,4,12,1.846571
SERPING1,4,12,1.6301051
COTL1,4,12,1.2974459
BGN,4,13,1.910258
PECAM1,4,13,1.525474
ANXA2,4,13,1.0939276
PTPRC,4,13,1.0717307
EGFL7,4,14,1.5319754
MIF,4,14,1.1588469
MARCKSL1,4,16,1.0129509
B2M,4,16,0.9914365
HSPB1,4,18,1.2300025
MS4A6A,4,19,1.6193229
SH3BGRL3,4,19,1.0765159
ARHGDIB,4,21,0.94371736
NPC2,4,22,1.5711703
RPS27,4,22,0.8660613
IFITM2,4,23,1.0985332
APP,4,24,1.1511002
GRN,4,25,1.3147435
S100A11,4,26,0.97449875
SPI1,4,29,1.2718221
PCOLCE,4,34,1.3863398
C1QB,3,1,2.3300629
RGS5,3,2,2.1527207
C1QA,3,3,2.2435305
CD79A,3,3,1.8558477
TUBA1B,3,4,1.7830029
CD37,3,4,1.6109319
CSTB,3,4,1.1263691
CD3E,3,5,1.3445233
C1S,3,6,1.8165407
AGR2,3,6,1.7264475
GZMA,3,6,1.4128453
LTB,3,6,1.0576476
RPS17,3,6,1.0403616
FTL,3,7,2.4206152
MYLK,3,7,1.5526868
CST7,3,7,1.4109863
YBX1,3,7,1.1214315
APOE,3,8,1.767354
SLPI,3,8,1.2398715
GAPDH,3,8,1.192684
TNFAIP3,3,8,1.1627525
NDUFA4L2,3,9,2.0581572
SOD3,3,9,1.5585171
RPS2,3,9,0.99813193
CRYAB,3,10,1.6132301
VWF,3,10,1.5593305
CTSW,3,10,1.4049511
CD3D,3,10,1.159455
PKM,3,10,1.0400604
HSPG2,3,11,1.5307946
AREG,3,11,1.3190066
FXYD3,3,11,1.2914817
