producer_celltype_minor,rank,gene_symbol,mean_log1p_in,mean_log1p_out,difference,detected_fraction_in,detected_fraction_out
B cells Memory,1,HLA-DRA,3.7908776,1.0085821,2.7822955,0.9751838235294371,0.3962016858552856
B cells Memory,2,CD74,4.8165517,2.0372317,2.77932,0.9954044117647324,0.6873458059208358
B cells Memory,3,MS4A1,2.1911864,0.03589093,2.1552956,0.8299632352941347,0.017989309210526574
B cells Memory,4,HLA-DPA1,2.8614802,0.895233,1.9662473,0.9099264705882569,0.3903937088815981
B cells Memory,5,HLA-DPB1,2.7595532,0.8485886,1.9109646,0.901654411764727,0.3873612253289648
B cells Memory,6,CD37,2.4899907,0.59178555,1.8982052,0.886948529411785,0.3165347450657666
B cells Memory,7,CD79A,1.948896,0.10323604,1.84566,0.7628676470588368,0.054481907894738134
B cells Memory,8,HLA-DQA1,2.1328743,0.45997384,1.6729004,0.8079044117647217,0.23003186677626533
B cells Memory,9,HLA-DRB1,2.6406372,0.99131346,1.6493237,0.8805147058823729,0.4183028371710876
B cells Memory,10,HLA-DQB1,2.1127377,0.51595,1.5967877,0.7931985294117797,0.27348889802626847
B cells Memory,11,HLA-DRB5,2.2431986,0.6850251,1.5581735,0.798713235294133,0.316714638157872
B cells Memory,12,CD83,1.7810152,0.28532448,1.4956907,0.665441176470596,0.16953638980261207
B cells Memory,13,LAPTM5,2.1437461,0.8022763,1.3414698,0.8318014705882525,0.371993215460535
B cells Memory,14,CXCR4,2.3426445,1.0045382,1.3381063,0.8253676470588404,0.4050678453947643
B cells Memory,15,CD52,2.119922,0.7890378,1.3308841,0.7996323529411918,0.339098478618411
B cells Memory,16,CD69,1.7898833,0.70725024,1.082633,0.6525735294117717,0.2872892680920658
B cells Memory,17,BANK1,1.0428075,0.01525395,1.0275536,0.5312500000000001,0.012104235197368514
B cells Memory,18,LTB,1.4534187,0.4497997,1.0036191,0.6112132352941223,0.20078638980259608
B cells Memory,19,BTG1,3.0551934,2.102419,0.9527745,0.8961397058823738,0.8266858552627193
B cells Memory,20,HLA-DQA2,1.0351053,0.17655994,0.8585454,0.4632352941176455,0.10711348684210804
B cells Memory,21,LIMD2,1.3389747,0.5056312,0.8333435,0.6204044117647111,0.3027086759868114
B cells Memory,22,RPS27,4.205091,3.3754802,0.8296108,0.9880514705882614,0.9742238898019582
B cells Memory,23,TSC22D3,2.2402854,1.4594237,0.78086174,0.8042279411764862,0.6789679276313755
B cells Memory,24,CD79B,0.8573055,0.078481995,0.77882355,0.4448529411764691,0.06499280427631737
B cells Memory,25,HLA-DMA,1.2083949,0.43005794,0.77833694,0.5919117647058859,0.26356907894731546
B cells Memory,26,IRF8,0.8619672,0.08622757,0.7757396,0.4577205882352926,0.06614925986842267
B cells Memory,27,CORO1A,1.392127,0.6357498,0.7563772,0.6369485294117708,0.31635485197366126
B cells Memory,28,VPREB3,0.7675685,0.012055203,0.7555133,0.3897058823529399,0.008197985197368403
B cells Memory,29,RAC2,1.3605667,0.61947817,0.74108857,0.6185661764705933,0.3274311266447202
B cells Memory,30,ARHGAP24,0.7871035,0.049000166,0.73810333,0.43290441176470446,0.04736328125000109
B cells Memory,31,RPS23,4.087931,3.3573558,0.7305753,0.9843750000000259,0.9684930098677568
B cells Memory,32,MEF2C,0.92357725,0.20982973,0.7137475,0.47794117647058665,0.15642989309209246
B cells Memory,33,REL,1.2972416,0.5913854,0.70585614,0.6029411764705924,0.3956363075658116
B cells Memory,34,EEF1B2,2.6518397,1.9504412,0.7013985,0.9191176470588457,0.8463712993416354
B cells Memory,35,RPSA,2.9539034,2.2625177,0.69138575,0.9347426470588466,0.8866673519731502
B cells Memory,36,RPLP2,3.376553,2.6905687,0.6859844,0.9586397058823773,0.9272717927625592
