section,producer_celltype_minor,spearman,mean_absolute_difference,spots,nnls_mean_residual,nnls_unknown_spots,dominant_component_agreement
1142243F,B cells Memory,0.02772883305404719,0.033111152552825915,4784,29.2502538639089,0,
1142243F,B cells Naive,0.03178171440209224,0.0365741402166942,4784,29.2502538639089,0,
1142243F,CAFs MSC iCAF-like,0.02259055765816478,0.03692201525027492,4784,29.2502538639089,0,
1142243F,CAFs myCAF-like,0.6943557596628614,0.15595861672720257,4784,29.2502538639089,0,
1142243F,Cancer Basal SC,0.5420418322501112,0.4671484015887869,4784,29.2502538639089,0,
1142243F,Cancer Cycling,0.5476803344285369,0.0555042435283229,4784,29.2502538639089,0,
1142243F,Cancer Her2 SC,0.014705202677333277,0.03690941470742619,4784,29.2502538639089,0,
1142243F,Cancer LumA SC,0.02385603723766741,0.039962403067226815,4784,29.2502538639089,0,
1142243F,Cancer LumB SC,0.35854699545756313,0.03527872345561994,4784,29.2502538639089,0,
1142243F,Cycling PVL,0.19500185255935923,0.10904702477707946,4784,29.2502538639089,0,
1142243F,Cycling T-cells,0.16162512436130438,0.030601103238305748,4784,29.2502538639089,0,
1142243F,Cycling_Myeloid,0.0741436047101495,0.05495325150024124,4784,29.2502538639089,0,
1142243F,DCs,0.08222260305085094,0.02954399442864946,4784,29.2502538639089,0,
1142243F,Endothelial ACKR1,0.021763784518152637,0.03881412910649011,4784,29.2502538639089,0,
1142243F,Endothelial CXCL12,0.10812470058625384,0.035015274654813015,4784,29.2502538639089,0,
1142243F,Endothelial Lymphatic LYVE1,0.08545342673971659,0.025953097888160383,4784,29.2502538639089,0,
1142243F,Endothelial RGS5,0.2707751811629685,0.023905652486984414,4784,29.2502538639089,0,
1142243F,Luminal Progenitors,0.5075741992189506,0.030553781931559124,4784,29.2502538639089,0,
1142243F,Macrophage,0.30480190947774843,0.033248147438833975,4784,29.2502538639089,0,
1142243F,Mature Luminal,,0.030866590949210723,4784,29.2502538639089,0,
1142243F,Monocyte,0.05659818645420317,0.03920075615873257,4784,29.2502538639089,0,
1142243F,Myoepithelial,0.4259531727208819,0.03299315777273067,4784,29.2502538639089,0,
1142243F,NK cells,0.014768023051889349,0.029738220504838587,4784,29.2502538639089,0,
1142243F,NKT cells,0.046702365769931725,0.03481927231268,4784,29.2502538639089,0,
1142243F,PVL Differentiated,0.04918211177274262,0.04017067726138529,4784,29.2502538639089,0,
1142243F,PVL Immature,0.00872679703208066,0.03491733896829697,4784,29.2502538639089,0,
1142243F,Plasmablasts,0.6484682268528376,0.027878951976198624,4784,29.2502538639089,0,
1142243F,T cells CD4+,0.012179163768656132,0.03995563229862114,4784,29.2502538639089,0,
1142243F,T cells CD8+,,0.03921817206057036,4784,29.2502538639089,0,
1142243F,__DOMINANT_COMPONENT_AGREEMENT__,,,4784,29.2502538639089,0,0.033235785953177256
1160920F,B cells Memory,0.04342664626793739,0.0386735469822557,4895,26.26594073608964,0,
1160920F,B cells Naive,0.08356835450086798,0.0359031244690657,4895,26.26594073608964,0,
1160920F,CAFs MSC iCAF-like,0.1111344991764715,0.039039014010066965,4895,26.26594073608964,0,
1160920F,CAFs myCAF-like,0.6397161540095647,0.06075650690844073,4895,26.26594073608964,0,
1160920F,Cancer Basal SC,0.7835152116526733,0.51038541942716,4895,26.26594073608964,0,
1160920F,Cancer Cycling,0.5150242476842622,0.029950049350784356,4895,26.26594073608964,0,
1160920F,Cancer Her2 SC,,0.03489146371247798,4895,26.26594073608964,0,
1160920F,Cancer LumA SC,0.10534197270334411,0.03758816796368807,4895,26.26594073608964,0,
1160920F,Cancer LumB SC,0.5025155534821546,0.02768275818165802,4895,26.26594073608964,0,
1160920F,Cycling PVL,0.20307371940703048,0.05118039677153227,4895,26.26594073608964,0,
1160920F,Cycling T-cells,0.3918833426311597,0.02326474718765779,4895,26.26594073608964,0,
1160920F,Cycling_Myeloid,0.2490554378594193,0.048118222952543796,4895,26.26594073608964,0,
1160920F,DCs,0.3109347120671447,0.02374176744148596,4895,26.26594073608964,0,
1160920F,Endothelial ACKR1,0.27636339360070733,0.04054632893759945,4895,26.26594073608964,0,
1160920F,Endothelial CXCL12,0.26196136842371537,0.034013110184730945,4895,26.26594073608964,0,
1160920F,Endothelial Lymphatic LYVE1,0.13926914885908298,0.025857264826682005,4895,26.26594073608964,0,
1160920F,Endothelial RGS5,0.2861097701985399,0.028844080748917585,4895,26.26594073608964,0,
1160920F,Luminal Progenitors,0.6529115832903652,0.023666068779324863,4895,26.26594073608964,0,
1160920F,Macrophage,0.4819509536386044,0.06746647899264821,4895,26.26594073608964,0,
1160920F,Mature Luminal,0.07665083933169047,0.031362182650083475,4895,26.26594073608964,0,
1160920F,Monocyte,0.017058712617869724,0.03623653949028387,4895,26.26594073608964,0,
1160920F,Myoepithelial,0.1129198857638121,0.03369147373594568,4895,26.26594073608964,0,
1160920F,NK cells,,0.03198519673401439,4895,26.26594073608964,0,
1160920F,NKT cells,0.044807404903554504,0.03513482934312029,4895,26.26594073608964,0,
1160920F,PVL Differentiated,0.10674558729649664,0.043663843676021996,4895,26.26594073608964,0,
1160920F,PVL Immature,0.024824637037716115,0.03549399015167039,4895,26.26594073608964,0,
1160920F,Plasmablasts,0.6616708081465589,0.06341597784452625,4895,26.26594073608964,0,
1160920F,T cells CD4+,-0.014426808520958378,0.037650512412358984,4895,26.26594073608964,0,
1160920F,T cells CD8+,0.007506022444714878,0.03818820603286267,4895,26.26594073608964,0,
1160920F,__DOMINANT_COMPONENT_AGREEMENT__,,,4895,26.26594073608964,0,0.0651685393258427
CID4290,B cells Memory,,0.036185149448641665,2426,26.59617558217223,0,
CID4290,B cells Naive,0.04164253412670774,0.03331986090858519,2426,26.59617558217223,0,
CID4290,CAFs MSC iCAF-like,0.04743022353107705,0.035858986837967385,2426,26.59617558217223,0,
CID4290,CAFs myCAF-like,0.7036861593202235,0.28591724269182367,2426,26.59617558217223,0,
CID4290,Cancer Basal SC,0.3674031579408067,0.036452445654305825,2426,26.59617558217223,0,
