section,niche,status,reason,boundary_B2_spots,core_D_gt_3_spots,boundary_proportion,core_proportion,proportion_difference,enrichment_fold,single_section_no_patient_inference
1142243F,ALL,NOT_COMPUTED_WITH_REASON,S3 frozen pathology meaning/geometry does not support a boundary/core mask for this section,,,,,,,
1160920F,ALL,NOT_COMPUTED_WITH_REASON,S3 frozen pathology meaning/geometry does not support a boundary/core mask for this section,,,,,,,
CID4290,ALL,NOT_COMPUTED_WITH_REASON,S3 frozen pathology meaning/geometry does not support a boundary/core mask for this section,,,,,,,
CID4465,ALL,NOT_COMPUTED_WITH_REASON,S3 frozen pathology meaning/geometry does not support a boundary/core mask for this section,,,,,,,
CID44971,ALL,NOT_COMPUTED_WITH_REASON,S3 frozen pathology meaning/geometry does not support a boundary/core mask for this section,,,,,,,
CID4535,N0,COMPUTED_DESCRIPTIVE,,1.0,4.0,0.010638297872340425,0.014652014652014652,-0.004013716779674227,0.726063829787234,True
CID4535,N1,COMPUTED_DESCRIPTIVE,,15.0,34.0,0.1595744680851064,0.12454212454212454,0.03503234354298185,1.2812891113892366,True
CID4535,N2,COMPUTED_DESCRIPTIVE,,12.0,40.0,0.1276595744680851,0.14652014652014653,-0.01886057205206143,0.8712765957446807,True
CID4535,N3,COMPUTED_DESCRIPTIVE,,9.0,18.0,0.09574468085106383,0.06593406593406594,0.029810614916997893,1.452127659574468,True
CID4535,N4,COMPUTED_DESCRIPTIVE,,1.0,1.0,0.010638297872340425,0.003663003663003663,0.006975294209336762,2.904255319148936,True
CID4535,N5,COMPUTED_DESCRIPTIVE,,3.0,9.0,0.031914893617021274,0.03296703296703297,-0.0010521393500116938,0.9680851063829786,True
CID4535,N6,COMPUTED_DESCRIPTIVE,,38.0,129.0,0.40425531914893614,0.4725274725274725,-0.06827215337853637,0.855517070757051,True
CID4535,N7,COMPUTED_DESCRIPTIVE,,8.0,19.0,0.0851063829787234,0.0695970695970696,0.015509313381653803,1.2228443449048152,True
CID4535,N8,COMPUTED_DESCRIPTIVE,,6.0,11.0,0.06382978723404255,0.040293040293040296,0.023536746941002253,1.5841392649903285,True
CID4535,N9,COMPUTED_DESCRIPTIVE,,1.0,8.0,0.010638297872340425,0.029304029304029304,-0.018665731431688877,0.363031914893617,True
