section,niche_a,niche_b,co_occurrence_ratio,graph_steps,descriptive
1142243F,N0,N0,2.7256679437799165,first-ring,True
1142243F,N0,N1,0.6896501691440301,first-ring,True
1142243F,N0,N2,1.0199446761559512,first-ring,True
1142243F,N0,N3,1.552804767971589,first-ring,True
1142243F,N0,N4,0.7753011040085097,first-ring,True
1142243F,N0,N5,0.8007612038223484,first-ring,True
1142243F,N0,N6,0.7955784318404522,first-ring,True
1142243F,N0,N7,0.916190905472241,first-ring,True
1142243F,N0,N8,1.3509034388027061,first-ring,True
1142243F,N0,N9,1.064974043967733,first-ring,True
1142243F,N1,N0,0.6896501691440301,first-ring,True
1142243F,N1,N1,1.5395980297912673,first-ring,True
1142243F,N1,N2,0.7063497458751661,first-ring,True
1142243F,N1,N3,0.7929215836450667,first-ring,True
1142243F,N1,N4,0.9141610032339142,first-ring,True
1142243F,N1,N5,0.9487779131396825,first-ring,True
1142243F,N1,N6,1.1076222415876005,first-ring,True
1142243F,N1,N7,0.8058833437188664,first-ring,True
1142243F,N1,N8,0.5926091658861968,first-ring,True
1142243F,N1,N9,0.7883986952358143,first-ring,True
1142243F,N2,N0,1.0199446761559512,first-ring,True
1142243F,N2,N1,0.7063497458751661,first-ring,True
1142243F,N2,N2,1.7370855950776374,first-ring,True
1142243F,N2,N3,0.8663185593837534,first-ring,True
1142243F,N2,N4,1.162379055492817,first-ring,True
1142243F,N2,N5,1.304364574252606,first-ring,True
1142243F,N2,N6,0.5542244347575324,first-ring,True
1142243F,N2,N7,1.0862568687233658,first-ring,True
1142243F,N2,N8,1.421090381323507,first-ring,True
1142243F,N2,N9,1.4755474937100939,first-ring,True
1142243F,N3,N0,1.552804767971589,first-ring,True
1142243F,N3,N1,0.7929215836450667,first-ring,True
1142243F,N3,N2,0.8663185593837534,first-ring,True
1142243F,N3,N3,1.724003746258592,first-ring,True
1142243F,N3,N4,0.8634035021912948,first-ring,True
1142243F,N3,N5,0.6114903738279751,first-ring,True
1142243F,N3,N6,1.0814356173069348,first-ring,True
1142243F,N3,N7,0.9095276988869881,first-ring,True
1142243F,N3,N8,0.9232063421699126,first-ring,True
1142243F,N3,N9,0.7387047232248912,first-ring,True
1142243F,N4,N0,0.7753011040085097,first-ring,True
1142243F,N4,N1,0.9141610032339142,first-ring,True
1142243F,N4,N2,1.162379055492817,first-ring,True
1142243F,N4,N3,0.8634035021912948,first-ring,True
1142243F,N4,N4,1.9537587821014442,first-ring,True
1142243F,N4,N5,1.0118336442144955,first-ring,True
1142243F,N4,N6,0.8243707941356304,first-ring,True
1142243F,N4,N7,1.1629516560127644,first-ring,True
1142243F,N4,N8,1.0525299836236737,first-ring,True
1142243F,N4,N9,0.9740962588824864,first-ring,True
1142243F,N5,N0,0.8007612038223484,first-ring,True
1142243F,N5,N1,0.9487779131396825,first-ring,True
1142243F,N5,N2,1.304364574252606,first-ring,True
1142243F,N5,N3,0.6114903738279751,first-ring,True
1142243F,N5,N4,1.0118336442144955,first-ring,True
1142243F,N5,N5,1.2862292087472398,first-ring,True
1142243F,N5,N6,0.8989586800457086,first-ring,True
1142243F,N5,N7,0.9565654199506785,first-ring,True
1142243F,N5,N8,1.1149682029911798,first-ring,True
