niche,B cells Memory,B cells Naive,CAFs MSC iCAF-like,CAFs myCAF-like,Cancer Basal SC,Cancer Cycling,Cancer Her2 SC,Cancer LumA SC,Cancer LumB SC,Cycling PVL,Cycling T-cells,Cycling_Myeloid,DCs,Endothelial ACKR1,Endothelial CXCL12,Endothelial Lymphatic LYVE1,Endothelial RGS5,Luminal Progenitors,Macrophage,Mature Luminal,Monocyte,Myoepithelial,NK cells,NKT cells,PVL Differentiated,PVL Immature,Plasmablasts,T cells CD4+,T cells CD8+
N0,-0.35982876613491743,-0.26784711187157023,-0.5578760651185718,-0.37041086103132076,-0.551385509371865,-0.5951458772042496,-0.4668864807434111,-0.7294930341273359,-0.7497305206084321,6.925619123480885,-0.06663204833303248,-0.048837343249704304,-0.17344017241662107,-0.4505264937642601,-0.03617744732237974,-0.1775546491758048,0.6441420276033055,-0.47975712371850443,-0.5809827814270204,-0.2797101718969003,-0.31870083328005266,-0.322703981683387,-0.07107474423382999,-0.2953429918802004,-0.4184040279306369,-0.07613535309671013,-0.4665002482777801,-0.669551035877294,-0.616505827057102
N1,-0.047003782051797144,-0.12175418942790793,-0.11199178662441815,-0.17802689143263023,0.022722381034716455,-0.14891523680023663,-0.1431957424428824,-0.05101670588130762,0.06935166041041671,-0.13613676365735689,-0.27130188604750305,-0.2805217557553196,-0.23974691109462168,-0.20305234136729797,-0.074401353752505,-0.1288067835807099,-0.18788786175796626,0.3928446165491049,-0.37995206865740216,0.9338596852549113,0.5571256896294207,0.8986937023758883,-0.18147322205667665,0.3639919569426274,-0.05399689894396078,-0.09419666070951428,-0.2718438170799698,-0.29541597648913964,-0.13239792321244506
N2,-0.1169279543909607,-0.20885980049994116,-0.08414596488112826,1.1029900255717022,0.22733033106578107,-0.21888218682693192,-0.3169116561574155,-0.07783021237645876,-0.10971470229853261,-0.12447604714856247,0.053173749722995836,-0.2685451154552666,-0.06794374310416165,-0.0010695330965655378,-0.045391382452103134,-0.12877980034992095,0.003227392810386125,-0.2247270177851607,1.26034891389694,-0.26839433958054654,-0.09306078309127566,-0.11217712902012857,-0.17899456679610135,-0.015765661050169612,-0.1986682092032584,0.17098679423650856,0.45723309659369227,-0.24767400267965076,1.2713156883521992
N3,-0.17455191854195418,-0.18865508063234052,-0.19736042802169135,-0.20785155341327607,-0.022301267764323365,0.28867669730084344,0.10752911372763929,0.014668782289109585,-0.12768208223721736,-0.11555516316825742,-0.17703138314320674,2.944166046536384,-0.19444982842638858,-0.25799001880813127,-0.1441300801322023,-0.16075326802768322,-0.08772104631083372,-0.13545609962410812,-0.5749417188432003,-0.07757271935833715,-0.2826807883685123,-0.13306850420672078,-0.1459255245860922,-0.0774948240291715,-0.17054396891939905,0.015866439289881643,-0.26044565228934796,0.09535809944416263,-0.16479899030895798
N4,-0.13832934774348174,-0.2085819637130182,-0.06550615360493295,-0.1570940956916734,-0.4817621988579822,-0.487714763243608,-0.3783295712376698,-0.507591367954807,-0.4485143909827053,-0.1298027482075058,-0.07645024521168432,-0.2980864363362675,-0.0986006923730552,-0.17122720504971564,-0.34958310956347316,4.650180336111391,-0.18680500806956213,-0.3090951102038991,-0.3225925818505247,-0.2934628622057963,-0.2562812708431597,-0.21186594430747435,-0.18712610539332805,-0.20879988053390217,-0.2473427538136428,-0.17213370991571122,-0.17463512263032666,-0.5533832013899309,-0.31122024153437117
N5,-0.07479210610322491,4.470110985315538,-0.19101828896347234,-0.31112768009231884,-0.3681789654882454,-0.3846119133811745,-0.40772399471492604,-0.4153568160499454,-0.4725756642646749,-0.11686810637261394,0.10141697532392858,-0.25260274112275705,0.1850899394606976,-0.3496087976015106,-0.2749470098279271,-0.13716044372125868,-0.10392988989294294,-0.2890072528140082,-0.38466870213055426,-0.2551041485770109,-0.30562950208554396,-0.1779133145415475,-0.2190067411067441,-0.22513259779679684,-0.32278746937829933,-0.308203686531771,-0.21284076501126745,-0.666333048669108,-0.42108364563511436
N6,-0.0577175139002305,-0.08046413475327531,-0.01886506230065621,-0.3427833325444913,0.3739710248595653,0.7326919461472751,0.8587712368123749,0.6968275718948655,0.6337348076405971,-0.13416388524051037,-0.3218240241371869,-0.23737604833043405,-0.2688676663058973,-0.0427024612187751,-0.009493054607143534,-0.17146096634290944,-0.22210370554739609,0.23239949492986156,-0.14869269837781013,-0.08416111838336483,-0.009295276190735271,-0.20735529817118106,-0.2337161918663756,-0.07852458210909684,0.09604902290349639,0.012008992369999584,-0.2343434174698816,0.9196374979704169,-0.12591534244514388
N7,-0.024914636563895757,-0.1842883771112224,0.7249162216562236,0.11095506624678422,-0.39653917349610424,-0.3682244840699812,-0.4449533399938378,-0.2835288152966077,-0.292963273413079,-0.13321160052069947,-0.23610463771991103,-0.30701327055179395,-0.19888124361817777,1.0747140211083934,0.7964085012551636,-0.07561260501948583,-0.09557164478859836,-0.14485801549338526,0.11646429197137523,-0.3286267776569248,-0.10235413533831025,-0.1891305362568379,-0.20659214798321102,-0.06648688910816292,0.9241368734185038,0.1323542499067506,0.9039942834913004,-0.19866743051398644,-0.23403158367383894
N8,0.7569667054238398,-0.1681481476138569,-0.07181787002108432,-0.10983391247357341,-0.3327316940941059,-0.5644531439628977,-0.5168163356046714,-0.619337135907638,-0.5295605453035349,-0.11086227586458713,1.5330598860724103,-0.24635934900722653,1.5372592158279672,-0.2553379950187287,-0.3164725759041483,-0.1136831771022693,1.0070406261726506,-0.315856872885915,-0.09522629483128908,-0.28488355107774,-0.15309443585889254,-0.26910052179087113,-0.05827766495232645,0.0019906139364998035,-0.4360414576027,-0.0337682439207499,-0.20340132997123014,-0.5099314300586488,-0.24629926959184886
N9,-0.20436940411599858,-0.22461581077519518,-0.1847300736589739,-0.013432840181792995,-0.21819988396367315,-0.2287403782718577,-0.3328053810562163,-0.36007413859672505,-0.2962860457840486,-0.13121086241284852,0.08406209796821357,-0.20758405393595056,-0.03285935721975068,-0.20959672604295412,-0.19157536073853434,-0.15001074564597053,-0.01921051220378757,-0.16443334290881487,0.04360092853996897,-0.16623657171346998,-0.17350252007647096,-0.22108778018429576,3.6095802931668453,-0.19181938863369014,-0.2708832546179107,-0.15960878686803223,-0.05851695129111384,-0.5495846849484821,-0.4704584304841438
