k,seed,inertia,iterations,spots,section_total_weight_equal
6,20260904,142.71671959007708,29,15601,True
6,20260905,143.33755725469285,72,15601,True
6,20260906,143.32280153496143,61,15601,True
7,20260904,138.68943892578181,30,15601,True
7,20260905,139.43847095355633,40,15601,True
7,20260906,139.37149224013228,47,15601,True
8,20260904,134.84768252961888,37,15601,True
8,20260905,134.96860774144903,48,15601,True
8,20260906,135.20707628230997,35,15601,True
9,20260904,131.17664656713006,51,15601,True
9,20260905,131.24996552589673,54,15601,True
9,20260906,131.21156108721934,124,15601,True
10,20260904,127.80320987841236,38,15601,True
10,20260905,127.57199768681778,30,15601,True
10,20260906,127.51493591101769,97,15601,True
