section,niche_a,niche_b,observed_edges,expected_edges_independence,enrichment_ratio,descriptive
1142243F,N0,N0,21,7.704533506336618,2.7256679437799165,True
1142243F,N0,N1,89,129.05093623113834,0.6896501691440301,True
1142243F,N0,N2,95,93.14230685339089,1.0199446761559512,True
1142243F,N0,N3,94,60.53562040693056,1.552804767971589,True
1142243F,N0,N4,16,20.63714332054451,0.7753011040085097,True
1142243F,N0,N5,13,16.234552745495016,0.8007612038223484,True
1142243F,N0,N6,147,184.77122319660853,0.7955784318404522,True
1142243F,N0,N7,30,32.74426740193062,0.916190905472241,True
1142243F,N0,N8,92,68.1025729577969,1.3509034388027061,True
1142243F,N0,N9,40,37.55960084339101,1.064974043967733,True
1142243F,N1,N0,89,129.05093623113834,0.6896501691440301,True
1142243F,N1,N1,832,540.400795467892,1.5395980297912673,True
1142243F,N1,N2,551,780.0668198971488,0.7063497458751661,True
1142243F,N1,N3,402,506.9858209080435,0.7929215836450667,True
1142243F,N1,N4,158,172.8360753095603,0.9141610032339142,True
1142243F,N1,N5,129,135.96437924352077,0.9487779131396825,True
1142243F,N1,N6,1714,1547.4589942715968,1.1076222415876005,True
1142243F,N1,N7,221,274.23323949116906,0.8058833437188664,True
1142243F,N1,N8,338,570.359048521549,0.5926091658861968,True
1142243F,N1,N9,248,314.5616570633997,0.7883986952358143,True
1142243F,N2,N0,95,93.14230685339089,1.0199446761559512,True
1142243F,N2,N1,551,780.0668198971488,0.7063497458751661,True
1142243F,N2,N2,489,281.5059899095788,1.7370855950776374,True
1142243F,N2,N3,317,365.9162054954642,0.8663185593837534,True
1142243F,N2,N4,145,124.74416096436282,1.162379055492817,True
1142243F,N2,N5,128,98.13207329196541,1.304364574252606,True
1142243F,N2,N6,619,1116.8760545009286,0.5542244347575324,True
1142243F,N2,N7,215,197.92740206345567,1.0862568687233658,True
1142243F,N2,N8,585,411.6557311823973,1.421090381323507,True
1142243F,N2,N9,335,227.0343729551403,1.4755474937100939,True
1142243F,N3,N0,94,60.53562040693056,1.552804767971589,True
1142243F,N3,N1,402,506.9858209080435,0.7929215836450667,True
1142243F,N3,N2,317,365.9162054954642,0.8663185593837534,True
1142243F,N3,N3,205,118.90925437075647,1.724003746258592,True
1142243F,N3,N4,70,81.07449161642487,0.8634035021912948,True
1142243F,N3,N5,39,63.77860007158757,0.6114903738279751,True
1142243F,N3,N6,785,725.8869482723908,1.0814356173069348,True
1142243F,N3,N7,117,128.63819336472747,0.9095276988869881,True
1142243F,N3,N8,247,267.54582233420206,0.9232063421699126,True
1142243F,N3,N9,109,147.55557474189325,0.7387047232248912,True
1142243F,N4,N0,16,20.63714332054451,0.7753011040085097,True
1142243F,N4,N1,158,172.8360753095603,0.9141610032339142,True
1142243F,N4,N2,145,124.74416096436282,1.162379055492817,True
1142243F,N4,N3,70,81.07449161642487,0.8634035021912948,True
1142243F,N4,N4,27,13.819515616436057,1.9537587821014442,True
1142243F,N4,N5,22,21.7427045698594,1.0118336442144955,True
1142243F,N4,N6,204,247.461459638315,0.8243707941356304,True
1142243F,N4,N7,51,43.85392955615709,1.1629516560127644,True
1142243F,N4,N8,96,91.20880306847798,1.0525299836236737,True
1142243F,N4,N9,49,50.30303684382725,0.9740962588824864,True
1142243F,N5,N0,13,16.234552745495016,0.8007612038223484,True
1142243F,N5,N1,129,135.96437924352077,0.9487779131396825,True
1142243F,N5,N2,128,98.13207329196541,1.304364574252606,True
1142243F,N5,N3,39,63.77860007158757,0.6114903738279751,True
1142243F,N5,N4,22,21.7427045698594,1.0118336442144955,True
1142243F,N5,N5,11,8.552130464144698,1.2862292087472398,True
1142243F,N5,N6,175,194.66968158214115,0.8989586800457086,True
1142243F,N5,N7,33,34.49842458417692,0.9565654199506785,True
1142243F,N5,N8,80,71.750925080536,1.1149682029911798,True
1142243F,N5,N9,56,39.57172231714411,1.4151519499503433,True
1142243F,N6,N0,147,184.77122319660853,0.7955784318404522,True
1142243F,N6,N1,1714,1547.4589942715968,1.1076222415876005,True
1142243F,N6,N2,619,1116.8760545009286,0.5542244347575324,True
1142243F,N6,N3,785,725.8869482723908,1.0814356173069348,True
1142243F,N6,N4,204,247.461459638315,0.8243707941356304,True
1142243F,N6,N5,175,194.66968158214115,0.8989586800457086,True
1142243F,N6,N6,1528,1107.8024676475238,1.3793072723919704,True
1142243F,N6,N7,301,392.63884929279317,0.7666077886641891,True
1142243F,N6,N8,561,816.6228168064396,0.6869756617796919,True
1142243F,N6,N9,353,450.3798565417333,0.783782833252202,True
1142243F,N7,N0,30,32.74426740193062,0.916190905472241,True
1142243F,N7,N1,221,274.23323949116906,0.8058833437188664,True
1142243F,N7,N2,215,197.92740206345567,1.0862568687233658,True
1142243F,N7,N3,117,128.63819336472747,0.9095276988869881,True
1142243F,N7,N4,51,43.85392955615709,1.1629516560127644,True
1142243F,N7,N5,33,34.49842458417692,0.9565654199506785,True
1142243F,N7,N6,301,392.63884929279317,0.7666077886641891,True
1142243F,N7,N7,76,34.79078411455129,2.1844865510867546,True
1142243F,N7,N8,175,144.7179675353184,1.2092486025088163,True
1142243F,N7,N9,95,79.8141517922059,1.1902651079639368,True
1142243F,N8,N0,92,68.1025729577969,1.3509034388027061,True
1142243F,N8,N1,338,570.359048521549,0.5926091658861968,True
1142243F,N8,N2,585,411.6557311823973,1.421090381323507,True
1142243F,N8,N3,247,267.54582233420206,0.9232063421699126,True
1142243F,N8,N4,96,91.20880306847798,1.0525299836236737,True
1142243F,N8,N5,80,71.750925080536,1.1149682029911798,True
1142243F,N8,N6,561,816.6228168064396,0.6869756617796919,True
1142243F,N8,N7,175,144.7179675353184,1.2092486025088163,True
1142243F,N8,N8,260,150.49452506298869,1.7276375993822923,True
1142243F,N8,N9,220,166.00002158462993,1.3253010324931787,True
1142243F,N9,N0,40,37.55960084339101,1.064974043967733,True
1142243F,N9,N1,248,314.5616570633997,0.7883986952358143,True
1142243F,N9,N2,335,227.0343729551403,1.4755474937100939,True
1142243F,N9,N3,109,147.55557474189325,0.7387047232248912,True
1142243F,N9,N4,49,50.30303684382725,0.9740962588824864,True
1142243F,N9,N5,56,39.57172231714411,1.4151519499503433,True
1142243F,N9,N6,353,450.3798565417333,0.783782833252202,True
1142243F,N9,N7,95,79.8141517922059,1.1902651079639368,True
1142243F,N9,N8,220,166.00002158462993,1.3253010324931787,True
1142243F,N9,N9,49,45.77576352788279,1.0704354493214139,True
1160920F,N0,N0,12,5.291785305511763,2.2676656945060043,True
1160920F,N0,N1,67,81.40342076351075,0.8230612346702866,True
1160920F,N0,N2,72,75.88645310457295,0.9487859433986545,True
1160920F,N0,N3,48,50.32825599071826,0.9537385918727713,True
1160920F,N0,N4,14,15.53758238639624,0.9010410790971926,True
1160920F,N0,N5,16,19.47827357135181,0.8214280357748146,True
1160920F,N0,N6,114,149.0707179680335,0.7647377134417906,True
1160920F,N0,N7,61,63.61401484285418,0.9589081926473029,True
1160920F,N0,N8,117,60.68664424831576,1.9279365575275997,True
1160920F,N0,N9,23,24.54487652343754,0.9370591038841707,True
1160920F,N1,N0,67,81.40342076351075,0.8230612346702866,True
1160920F,N1,N1,564,313.0567724043525,1.8015901578117675,True
1160920F,N1,N2,523,583.6798467511303,0.8960391606993362,True
1160920F,N1,N3,383,387.09924554563094,0.9894103499482338,True
1160920F,N1,N4,88,119.50714963153705,0.7363576176933389,True
1160920F,N1,N5,117,149.81693395837615,0.7809531066261594,True
1160920F,N1,N6,1086,1146.575841392428,0.9471680466258008,True
1160920F,N1,N7,408,489.28651841897414,0.8338672426911857,True
1160920F,N1,N8,219,466.7706786333222,0.4691811418858174,True
1160920F,N1,N9,166,188.78665666431215,0.8792994321371459,True
1160920F,N2,N0,72,75.88645310457295,0.9487859433986545,True
1160920F,N2,N1,523,583.6798467511303,0.8960391606993362,True
1160920F,N2,N2,518,272.06100740682007,1.9039847162861556,True
1160920F,N2,N3,291,360.86430359302244,0.8063972997677975,True
1160920F,N2,N4,116,111.40777157905391,1.041220000686285,True
