section,niche,I,p_two_sided,permutations,descriptive
1142243F,N0,0.04138239516021385,0.001,999,True
1142243F,N1,0.13145364283837385,0.001,999,True
1142243F,N2,0.12237224678379159,0.001,999,True
1142243F,N3,0.07299963492018152,0.001,999,True
1142243F,N4,0.03208448959687524,0.002,999,True
1142243F,N5,0.00697941905361177,0.479,999,True
1142243F,N6,0.14580305378342637,0.001,999,True
1142243F,N7,0.06265969185000242,0.001,999,True
1142243F,N8,0.08357726532657787,0.001,999,True
1142243F,N9,0.004363119635664735,0.617,999,True
1160920F,N0,0.024474202243277423,0.005,999,True
1160920F,N1,0.14333256999216623,0.001,999,True
1160920F,N2,0.1426287308677798,0.001,999,True
1160920F,N3,0.08966439714491237,0.001,999,True
1160920F,N4,0.06998165215155651,0.001,999,True
1160920F,N5,0.039808875693979076,0.001,999,True
1160920F,N6,0.3171219695283938,0.001,999,True
1160920F,N7,0.2661410955773718,0.001,999,True
1160920F,N8,0.39487107798456744,0.001,999,True
1160920F,N9,0.044527421805028354,0.001,999,True
CID4290,N0,0.1024408834511136,0.001,999,True
CID4290,N1,0.0437923132139839,0.001,999,True
CID4290,N2,0.0852089608773982,0.001,999,True
CID4290,N3,0.06330474151764574,0.001,999,True
CID4290,N4,0.06623910050935077,0.001,999,True
CID4290,N5,-0.013798988113240283,0.228,999,True
CID4290,N6,0.19059361195089075,0.001,999,True
CID4290,N7,0.21137211970135475,0.001,999,True
CID4290,N8,0.04415395912279921,0.001,999,True
CID4290,N9,0.022371070007719124,0.058,999,True
CID4465,N0,0.3548883408145898,0.001,999,True
CID4465,N1,0.21530175032180643,0.001,999,True
CID4465,N2,0.1135822588403732,0.001,999,True
CID4465,N3,0.12701743649292105,0.001,999,True
CID4465,N4,0.12745002230028357,0.001,999,True
CID4465,N5,0.06463054300804912,0.001,999,True
CID4465,N6,0.16903901359136536,0.001,999,True
CID4465,N7,0.28366048673315425,0.001,999,True
CID4465,N8,0.350112479823705,0.001,999,True
CID4465,N9,-0.013525313836391207,0.447,999,True
CID44971,N0,0.05105316977751461,0.003,999,True
CID44971,N1,0.538479909416037,0.001,999,True
CID44971,N2,0.3715736228497683,0.001,999,True
CID44971,N3,0.1699572534331104,0.001,999,True
CID44971,N4,0.18059001308132996,0.001,999,True
CID44971,N5,-0.0004950567715710821,0.981,999,True
CID44971,N6,0.25061478229304224,0.001,999,True
CID44971,N7,0.18376472177180134,0.001,999,True
CID44971,N8,0.16468083560647828,0.001,999,True
CID44971,N9,0.01708340933886679,0.328,999,True
CID4535,N0,0.07399515829099283,0.002,999,True
CID4535,N1,0.07097182272185815,0.001,999,True
CID4535,N2,0.13991974925855738,0.001,999,True
CID4535,N3,0.07121287384619178,0.001,999,True
CID4535,N4,0.1716964553820121,0.001,999,True
CID4535,N5,0.07776234063419417,0.001,999,True
CID4535,N6,0.348139370164542,0.001,999,True
CID4535,N7,0.13894958906447774,0.001,999,True
CID4535,N8,0.22730171385355097,0.001,999,True
CID4535,N9,0.0018649636783325387,0.925,999,True
