niche,B cells Memory,B cells Naive,CAFs MSC iCAF-like,CAFs myCAF-like,Cancer Basal SC,Cancer Cycling,Cancer Her2 SC,Cancer LumA SC,Cancer LumB SC,Cycling PVL,Cycling T-cells,Cycling_Myeloid,DCs,Endothelial ACKR1,Endothelial CXCL12,Endothelial Lymphatic LYVE1,Endothelial RGS5,Luminal Progenitors,Macrophage,Mature Luminal,Monocyte,Myoepithelial,NK cells,NKT cells,PVL Differentiated,PVL Immature,Plasmablasts,T cells CD4+,T cells CD8+
N0,0.01463442955968111,0.010920594502608901,0.0124747896986449,0.02410430150935009,0.010355189747098602,0.01350066384857328,0.01126671305652936,0.012467831909133456,0.01326689950992803,0.4806932903328865,0.022206059223733168,0.01910223008757427,0.01773277041217901,0.022863905107720572,0.03314566761061398,0.015578263110926312,0.05780532621877577,0.013067024342219326,0.01937578287909401,0.015648925254356707,0.016067611019487105,0.01229587054119807,0.025684341973633222,0.01373329240537329,0.020230299833228108,0.02473783869856509,0.017241064250445904,0.014266879007325806,0.015532144349114879
N1,0.031619430530785364,0.02256617016619058,0.03349261459737057,0.03008092075289117,0.03737136301144071,0.03427638868766097,0.028830755289029814,0.03541969728024296,0.039479169768182394,0.0008742760247799378,0.011867585046964039,0.00821817990597241,0.010596904022156078,0.03461109453121839,0.03243920108260763,0.018269171195051313,0.01584969035729101,0.055289637200292674,0.023991356695682503,0.09207292587096642,0.07431165057378698,0.09081789540253327,0.01572479955349686,0.06726045958155821,0.03879586002392763,0.030199052801498684,0.02591152310560321,0.026031428357290876,0.033730798583526046
N2,0.02792561951339173,0.01589471361023557,0.03469486765946224,0.07600409773270642,0.03862421362480586,0.031894410395489674,0.01997187183998191,0.03653712666290144,0.03701390540420869,0.0012564059490830718,0.033952790587662415,0.007739480482298239,0.019607683361863505,0.044701004139269765,0.03352735232024852,0.01866785158401876,0.03052901370068973,0.027739830872490642,0.07910794906925006,0.01433841954451351,0.028321749666163954,0.029168422507121032,0.016749972016069377,0.03356884695580861,0.03271984842285384,0.0452866391415377,0.06462939145281488,0.028585618574281005,0.09124090320877655
N3,0.024105664439110955,0.016904091743955893,0.029823744920166727,0.02968310343811321,0.03441244862268325,0.04469497540520468,0.03823919069516549,0.04066547588000296,0.036523101207660634,0.0017564009919074602,0.01599038692783882,0.23228612651286917,0.013229623374247818,0.03270411220236816,0.02823347393118183,0.015351325300375852,0.021373810011044544,0.03494252072646287,0.01861145232257658,0.02745636518588888,0.022030880780669813,0.027146430968208297,0.019294460402544397,0.02828685523682213,0.03361793409648056,0.035397711072852826,0.02588320263120009,0.03980362537470297,0.03155150559769185
N4,0.02592423963077645,0.0171439483108169,0.03490746923628047,0.03178159597303394,0.01496911888919645,0.01902072994634137,0.013280767989338721,0.018270186354379367,0.022757160307570176,0.001359230337362402,0.021373204615828402,0.008114395102799639,0.023469792595540686,0.0345420334425058,0.015622587226927538,0.4034330392960227,0.01493670536748582,0.021086437781982156,0.026888805393574213,0.01169626224421145,0.023595366731465756,0.02199369711480381,0.016659717811240263,0.021364232901597682,0.030854118284633886,0.024495880464494427,0.03458664912134907,0.0190600584778667,0.026812569050572554
N5,0.03593713836876934,0.38395614050767296,0.030675765732714355,0.02718124166942764,0.017490739216077914,0.021599164266845314,0.013145370425675158,0.02226985225082772,0.022057604180833433,0.0019839307233866336,0.03620430503843992,0.007039162470950488,0.034709542062155714,0.03013008464532969,0.0213567868392316,0.018742082656124186,0.01941539196211459,0.021049166464792466,0.025979944608452425,0.011349942568162123,0.019906037854186154,0.02410528667889289,0.01645103564355534,0.02069952915048637,0.0285929580194483,0.019958776666854357,0.03126683702912648,0.013473569443368624,0.02327261285609659
N6,0.030677257116375627,0.026845776519680776,0.04018097685961125,0.024757398600601003,0.05693603048682123,0.06657101909305758,0.07414459250555068,0.06352797295947792,0.059943753704039024,0.000910626167526878,0.007482861929813566,0.010449502720002998,0.008816434032264885,0.04300510463076705,0.035143710125621334,0.014121948239737557,0.013088086434411497,0.053419842796636516,0.03255017900095781,0.022970536472519586,0.03769464090285255,0.02533083125618901,0.011756613788969588,0.027576327769633327,0.04807381217803883,0.03609145732656642,0.026925076327726366,0.06727059135350033,0.03373703870104748
N7,0.03726551591570727,0.01778220206770581,0.06938490391797895,0.041659793949088086,0.01598859567834727,0.023907203492017415,0.011853450895171782,0.025908443462507633,0.028185988971379947,0.0007902841456653673,0.01284964175084857,0.005798196984203763,0.013331586145674085,0.0977811873089334,0.08975297380522947,0.023788970723477954,0.02069106016117705,0.028289169696655642,0.04250995636720007,0.007706422986147428,0.030355946851430008,0.022383396078196248,0.014701723854940951,0.030801358520677887,0.10074501593303818,0.040168213280284464,0.0878500558452506,0.029048649431547165,0.0287200917795162
N8,0.0900014816723496,0.019258189759651687,0.03491518794304689,0.0352646818502947,0.01788618753145278,0.014581628737413648,0.009227276300728936,0.015396372176994572,0.020784324482146725,0.002367245117622151,0.13003642718186822,0.009202337575927274,0.14217995603068143,0.031149334240619365,0.01974506928635947,0.021443147903030504,0.09039751279790276,0.019092982676617708,0.03407646069296507,0.01059496533573497,0.02505957314433771,0.01872417428272902,0.025308070363302307,0.03449415653890528,0.021253635222968137,0.030644743744239058,0.030726409977563412,0.018573082932218953,0.02761538450032645
N9,0.02270121871167,0.014849236783401103,0.02837200916498486,0.038894448410452136,0.024572194141402548,0.028159349135525518,0.017580991146929906,0.024356581531798854,0.028933849100908612,0.0013215314295641726,0.03224366156974739,0.014270068505150862,0.023831623539744943,0.03317429219205014,0.025543423923083123,0.01779103010296165,0.025926171426229046,0.02753945399124767,0.03937940613843068,0.017196766363148385,0.025493803824482828,0.02239550170824442,0.3103498200334631,0.02040728659021591,0.028675198578804392,0.025597612658682208,0.039745929988593186,0.018240929869574037,0.02245660943950702
