section,niche,spots,proportion
1142243F,N0,112,0.023411371237458192
1142243F,N1,938,0.19607023411371238
1142243F,N2,677,0.1415133779264214
1142243F,N3,440,0.09197324414715718
1142243F,N4,150,0.031354515050167224
1142243F,N5,118,0.024665551839464884
1142243F,N6,1343,0.2807274247491639
1142243F,N7,238,0.049749163879598664
1142243F,N8,495,0.10346989966555184
1142243F,N9,273,0.057065217391304345
1160920F,N0,94,0.01920326864147089
1160920F,N1,723,0.1477017364657814
1160920F,N2,674,0.1376915219611849
1160920F,N3,447,0.091317671092952
1160920F,N4,138,0.02819203268641471
1160920F,N5,173,0.03534218590398366
1160920F,N6,1324,0.27048008171603677
1160920F,N7,565,0.11542390194075587
1160920F,N8,539,0.1101123595505618
1160920F,N9,218,0.044535240040858015
CID4290,N0,34,0.014014839241549877
CID4290,N1,493,0.20321516900247322
CID4290,N2,277,0.11417971970321517
CID4290,N3,155,0.06389117889530091
CID4290,N4,76,0.031327287716405604
CID4290,N5,68,0.028029678483099753
CID4290,N6,471,0.1941467436108821
CID4290,N7,436,0.179719703215169
CID4290,N8,298,0.12283594394064304
CID4290,N9,118,0.048639736191261336
CID4465,N0,18,0.01486374896779521
CID4465,N1,277,0.22873658133773742
CID4465,N2,153,0.1263418662262593
CID4465,N3,85,0.07018992568125516
CID4465,N4,34,0.028075970272502065
CID4465,N5,52,0.042939719240297276
CID4465,N6,231,0.1907514450867052
CID4465,N7,193,0.1593724194880264
CID4465,N8,112,0.09248554913294797
CID4465,N9,56,0.046242774566473986
CID44971,N0,26,0.022413793103448276
CID44971,N1,159,0.13706896551724138
CID44971,N2,226,0.19482758620689655
CID44971,N3,98,0.08448275862068966
CID44971,N4,40,0.034482758620689655
CID44971,N5,31,0.026724137931034484
CID44971,N6,254,0.2189655172413793
CID44971,N7,152,0.1310344827586207
CID44971,N8,115,0.09913793103448276
CID44971,N9,59,0.05086206896551724
CID4535,N0,17,0.015111111111111112
CID4535,N1,157,0.13955555555555554
CID4535,N2,143,0.12711111111111112
CID4535,N3,91,0.08088888888888889
CID4535,N4,20,0.017777777777777778
CID4535,N5,45,0.04
CID4535,N6,405,0.36
CID4535,N7,93,0.08266666666666667
CID4535,N8,110,0.09777777777777778
CID4535,N9,44,0.03911111111111111
