niche,CAF,CD8_T,macrophage,endothelial
N0,0.03657909120799499,0.015532144349114879,0.01937578287909401,0.12939316204803664
N1,0.06357353535026174,0.033730798583526046,0.023991356695682503,0.10116915716616834
N2,0.11069896539216866,0.09124090320877655,0.07910794906925006,0.12742522174422677
N3,0.059506848358279935,0.03155150559769185,0.01861145232257658,0.09766272144497039
N4,0.06668906520931442,0.026812569050572554,0.026888805393574213,0.46853436533294185
N5,0.057857007402141995,0.02327261285609659,0.025979944608452425,0.08964434610280006
N6,0.06493837546021225,0.03373703870104748,0.03255017900095781,0.10535884943053743
N7,0.11104469786706704,0.0287200917795162,0.04250995636720007,0.2320141919988179
N8,0.07017986979334159,0.02761538450032645,0.03407646069296507,0.16273506422791212
N9,0.06726645757543699,0.02245660943950702,0.03937940613843068,0.10243491764432397
