k,seed,section,silhouette,spots
6,20260904,1142243F,0.06262663404186736,4784
6,20260904,1160920F,0.07682639901965571,4895
6,20260904,CID4290,0.04100651139749526,2426
6,20260904,CID4465,0.05306688365772718,1211
6,20260904,CID44971,0.07277528590474823,1160
6,20260904,CID4535,0.09715960681764639,1125
6,20260905,1142243F,0.05416634642059301,4784
6,20260905,1160920F,0.08708102340891079,4895
6,20260905,CID4290,0.041625596942281615,2426
6,20260905,CID4465,0.06381988848467081,1211
6,20260905,CID44971,0.09319710535186225,1160
6,20260905,CID4535,0.10452332526978973,1125
6,20260906,1142243F,0.05448737267118492,4784
6,20260906,1160920F,0.0846127250146924,4895
6,20260906,CID4290,0.03502049213391256,2426
6,20260906,CID4465,0.058858236135157435,1211
6,20260906,CID44971,0.09075012245756539,1160
6,20260906,CID4535,0.10216306073365232,1125
7,20260904,1142243F,0.06907538657162815,4784
7,20260904,1160920F,0.08000438143259253,4895
7,20260904,CID4290,0.054714780364449433,2426
7,20260904,CID4465,0.06593694272640212,1211
7,20260904,CID44971,0.08126212105506235,1160
7,20260904,CID4535,0.10739488703019681,1125
7,20260905,1142243F,0.06572270241350733,4784
7,20260905,1160920F,0.08074915222868857,4895
7,20260905,CID4290,0.02296935822279196,2426
7,20260905,CID4465,0.05816824012423147,1211
7,20260905,CID44971,0.09679265055398996,1160
7,20260905,CID4535,0.06463254241417529,1125
7,20260906,1142243F,0.06511482892260632,4784
7,20260906,1160920F,0.08628642941809755,4895
7,20260906,CID4290,0.06097294244835821,2426
7,20260906,CID4465,0.07099210110198331,1211
7,20260906,CID44971,0.1018847854400419,1160
7,20260906,CID4535,0.10381428666041198,1125
8,20260904,1142243F,0.07551130802003521,4784
8,20260904,1160920F,0.0853650679108301,4895
8,20260904,CID4290,0.033072572807139856,2426
8,20260904,CID4465,0.07028102884689917,1211
8,20260904,CID44971,0.09246078989354323,1160
8,20260904,CID4535,0.07910544923151451,1125
8,20260905,1142243F,0.07422361480419125,4784
8,20260905,1160920F,0.0829640784648025,4895
8,20260905,CID4290,0.06637101377806114,2426
8,20260905,CID4465,0.07475148497432312,1211
8,20260905,CID44971,0.09027549965921206,1160
8,20260905,CID4535,0.10445272037650889,1125
8,20260906,1142243F,0.07228176762586307,4784
8,20260906,1160920F,0.08561244216699868,4895
8,20260906,CID4290,0.052887723321214476,2426
8,20260906,CID4465,0.07179608538321124,1211
8,20260906,CID44971,0.09676425407903422,1160
8,20260906,CID4535,0.10505054927134024,1125
9,20260904,1142243F,0.08512931470740258,4784
9,20260904,1160920F,0.08977358249997273,4895
9,20260904,CID4290,0.04673702524854646,2426
9,20260904,CID4465,0.0758487950781272,1211
9,20260904,CID44971,0.09882633567270738,1160
9,20260904,CID4535,0.0809232394735637,1125
9,20260905,1142243F,0.084315156997017,4784
9,20260905,1160920F,0.08893624544884088,4895
9,20260905,CID4290,0.051518200117386864,2426
9,20260905,CID4465,0.07777797387219779,1211
9,20260905,CID44971,0.09360285352193733,1160
9,20260905,CID4535,0.08151189689248073,1125
9,20260906,1142243F,0.08147708688812094,4784
9,20260906,1160920F,0.08902418578138822,4895
9,20260906,CID4290,0.07746360655433424,2426
9,20260906,CID4465,0.08679895474017556,1211
9,20260906,CID44971,0.09763103567546205,1160
9,20260906,CID4535,0.10991344274182324,1125
10,20260904,1142243F,0.0831333635374412,4784
10,20260904,1160920F,0.09155625773064492,4895
10,20260904,CID4290,0.07586533945814787,2426
10,20260904,CID4465,0.08147457619023547,1211
10,20260904,CID44971,0.10860701688916269,1160
10,20260904,CID4535,0.11035163300155765,1125
10,20260905,1142243F,0.0851251469477991,4784
10,20260905,1160920F,0.09616082075375267,4895
10,20260905,CID4290,0.08366472974752125,2426
10,20260905,CID4465,0.0954024917437415,1211
10,20260905,CID44971,0.10361833389752506,1160
10,20260905,CID4535,0.11162198739692998,1125
10,20260906,1142243F,0.09078593845786691,4784
10,20260906,1160920F,0.09457421941992908,4895
10,20260906,CID4290,0.058122617870925965,2426
10,20260906,CID4465,0.08184177455374798,1211
10,20260906,CID44971,0.10277849828555101,1160
10,20260906,CID4535,0.0893374477422607,1125
