resource,release,pathway,full_genes,matched_genes,coverage_fraction,boundary_activity_mean_log2_CPM_plus_1,core_activity_mean_log2_CPM_plus_1,boundary_minus_core,method
MSigDB Hallmark,2024.1.Hs,HALLMARK_ADIPOGENESIS,200,196,0.98,5.3235880921246475,5.3617553789659445,-0.038167286841297,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_ALLOGRAFT_REJECTION,200,186,0.93,4.419981932124498,4.321617333750805,0.09836459837369382,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_ANDROGEN_RESPONSE,101,98,0.9702970297029703,5.523030018619289,5.515255532450355,0.007774486168933947,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_ANGIOGENESIS,36,32,0.8888888888888888,5.028028033062885,4.993697717212297,0.0343303158505881,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_APICAL_JUNCTION,200,190,0.95,4.349633483661646,4.344831321806111,0.004802161855534948,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_APICAL_SURFACE,44,43,0.9772727272727273,3.9585004601767313,4.035611247179712,-0.07711078700298035,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_APOPTOSIS,161,155,0.9627329192546584,5.305322752450031,5.274873469590297,0.030449282859733806,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_BILE_ACID_METABOLISM,112,99,0.8839285714285714,3.9550513366136877,4.0360059671989506,-0.08095463058526287,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,72,0.972972972972973,5.149346024061828,5.137862179012214,0.011483845049613528,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_COAGULATION,138,113,0.8188405797101449,4.4292805628502165,4.430155993481645,-0.0008754306314280313,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_COMPLEMENT,200,190,0.95,4.374623704560882,4.366679604343304,0.00794410021757841,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_DNA_REPAIR,150,148,0.9866666666666667,5.379543658621765,5.4401097358598545,-0.06056607723808938,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_E2F_TARGETS,200,198,0.99,5.005070899698486,5.063550660546147,-0.0584797608476606,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,197,0.985,4.612276072797334,4.562804312148666,0.049471760648668095,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,195,0.975,5.423699438888243,5.483986153757434,-0.060286714869191016,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_ESTROGEN_RESPONSE_LATE,200,193,0.965,5.040108705811556,5.0601201844526384,-0.020011478641082547,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_FATTY_ACID_METABOLISM,158,148,0.9367088607594937,4.987991627617745,5.068325209247837,-0.08033358163009119,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_G2M_CHECKPOINT,200,195,0.975,4.900178689120335,4.974382709028618,-0.07420401990828296,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_GLYCOLYSIS,200,191,0.955,4.775248605906406,4.788475893801352,-0.01322728789494576,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_HEDGEHOG_SIGNALING,36,34,0.9444444444444444,3.6037473796984125,3.6343590253493256,-0.030611645650913122,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_HEME_METABOLISM,200,174,0.87,4.677544315253249,4.68854247254929,-0.010998157296040922,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_HYPOXIA,200,190,0.95,4.68804505808195,4.660341269639864,0.027703788442085653,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_IL2_STAT5_SIGNALING,199,193,0.9698492462311558,4.360631505067277,4.31763550699672,0.04299599807055632,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,81,0.9310344827586207,4.134069484140243,4.09180560476359,0.04226387937665255,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_INFLAMMATORY_RESPONSE,200,190,0.95,3.557799841976873,3.5001953872881213,0.05760445468875153,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,96,0.9896907216494846,5.430966291621374,5.462158115108719,-0.031191823487344728,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,195,0.975,5.093756546038168,5.030102511271631,0.06365403476653775,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_KRAS_SIGNALING_DN,200,152,0.76,2.537956006428368,2.5165434984835513,0.02141250794481664,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_KRAS_SIGNALING_UP,200,186,0.93,3.7136656478953913,3.651555021563932,0.06211062633145925,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_MITOTIC_SPINDLE,199,198,0.9949748743718593,5.046280602564864,5.126745272695833,-0.08046467013096859,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_MTORC1_SIGNALING,200,195,0.975,5.615511055533152,5.633762740589125,-0.018251685055973077,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_MYC_TARGETS_V1,200,195,0.975,6.775859505353246,6.788295594169715,-0.01243608881646896,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_MYC_TARGETS_V2,58,57,0.9827586206896551,5.3647503645324734,5.415989827223531,-0.051239462691057724,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_MYOGENESIS,200,180,0.9,4.083398840326637,4.093543632341042,-0.010144792014405546,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_NOTCH_SIGNALING,32,32,1.0,4.490074425850581,4.4928612816680955,-0.0027868558175141445,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,199,0.995,6.48794935055093,6.51588668330275,-0.027937332751819532,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_P53_PATHWAY,200,194,0.97,4.990560641724597,4.98346011996187,0.007100521762727574,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_PANCREAS_BETA_CELLS,40,26,0.65,2.9627672675816727,2.889112786199731,0.07365448138194175,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_PEROXISOME,104,98,0.9423076923076923,5.052828770774891,5.084112250502581,-0.031283479727689745,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,102,0.9714285714285714,5.315125079418398,5.374891130513272,-0.05976605109487387,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_PROTEIN_SECRETION,96,95,0.9895833333333334,5.856513048892214,5.887442035387702,-0.030928986495487365,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,49,1.0,5.677712122769462,5.626095914528703,0.051616208240758965,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_SPERMATOGENESIS,135,90,0.6666666666666666,3.3692072300290015,3.3944526523037983,-0.02524542227479687,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_TGF_BETA_SIGNALING,54,53,0.9814814814814815,5.287461398417301,5.3657484685208034,-0.07828707010350211,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,196,0.98,4.597362805598683,4.537419525173288,0.05994328042539543,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,109,0.9646017699115044,5.926146710368948,5.933644340202645,-0.0074976298336970615,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_UV_RESPONSE_DN,144,141,0.9791666666666666,4.619700306319011,4.565932541719153,0.05376776459985777,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_UV_RESPONSE_UP,158,153,0.9683544303797469,4.860987164562793,4.895223237557996,-0.034236072995202704,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,40,0.9523809523809523,4.398105647422165,4.471651351829077,-0.07354570440691166,unweighted matched-gene mean; descriptive
MSigDB Hallmark,2024.1.Hs,HALLMARK_XENOBIOTIC_METABOLISM,200,175,0.875,4.420187811497523,4.445671838722494,-0.02548402722497123,unweighted matched-gene mean; descriptive
