resource,release,pathway,full_genes,matched_genes,coverage_fraction,boundary_activity_mean_log2_CPM_plus_1,core_activity_mean_log2_CPM_plus_1,boundary_minus_core,method
MSigDB Hallmark,2024.1.Hs,HALLMARK_ADIPOGENESIS,200,199,0.995,5.267592227042198,5.3196902568397215,-0.05209802979752354,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_ALLOGRAFT_REJECTION,200,196,0.98,4.219177950743749,4.1227875199421185,0.09639043080163034,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_ANDROGEN_RESPONSE,101,99,0.9801980198019802,5.4725497878141764,5.496314190773929,-0.023764402959752573,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_ANGIOGENESIS,36,36,1.0,4.54331845850786,4.5158356774510615,0.0274827810567988,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_APICAL_JUNCTION,200,198,0.99,4.19524654806197,4.195076219800266,0.00017032826170382265,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_APICAL_SURFACE,44,44,1.0,3.8363901139591365,3.918036004807827,-0.08164589084869034,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_APOPTOSIS,161,159,0.9875776397515528,5.165599939588013,5.16100298451042,0.004596955077593279,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_BILE_ACID_METABOLISM,112,112,1.0,3.545481344883271,3.605185309639429,-0.05970396475615791,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,74,1.0,5.111391913216507,5.154568875555299,-0.04317696233879165,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_COAGULATION,138,138,1.0,3.68493648289447,3.6801415056102726,0.0047949772841975324,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_COMPLEMENT,200,200,1.0,4.181707205474263,4.197264667811923,-0.015557462337659977,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_DNA_REPAIR,150,149,0.9933333333333333,5.443722732115365,5.5006066628398615,-0.0568839307244966,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_E2F_TARGETS,200,198,0.99,5.011362059480233,5.064605576506485,-0.0532435170262513,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,200,1.0,4.6177726875638685,4.594136522678638,0.02363616488523057,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,198,0.99,5.367383168226022,5.424332412424806,-0.05694924419878422,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_ESTROGEN_RESPONSE_LATE,200,197,0.985,4.987263844810676,5.029577574668821,-0.04231372985814463,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_FATTY_ACID_METABOLISM,158,156,0.9873417721518988,4.760712778066659,4.836290476385336,-0.07557769831867667,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_G2M_CHECKPOINT,200,195,0.975,4.896282936867104,4.9587886801773,-0.06250574331019543,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_GLYCOLYSIS,200,198,0.99,4.645703195588819,4.665791788375689,-0.020088592786869697,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_HEDGEHOG_SIGNALING,36,36,1.0,3.370065637425042,3.4063134599631977,-0.03624782253815573,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_HEME_METABOLISM,200,194,0.97,4.223561554408575,4.260372127141718,-0.0368105727331427,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_HYPOXIA,200,200,1.0,4.564969884724,4.5466755396101926,0.018294345113807786,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_IL2_STAT5_SIGNALING,199,198,0.9949748743718593,4.281964255174974,4.225945502961496,0.056018752213478074,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,87,1.0,4.028372273766861,3.954132795630351,0.07423947813650988,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_INFLAMMATORY_RESPONSE,200,200,1.0,3.4079623852386987,3.334271600851526,0.07369078438717258,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,96,0.9896907216494846,5.6362810873159015,5.665391506832607,-0.02911041951670512,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
MSigDB Hallmark,2024.1.Hs,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,196,0.98,5.203307754990919,5.151796816248766,0.051510938742152845,"symbol-aggregated raw counts, unweighted matched-gene mean; descriptive"
