kind,rank,target,successful_sources,failed_sources,support_evidence,contradictory_evidence,current_data_can_verify,current_data_cannot_verify
gene,1,IGLL5,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,2,RAB6C,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,3,P2RY13,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,4,TRG-AS1,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,5,AC116913.1,opentargets;pubmed,reactome;string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,6,LINC01144,opentargets;pubmed,reactome;string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,7,GRK4,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,8,HEY2,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,9,FOXO6,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,10,MYO10,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,11,ZNF829,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,12,PTHLH,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
gene,13,AZIN1-AS1,opentargets;pubmed;reactome,string;uniprot,CANDIDATE_CONTEXT_NOT_ADJUDICATED,NOT_HUMAN_ADJUDICATED,descriptive CID4535 molecular difference or scRNA communication score only,"causality, population effect, clinical relevance, independent replication"
