kind,rank,target,source,ok,status_code,error_code,request_path,response_path,raw_path,raw_exists,elapsed_seconds,source_url,attempt
gene,1,IGLL5,opentargets,True,,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\requests\opentargets\gene-01-IGLL5.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\responses\opentargets\gene-01-IGLL5.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\raw\opentargets\gene-01-IGLL5.raw,True,2.006400699989172,https://platform.opentargets.org,initial
gene,1,IGLL5,pubmed,True,,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\requests\pubmed\gene-01-IGLL5.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\responses\pubmed\gene-01-IGLL5.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\raw\pubmed\gene-01-IGLL5.raw,True,2.3816590000060387,https://pubmed.ncbi.nlm.nih.gov,initial
gene,1,IGLL5,reactome,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\requests\reactome\gene-01-IGLL5.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\responses\reactome\gene-01-IGLL5.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\raw\reactome\gene-01-IGLL5.raw,True,2.290796699991916,https://reactome.org/ContentService,initial
gene,1,IGLL5,string,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\string\gene-01-IGLL5.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\string\gene-01-IGLL5.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\string\gene-01-IGLL5.raw,True,1.8963061000104062,https://string-db.org,retry1_correct_skill_wrapper
gene,1,IGLL5,uniprot,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\uniprot\gene-01-IGLL5.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\uniprot\gene-01-IGLL5.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\uniprot\gene-01-IGLL5.raw,True,2.3733202000148594,https://rest.uniprot.org,retry1_correct_skill_wrapper
gene,2,RAB6C,opentargets,True,,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\requests\opentargets\gene-02-RAB6C.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\responses\opentargets\gene-02-RAB6C.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\raw\opentargets\gene-02-RAB6C.raw,True,2.312945799989393,https://platform.opentargets.org,initial
gene,2,RAB6C,pubmed,True,,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\requests\pubmed\gene-02-RAB6C.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\responses\pubmed\gene-02-RAB6C.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\raw\pubmed\gene-02-RAB6C.raw,True,2.439135399996303,https://pubmed.ncbi.nlm.nih.gov,initial
gene,2,RAB6C,reactome,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\requests\reactome\gene-02-RAB6C.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\responses\reactome\gene-02-RAB6C.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\raw\reactome\gene-02-RAB6C.raw,True,2.2992513999924995,https://reactome.org/ContentService,initial
gene,2,RAB6C,string,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\string\gene-02-RAB6C.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\string\gene-02-RAB6C.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\string\gene-02-RAB6C.raw,True,2.3032431000028737,https://string-db.org,retry1_correct_skill_wrapper
gene,2,RAB6C,uniprot,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\uniprot\gene-02-RAB6C.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\uniprot\gene-02-RAB6C.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\uniprot\gene-02-RAB6C.raw,True,3.0082845000142697,https://rest.uniprot.org,retry1_correct_skill_wrapper
