kind,rank,target,source,ok,status_code,error_code,request_path,response_path,raw_path,raw_exists,elapsed_seconds,source_url
gene,1,IGLL5,string,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\string\gene-01-IGLL5.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\string\gene-01-IGLL5.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\string\gene-01-IGLL5.raw,True,1.8963061000104062,https://string-db.org
gene,1,IGLL5,uniprot,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\uniprot\gene-01-IGLL5.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\uniprot\gene-01-IGLL5.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\uniprot\gene-01-IGLL5.raw,True,2.3733202000148594,https://rest.uniprot.org
gene,2,RAB6C,string,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\string\gene-02-RAB6C.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\string\gene-02-RAB6C.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\string\gene-02-RAB6C.raw,True,2.3032431000028737,https://string-db.org
gene,2,RAB6C,uniprot,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\uniprot\gene-02-RAB6C.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\uniprot\gene-02-RAB6C.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\uniprot\gene-02-RAB6C.raw,True,3.0082845000142697,https://rest.uniprot.org
gene,3,P2RY13,string,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\string\gene-03-P2RY13.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\string\gene-03-P2RY13.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\string\gene-03-P2RY13.raw,True,1.768987699993886,https://string-db.org
gene,3,P2RY13,uniprot,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\uniprot\gene-03-P2RY13.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\uniprot\gene-03-P2RY13.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\uniprot\gene-03-P2RY13.raw,True,3.412801300000865,https://rest.uniprot.org
gene,4,TRG-AS1,string,False,,network_error,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\string\gene-04-TRG-AS1.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\string\gene-04-TRG-AS1.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\string\gene-04-TRG-AS1.raw,False,2.7163686999992933,https://string-db.org
gene,4,TRG-AS1,uniprot,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\uniprot\gene-04-TRG-AS1.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\uniprot\gene-04-TRG-AS1.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\uniprot\gene-04-TRG-AS1.raw,True,3.60482450001291,https://rest.uniprot.org
gene,5,AC116913.1,string,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\string\gene-05-AC116913.1.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\string\gene-05-AC116913.1.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\string\gene-05-AC116913.1.raw,True,1.7655816999904346,https://string-db.org
gene,5,AC116913.1,uniprot,True,200.0,,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\requests\uniprot\gene-05-AC116913.1.request.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\responses\uniprot\gene-05-AC116913.1.wrapper.json,C:\Plugin\BioNexus\review\spatialwarrant-run-01\09_liana_literature\S6-run-01\retry1\raw\uniprot\gene-05-AC116913.1.raw,True,2.793436100007966,https://rest.uniprot.org
