prespecified_interaction,status,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CXCL9-CXCR3,FOUND,Cycling PVL,Cycling T-cells,CXCL9,CXCR3,0.7096474,0.0,0.49891245,1.1790757244238441,1.2543161308050939,0.046093985,0.8982084,3.3608178276640387e-06,0.004858112552680519
CXCL9-CXCR3,FOUND,Macrophage,Cycling T-cells,CXCL9,CXCR3,0.685555,0.0,0.46141934,1.1292581022531603,1.5099270251130872,0.04263004,0.894581,3.3608178276640387e-06,0.005375031820730022
CXCL9-CXCR3,FOUND,Monocyte,Cycling T-cells,CXCL9,CXCR3,0.58866656,0.0,0.31063968,0.9289151966546236,1.0391137780178972,0.028699668,0.8744154,3.3608178276640387e-06,0.008153081019097478
CXCL9-CXCR3,FOUND,Cycling_Myeloid,Cycling T-cells,CXCL9,CXCR3,0.57464314,0.0,0.28881615,0.8999179028208658,0.9069993861722745,0.026683414,0.870361,3.3608178276640387e-06,0.008634794330138019
CXCL9-CXCR3,FOUND,CAFs myCAF-like,Cycling T-cells,CXCL9,CXCR3,0.5644355,0.0,0.27293083,0.8788108164085853,1.2011072439706036,0.025215786,0.8671358,3.3608178276640387e-06,0.009012527223501349
CXCL9-CXCR3,FOUND,Cycling PVL,T cells CD8+,CXCL9,CXCR3,0.55044943,0.0,0.29476157,0.8660433850594642,1.1246320047118097,0.027232708,0.8715062,3.3608178276640387e-06,0.009581684951253314
CXCL9-CXCR3,FOUND,Cycling PVL,DCs,CXCL9,CXCR3,0.54831374,0.0,0.29202285,0.8618443353086231,1.018179358957719,0.02697968,0.87098265,3.3608178276640387e-06,0.009672248287862182
CXCL9-CXCR3,FOUND,PVL Immature,Cycling T-cells,CXCL9,CXCR3,0.5446315,0.0,0.24211152,0.8378607660274547,1.1526649899047658,0.022368424,0.8600805,3.3608178276640387e-06,0.0098155374289867
CXCL9-CXCR3,FOUND,DCs,Cycling T-cells,CXCL9,CXCR3,0.54458946,0.0,0.2420461,0.837773923011051,0.9879557041565772,0.02236238,0.8600642,3.3608178276640387e-06,0.009816777862535903
CXCL9-CXCR3,FOUND,Macrophage,T cells CD8+,CXCL9,CXCR3,0.526357,0.0,0.27261034,0.8162257628887803,1.380242899019803,0.02518618,0.8670681,3.3608178276640387e-06,0.010609763812758084
CXCL9-CXCR3,FOUND,Macrophage,DCs,CXCL9,CXCR3,0.5242213,0.0,0.27007744,0.8120267131379393,1.2737902532657124,0.024952166,0.8665292,3.3608178276640387e-06,0.010711401728758773
CXCL9-CXCR3,FOUND,Cycling PVL,T cells CD4+,CXCL9,CXCR3,0.49512106,0.0,0.22381006,0.7572509398968416,1.013433593624856,0.020677572,0.85528374,3.3608178276640387e-06,0.012174951568716574
CXCL9-CXCR3,FOUND,Macrophage,T cells CD4+,CXCL9,CXCR3,0.47102863,0.0,0.20699081,0.7074333177261577,1.2690444879328493,0.019123659,0.8503815,3.3608178276640387e-06,0.013491534080346403
CXCL9-CXCR3,FOUND,Monocyte,T cells CD8+,CXCL9,CXCR3,0.42946857,0.0,0.18352848,0.6158828572902437,0.9094296519246132,0.016956,0.8425658,3.3608178276640387e-06,0.016194875803653946
CXCL9-CXCR3,FOUND,Monocyte,DCs,CXCL9,CXCR3,0.42733288,0.0,0.18182325,0.6116838075394027,0.8029770061705224,0.016798457,0.84194565,3.3608178276640387e-06,0.016346664768524338
