source,target,ligand_complex,receptor_complex,source_mean_composition_B2,source_mean_composition_core,target_mean_composition_B2,target_mean_composition_core,source_max_centroid_niche,target_max_centroid_niche,CID4535_niche_cooccurrence_ratio,interpretation_limit
Cancer Her2 SC,DCs,MIF,CD74_CXCR4,0.039423779876249274,0.045203507032101575,0.019603003649606883,0.010133885218401239,N6,N8,0.3482644357930399,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Cancer LumA SC,DCs,MIF,CD74_CXCR4,0.045311954436483025,0.05004061105746834,0.019603003649606883,0.010133885218401239,N6,N8,0.3482644357930399,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Cancer Her2 SC,Macrophage,MIF,CD74_CXCR4,0.039423779876249274,0.045203507032101575,0.041097870866169686,0.03688285670227064,N6,N2,0.4322050946764906,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Cancer Her2 SC,B cells Naive,MIF,CD74_CXCR4,0.039423779876249274,0.045203507032101575,0.024935987271737896,0.02680746849089334,N6,N5,0.7378046565689587,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Cancer LumA SC,Macrophage,MIF,CD74_CXCR4,0.045311954436483025,0.05004061105746834,0.041097870866169686,0.03688285670227064,N6,N2,0.4322050946764906,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Cancer Her2 SC,B cells Memory,MIF,CD74_CXCR4,0.039423779876249274,0.045203507032101575,0.0381954451114347,0.03529798646635957,N6,N8,0.3482644357930399,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Cancer LumA SC,B cells Naive,MIF,CD74_CXCR4,0.045311954436483025,0.05004061105746834,0.024935987271737896,0.02680746849089334,N6,N5,0.7378046565689587,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Mature Luminal,DCs,MIF,CD74_CXCR4,0.035740146122487,0.04991093020612739,0.019603003649606883,0.010133885218401239,N1,N8,0.6827757537394756,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Cancer Her2 SC,Cycling_Myeloid,MIF,CD74_CXCR4,0.039423779876249274,0.045203507032101575,0.031452853259105976,0.023176231866925204,N6,N3,1.0496409442143344,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
Cancer LumA SC,B cells Memory,MIF,CD74_CXCR4,0.045311954436483025,0.05004061105746834,0.0381954451114347,0.03529798646635957,N6,N8,0.3482644357930399,shared scRNA communication plausibility plus composition/co-location context; not independent validation or spot-resolved sender/receiver expression
