source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Cancer Her2 SC,DCs,MIF,CD74_CXCR4,4.089836,0.0,15.176398,1.4376520257093315,2.0900553980920096,0.005143796,0.979866,3.3608178276640387e-06,2.560077002908324e-12
Cancer LumA SC,DCs,MIF,CD74_CXCR4,4.010898,0.0,14.334137,1.371380261959012,2.1496132041823928,0.0048583252,0.979295,3.446079873914949e-06,1.024030437057819e-11
Cancer Her2 SC,Macrophage,MIF,CD74_CXCR4,3.9211054,0.0,14.216421,1.3470416851249167,2.1160799468076004,0.0048184274,0.9792113,3.5345137099509167e-06,2.3040676641426948e-11
Cancer Her2 SC,B cells Naive,MIF,CD74_CXCR4,3.9044294,0.0,14.121547,1.3380875685729707,1.7961927504837363,0.004786271,0.97914296,3.617876568043868e-06,4.0961188353871925e-11
Cancer LumA SC,Macrophage,MIF,CD74_CXCR4,3.8421674,0.0,13.427437,1.2807699213745973,2.1756377528979836,0.004551014,0.9786221,4.26094380761799e-06,1.2544349788511454e-10
Cancer Her2 SC,B cells Memory,MIF,CD74_CXCR4,3.8306265,0.0,13.701652,1.2984536421594655,1.7340297758535612,0.004643955,0.97883254,3.9873845671029185e-06,1.6384452038796097e-10
Cancer LumA SC,B cells Naive,MIF,CD74_CXCR4,3.825492,0.0,13.337828,1.271815804822651,1.8557505565741192,0.004520642,0.9785519,4.350487230869095e-06,2.073656375620022e-10
Mature Luminal,DCs,MIF,CD74_CXCR4,3.8947582,0.0,13.094931,1.2738787053451714,1.8029036686511597,0.004438316,0.9783582,4.621281471738892e-06,2.073656375620022e-10
Cancer Her2 SC,Cycling_Myeloid,MIF,CD74_CXCR4,3.7728662,0.0,13.373031,1.267436440425342,1.6848012324469297,0.0045325733,0.9785796,4.310676257870323e-06,2.560068592253457e-10
Cancer LumA SC,B cells Memory,MIF,CD74_CXCR4,3.751689,0.0,12.9412365,1.2321818784091458,1.7935875819439442,0.004386224,0.97823286,4.800344530008469e-06,3.097682279381804e-10
