deterministic_rank,gene_id,gene_symbol,B2_boundary_minus_core_log2_CPM_plus_1,absolute_descriptive_difference
1,ENSG00000222014,RAB6C,-2.432427740352121,2.432427740352121
2,ENSG00000281912,LINC01144,-2.262517845788154,2.262517845788154
3,ENSG00000204060,FOXO6,-2.1369993237598264,2.1369993237598264
4,ENSG00000272589,ZSWIM8-AS1,-2.1369993237598264,2.1369993237598264
5,ENSG00000087494,PTHLH,2.1242268431944624,2.1242268431944624
6,ENSG00000135547,HEY2,-2.0698921907426215,2.0698921907426215
7,ENSG00000198947,DMD,-2.0698921907426215,2.0698921907426215
8,ENSG00000211679,IGLC3,2.060244997931771,2.060244997931771
9,ENSG00000211675,IGLC1,1.939662391846154,1.939662391846154
10,ENSG00000189184,PCDH18,-1.9255186373283069,1.9255186373283069
11,ENSG00000286315,AC087175.1,-1.9255186373283069,1.9255186373283069
12,ENSG00000255727,LINC01489,-1.9023285633792149,1.9023285633792149
13,ENSG00000076258,FMO4,-1.8475256661952377,1.8475256661952377
14,ENSG00000259426,AC027237.3,-1.8028006591648624,1.8028006591648624
15,ENSG00000185155,MIXL1,1.7730892963912248,1.7730892963912248
16,ENSG00000259001,AL355075.4,1.7730892963912248,1.7730892963912248
17,ENSG00000139351,SYCP3,-1.7650741692518852,1.7650741692518852
18,ENSG00000224982,TMEM233,-1.7650741692518852,1.7650741692518852
19,ENSG00000225377,NRSN2-AS1,-1.7650741692518852,1.7650741692518852
20,ENSG00000235903,CPB2-AS1,-1.7650741692518852,1.7650741692518852
