gene,sample,value,donor,condition
ISG15,101|ctrl,7.348641687617583,101,ctrl
ISG15,101|stim,15.008361804715582,101,stim
ISG15,1015|ctrl,9.335180376670516,1015,ctrl
ISG15,1015|stim,15.654528474880335,1015,stim
ISG15,1016|ctrl,10.377988335926783,1016,ctrl
ISG15,1016|stim,15.336103376367204,1016,stim
ISG15,1039|ctrl,8.755590286753286,1039,ctrl
ISG15,1039|stim,15.224090593169777,1039,stim
ISG15,107|ctrl,6.831255342230894,107,ctrl
ISG15,107|stim,15.743971160832407,107,stim
ISG15,1244|ctrl,7.202574261330168,1244,ctrl
ISG15,1244|stim,15.633435111901923,1244,stim
ISG15,1256|ctrl,8.85474585378886,1256,ctrl
ISG15,1256|stim,15.4733074930093,1256,stim
ISG15,1488|ctrl,6.959656075605836,1488,ctrl
ISG15,1488|stim,15.64934406636245,1488,stim
IFIT1,101|ctrl,2.747881950202313,101,ctrl
IFIT1,101|stim,11.791144949159499,101,stim
IFIT1,1015|ctrl,4.938496990550156,1015,ctrl
IFIT1,1015|stim,11.947040040601774,1015,stim
IFIT1,1016|ctrl,6.0160420144048325,1016,ctrl
IFIT1,1016|stim,11.998628154422173,1016,stim
IFIT1,1039|ctrl,4.762028200846181,1039,ctrl
IFIT1,1039|stim,11.65008128322479,1039,stim
IFIT1,107|ctrl,0.0,107,ctrl
IFIT1,107|stim,12.037388249725089,107,stim
IFIT1,1244|ctrl,2.3564293801489784,1244,ctrl
IFIT1,1244|stim,11.866642430505879,1244,stim
IFIT1,1256|ctrl,4.972331931029602,1256,ctrl
IFIT1,1256|stim,11.978128086032806,1256,stim
IFIT1,1488|ctrl,2.743864482059117,1488,ctrl
IFIT1,1488|stim,11.639003854851861,1488,stim
MX1,101|ctrl,4.022025022736135,101,ctrl
MX1,101|stim,10.94347367469675,101,stim
MX1,1015|ctrl,6.197341588774159,1015,ctrl
MX1,1015|stim,10.854793472735519,1015,stim
MX1,1016|ctrl,7.124247608013386,1016,ctrl
MX1,1016|stim,10.852250394089044,1016,stim
MX1,1039|ctrl,5.5464143932190755,1039,ctrl
MX1,1039|stim,10.525080823043572,1039,stim
MX1,107|ctrl,4.730948362734892,107,ctrl
MX1,107|stim,11.231666100593301,107,stim
MX1,1244|ctrl,4.626195434344598,1244,ctrl
MX1,1244|stim,10.924819017127804,1244,stim
MX1,1256|ctrl,5.662220072399441,1256,ctrl
MX1,1256|stim,10.835331040368137,1256,stim
MX1,1488|ctrl,2.2627583924535357,1488,ctrl
MX1,1488|stim,10.70613790594188,1488,stim
STAT1,101|ctrl,5.862278364635352,101,ctrl
STAT1,101|stim,8.335778458472808,101,stim
STAT1,1015|ctrl,7.0129104371461555,1015,ctrl
STAT1,1015|stim,8.217674804364393,1015,stim
STAT1,1016|ctrl,7.020328373889718,1016,ctrl
STAT1,1016|stim,8.232152682557432,1016,stim
STAT1,1039|ctrl,6.051696696599009,1039,ctrl
STAT1,1039|stim,7.910896417774364,1039,stim
STAT1,107|ctrl,5.643328435741029,107,ctrl
STAT1,107|stim,8.155531862898306,107,stim
STAT1,1244|ctrl,6.32785819080344,1244,ctrl
STAT1,1244|stim,8.239199246806548,1244,stim
STAT1,1256|ctrl,5.8763962420769875,1256,ctrl
STAT1,1256|stim,8.249525980573441,1256,stim
STAT1,1488|ctrl,6.845144425851959,1488,ctrl
STAT1,1488|stim,8.390000779105838,1488,stim
