sample_id,donor,condition,n_cells,total_umi,detected_genes
101|ctrl,101,ctrl,202,524723,9315
101|stim,101,stim,253,726512,9211
1015|ctrl,1015,ctrl,779,1685517,11439
1015|stim,1015,stim,671,1681881,10690
1016|ctrl,1016,ctrl,369,721958,10100
1016|stim,1016,stim,329,707388,9356
1039|ctrl,1039,ctrl,126,306115,8040
1039|stim,1039,stim,165,463142,8089
107|ctrl,107,ctrl,209,469563,8919
107|stim,107,stim,169,436403,7913
1244|ctrl,1244,ctrl,415,970635,10520
1244|stim,1244,stim,290,720532,8982
1256|ctrl,1256,ctrl,390,987097,10388
1256|stim,1256,stim,375,988999,9723
1488|ctrl,1488,ctrl,295,526443,9372
1488|stim,1488,stim,348,735512,9186
